t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;hy_th_fatal;Load;Defailance;Exces
1;0.0;2375.13;72.61;0.0;0.0;0.0;0.0;0.0;-0.0;430.0;0.0;4004.26;881.0;7763.0;0.0;0.0
2;0.0;1887.49;57.7;0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;4034.8;878.0;7288.0;0.0;0.0
3;0.0;1618.8;49.49;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;3941.71;873.0;6913.0;0.0;0.0
4;0.0;1230.69;37.62;-0.0;0.0;-0.0;-0.0;0.0;0.0;430.0;0.0;3915.69;872.0;6486.0;0.0;0.0
5;0.0;1277.13;39.04;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;3662.83;875.0;6284.0;0.0;0.0
6;0.0;1141.12;34.89;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;3794.99;880.0;6281.0;0.0;0.0
7;198.83;1177.61;36.0;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;3651.56;911.0;6405.0;0.0;0.0
8;1995.64;1549.14;47.36;0.0;0.0;-0.0;0.0;0.0;-0.0;430.0;0.0;1788.87;931.0;6742.0;0.0;0.0
9;5000.13;1612.17;49.29;0.0;0.0;-0.0;0.0;285.59;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;0.0
10;8689.48;1446.31;44.22;0.0;-0.0;0.0;214.19;1200.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;2101.0
11;11355.24;1615.48;49.39;0.0;0.0;0.0;1114.19;1200.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;4738.11
12;12894.31;2209.26;67.54;-0.0;0.0;-0.0;2014.19;1200.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;6683.11
13;13917.9;2166.14;66.22;-0.0;0.0;0.0;2914.19;1200.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;7344.26
14;14808.94;2809.68;85.89;-0.0;0.0;0.0;3814.19;1200.0;0.0;0.0;0.0;0.0;935.0;8208.0;0.0;9231.52
15;15633.71;3091.64;94.51;-0.0;0.0;0.0;4714.19;1200.0;0.0;0.0;0.0;0.0;924.0;7981.0;0.0;10562.86
16;14978.31;3085.01;94.31;0.0;7098.32;0.0;5614.19;1200.0;0.0;0.0;0.0;0.0;922.0;7712.0;0.0;3069.31
17;13807.44;2942.37;89.95;6033.57;0.0;0.0;6514.19;1200.0;0.0;0.0;0.0;0.0;918.0;7538.0;0.0;9019.76
18;11863.35;3055.15;93.4;6033.57;7192.91;0.0;7414.19;1200.0;0.0;0.0;0.0;0.0;911.0;7530.0;0.0;0.0
19;8306.56;3005.4;91.88;12147.54;3355.83;0.0;8314.19;1200.0;0.0;0.0;0.0;0.0;907.0;7755.0;0.0;0.0
20;4418.38;2922.47;89.34;15000.0;0.0;0.0;9214.19;572.19;0.0;0.0;0.0;0.0;895.0;7753.0;0.0;0.0
21;1553.8;3018.66;92.28;15000.0;0.0;1858.25;9643.33;0.0;0.0;0.0;0.0;0.0;886.0;7409.0;0.0;0.0
22;220.92;3320.53;101.51;12813.82;0.0;2708.04;9643.33;0.0;0.0;0.0;0.0;0.0;881.0;7232.0;0.0;0.0
23;0.0;3635.67;111.15;9627.89;0.0;1957.19;9643.33;0.0;1200.0;0.0;0.0;0.0;876.0;7780.0;0.0;0.0
24;0.0;4119.98;125.95;7325.32;0.0;1702.07;8443.33;0.0;1200.0;0.0;0.0;0.0;872.0;8020.0;0.0;0.0
25;0.0;3954.12;120.88;5322.89;0.0;1923.98;7243.33;0.0;509.02;0.0;0.0;0.0;893.0;7401.0;0.0;0.0
26;0.0;4385.36;134.07;3059.38;0.0;1562.58;6734.31;0.0;0.0;0.0;0.0;0.0;889.0;6971.0;0.0;0.0
27;0.0;5198.07;158.91;1221.05;0.0;351.02;6734.31;0.0;0.0;0.0;0.0;0.0;888.0;6596.0;0.0;0.0
28;0.0;4975.82;152.12;808.09;0.0;154.06;6734.31;0.0;0.0;0.0;0.0;0.0;887.0;6169.0;0.0;0.0
29;0.0;4511.41;137.92;626.84;0.0;404.67;6734.31;0.0;0.0;0.0;0.0;0.0;886.0;5940.0;0.0;0.0
30;7.36;4647.42;142.08;150.76;0.0;128.14;6734.31;0.0;0.0;0.0;0.0;0.0;891.0;5816.0;0.0;0.0
31;405.02;4843.13;148.06;-0.0;0.0;0.0;6734.31;561.21;0.0;0.0;0.0;0.0;922.0;5757.0;0.0;0.0
32;2525.84;5035.53;153.94;0.0;1465.31;0.0;7155.22;1200.0;0.0;0.0;0.0;0.0;938.0;5988.0;0.0;0.0
33;6060.55;4786.74;146.34;1245.52;0.0;0.0;8055.22;1200.0;0.0;0.0;0.0;0.0;944.0;6451.0;0.0;4286.62
34;10515.75;4531.31;138.53;1245.52;0.0;0.0;8955.22;1200.0;0.0;0.0;0.0;0.0;949.0;6979.0;0.0;7955.59
