t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;4434.31;1234.24;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;850.0;9.9983e6;2653.45;1.0;1025.0;10197.0;0.0;0.0
2;0.0;4112.19;1144.58;0.0;357.77;0.0;0.0;1200.0;0.0;4300.0;850.0;9.988e6;0.0;1.0;1023.0;9872.0;0.0;0.0
3;0.0;3390.27;943.65;304.11;0.0;0.0;900.0;906.92;0.0;4300.0;850.0;9.9777e6;0.0;1.0;1022.0;9599.0;0.0;0.0
4;0.0;2892.24;805.02;304.11;0.0;0.0;1580.19;690.26;0.0;4300.0;850.0;9.9674e6;0.0;1.0;1022.0;9179.0;0.0;0.0
5;0.0;2414.77;672.13;304.11;0.0;0.0;2097.88;193.89;0.0;4300.0;850.0;9.9571e6;0.0;1.0;1022.0;9065.0;0.0;0.0
6;0.0;2078.94;578.65;304.11;0.0;0.0;2243.31;0.0;446.41;4300.0;850.0;9.9468e6;0.0;1.0;1021.0;9275.0;0.0;0.0
7;0.0;2133.77;593.91;304.11;0.0;0.0;1796.9;0.0;780.32;4300.0;850.0;9.9365e6;0.0;1.0;1023.0;9681.0;0.0;0.0
8;0.0;2417.05;672.76;304.11;0.0;0.0;1016.58;0.0;846.19;4300.0;850.0;9.9262e6;0.0;1.0;1026.0;10112.0;0.0;0.0
9;21.0;2670.64;743.34;304.11;0.0;0.0;170.39;0.0;170.39;4300.0;850.0;9.9159e6;884.63;1.0;1032.0;10672.0;0.0;0.0
10;175.0;3024.74;841.91;304.11;0.0;258.49;-0.0;0.0;0.0;4300.0;850.0;9.9056e6;742.86;1.0;1036.0;11229.0;0.0;0.0
11;496.0;3570.75;993.88;-0.0;0.0;0.0;-0.0;0.0;0.0;4300.0;850.0;9.8953e6;271.37;1.0;1039.0;11521.0;0.0;0.0
12;698.0;3337.73;929.02;-0.0;0.0;0.0;-0.0;0.0;0.0;4300.0;850.0;9.885e6;572.25;1.0;1040.0;11727.0;0.0;0.0
13;814.0;3502.21;974.8;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;850.0;9.8747e6;498.98;1.0;1040.0;11980.0;0.0;0.0
14;764.0;3721.53;1035.85;-0.0;0.0;0.0;0.0;77.38;0.0;4300.0;850.0;9.8644e6;0.0;1.0;1038.0;11632.0;0.0;0.0
15;596.0;3810.63;1060.65;-0.0;0.0;0.0;58.03;342.28;0.0;4300.0;850.0;9.8541e6;0.0;1.0;1038.0;11313.0;0.0;0.0
