t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;4434.31;1194.07;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;850.0;9.9983e6;2693.62;1.0;1025.0;10197.0;0.0;0.0
2;0.0;4112.19;1107.33;0.0;320.52;0.0;0.0;1200.0;0.0;4300.0;850.0;9.988e6;0.0;1.0;1023.0;9872.0;0.0;0.0
3;0.0;3390.27;912.93;272.44;0.0;0.0;900.0;876.2;0.0;4300.0;850.0;9.9777e6;0.0;1.0;1022.0;9599.0;0.0;0.0
4;0.0;2892.24;778.82;272.44;0.0;0.0;1557.15;664.06;0.0;4300.0;850.0;9.9674e6;0.0;1.0;1022.0;9179.0;0.0;0.0
5;0.0;2414.77;650.25;272.44;0.0;0.0;2055.2;172.02;0.0;4300.0;850.0;9.9571e6;0.0;1.0;1022.0;9065.0;0.0;0.0
6;0.0;2078.94;559.82;272.44;0.0;231.57;2184.21;0.0;233.67;4300.0;850.0;9.9468e6;0.0;1.0;1021.0;9275.0;0.0;0.0
7;0.0;2133.77;574.58;0.0;0.0;0.0;1950.54;0.0;799.65;4300.0;850.0;9.9365e6;0.0;1.0;1023.0;9681.0;0.0;0.0
8;0.0;2417.05;650.86;-0.0;0.0;0.0;1150.89;0.0;868.08;4300.0;850.0;9.9262e6;0.0;1.0;1026.0;10112.0;0.0;0.0
9;21.0;2670.64;719.15;-0.0;0.0;-0.0;282.8;0.0;282.8;4300.0;850.0;9.9159e6;796.41;1.0;1032.0;10672.0;0.0;0.0
10;175.0;3024.74;814.5;0.0;0.0;-0.0;-0.0;0.0;0.0;4300.0;850.0;9.9056e6;1028.76;1.0;1036.0;11229.0;0.0;0.0
11;496.0;3570.75;961.53;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;850.0;9.8953e6;303.72;1.0;1039.0;11521.0;0.0;0.0
12;698.0;3337.73;898.78;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;850.0;9.885e6;602.49;1.0;1040.0;11727.0;0.0;0.0
13;814.0;3502.21;943.07;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;850.0;9.8747e6;530.71;1.0;1040.0;11980.0;0.0;0.0
14;764.0;3721.53;1002.13;0.0;0.0;-0.0;0.0;43.66;0.0;4300.0;850.0;9.8644e6;0.0;1.0;1038.0;11632.0;0.0;0.0
