t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;4434.31;1193.68;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;850.0;9.9983e6;2694.01;1.0;1025.0;10197.0;0.0;0.0
2;0.0;4112.19;1106.97;0.0;320.16;0.0;0.0;1200.0;0.0;4300.0;850.0;9.988e6;0.0;1.0;1023.0;9872.0;0.0;0.0
3;0.0;3390.27;912.63;272.13;0.0;0.0;900.0;875.9;0.0;4300.0;850.0;9.9777e6;0.0;1.0;1022.0;9599.0;0.0;0.0
4;0.0;2892.24;778.57;272.13;0.0;0.0;1556.93;663.81;0.0;4300.0;850.0;9.9674e6;0.0;1.0;1022.0;9179.0;0.0;0.0
5;0.0;2414.77;650.04;272.13;0.0;0.0;2054.78;171.8;0.0;4300.0;850.0;9.9571e6;0.0;1.0;1022.0;9065.0;0.0;0.0
6;0.0;2078.94;559.63;272.13;0.0;0.0;2183.64;0.0;465.43;4300.0;850.0;9.9468e6;0.0;1.0;1021.0;9275.0;0.0;0.0
7;0.0;2133.77;574.39;272.13;0.0;0.0;1718.21;0.0;799.84;4300.0;850.0;9.9365e6;0.0;1.0;1023.0;9681.0;0.0;0.0
8;0.0;2417.05;650.65;272.13;0.0;0.0;918.37;0.0;868.3;4300.0;850.0;9.9262e6;0.0;1.0;1026.0;10112.0;0.0;0.0
9;21.0;2670.64;718.91;272.13;0.0;0.0;50.07;0.0;0.0;4300.0;850.0;9.9159e6;1079.45;1.0;1032.0;10672.0;0.0;0.0
10;175.0;3024.74;814.24;272.13;0.0;0.0;50.07;0.0;0.0;4300.0;850.0;9.9056e6;1029.02;1.0;1036.0;11229.0;0.0;0.0
11;496.0;3570.75;961.22;272.13;0.0;0.0;50.07;0.0;50.07;4300.0;850.0;9.8953e6;253.96;1.0;1039.0;11521.0;0.0;0.0
12;698.0;3337.73;898.49;272.13;0.0;231.31;0.0;0.0;0.0;4300.0;850.0;9.885e6;371.47;1.0;1040.0;11727.0;0.0;0.0
13;814.0;3502.21;942.77;0.0;0.0;-0.0;-0.0;0.0;-0.0;4300.0;850.0;9.8747e6;531.02;1.0;1040.0;11980.0;0.0;0.0
14;764.0;3721.53;1001.81;0.0;0.0;0.0;0.0;43.34;0.0;4300.0;850.0;9.8644e6;0.0;1.0;1038.0;11632.0;0.0;0.0
15;596.0;3810.63;1025.79;-0.0;0.0;0.0;32.5;307.42;0.0;4300.0;850.0;9.8541e6;0.0;1.0;1038.0;11313.0;0.0;0.0
16;362.0;4194.43;1129.11;-0.0;0.0;-0.0;263.07;756.54;0.0;4300.0;850.0;9.8438e6;0.0;1.0;1038.0;11117.0;0.0;0.0
17;81.0;4925.49;1325.9;0.0;0.0;-0.0;830.47;1200.0;0.0;4300.0;850.0;9.83368997e6;0.0;1.0;1038.0;11049.0;0.0;271.39
18;10.0;5549.17;1493.79;0.0;0.0;0.0;1730.47;1200.0;0.0;4300.0;850.0;9.82363284e6;0.0;1.0;1037.0;11693.0;0.0;346.96
19;0.0;5775.34;1554.68;-0.0;0.0;-0.0;2630.47;1200.0;0.0;4300.0;850.0;9.81354565e6;0.0;1.0;1034.0;12010.0;0.0;304.01
20;0.0;6526.96;1757.0;0.0;-0.0;0.0;3530.47;1200.0;0.0;4300.0;850.0;9.80414443e6;0.0;1.0;1031.0;11981.0;0.0;1283.96
21;0.0;6106.6;1643.85;-0.0;0.0;-0.0;4430.47;1200.0;0.0;4300.0;850.0;9.79486324e6;0.0;1.0;1028.0;11273.0;0.0;1455.45
22;0.0;5738.79;1544.84;0.0;-0.0;0.0;5330.47;1200.0;0.0;4300.0;850.0;9.78573687e6;0.0;1.0;1029.0;10586.0;0.0;1676.62
23;0.0;5604.0;1508.55;0.0;0.0;0.0;6230.47;1200.0;0.0;4300.0;850.0;9.77629056e6;0.0;1.0;1029.0;10872.0;0.0;1219.55
24;0.0;5588.01;1504.25;0.0;0.0;0.0;7130.47;1200.0;0.0;4300.0;850.0;9.76663543e6;0.0;1.0;1030.0;11151.0;0.0;921.25
25;0.0;4651.34;1252.1;0.0;-0.0;0.0;8030.47;1200.0;0.0;4300.0;850.0;9.75641555e6;0.0;1.0;1027.0;10766.0;0.0;114.44
26;0.0;4452.59;1198.6;-0.0;0.0;0.0;8930.47;1200.0;0.0;4300.0;850.0;9.74624168e6;0.0;1.0;1025.0;10446.0;0.0;180.19
27;0.0;4384.05;1180.15;0.0;0.0;-0.0;9830.47;1200.0;0.0;4300.0;850.0;9.73626592e6;0.0;1.0;1024.0;10075.0;0.0;463.2
