t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;4434.31;1968.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1025.0;10197.0;2769.31;0.0
2;0.0;4112.19;1825.4;0.0;0.0;-0.0;-0.0;0.0;-0.0;860.0;0.0;0.0;2051.42;1.0;1023.0;9872.0;0.0;0.0
3;0.0;3390.27;1504.94;-0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;0.0;2821.79;1.0;1022.0;9599.0;0.0;0.0
4;0.0;2892.24;1283.86;-0.0;0.0;0.0;0.0;0.0;0.0;860.0;0.0;0.0;0.0;1.0;1022.0;9179.0;3120.9;0.0
5;0.0;2414.77;1071.91;-0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;0.0;1.0;1022.0;9065.0;3696.32;0.0
6;0.0;2078.94;922.84;0.0;0.0;0.0;-0.0;0.0;0.0;302.0;0.0;0.0;0.0;1.0;1021.0;9275.0;4950.22;0.0
7;0.0;2133.77;947.18;-0.0;0.0;-0.0;-0.0;0.0;-0.0;860.0;0.0;0.0;0.0;1.0;1023.0;9681.0;4717.05;0.0
8;0.0;2417.05;1072.93;0.0;0.0;-0.0;-0.0;0.0;0.0;302.0;0.0;0.0;0.0;1.0;1026.0;10112.0;5294.02;0.0
9;350.0;2670.64;1185.49;0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;0.0;1.0;1032.0;10672.0;4573.87;0.0
10;2916.67;3024.74;1342.68;-0.0;0.0;-0.0;-0.0;0.0;0.0;860.0;0.0;0.0;0.0;1.0;1036.0;11229.0;2048.91;0.0
11;8266.67;3570.75;1585.05;0.0;1740.47;0.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1039.0;11521.0;0.0;-0.0
12;11633.33;3337.73;1481.61;1479.4;-0.0;0.0;900.0;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1040.0;11727.0;0.0;4565.67
