t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4861.52;1313.49;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;825.99;1.0;1468.0;8469.0;0.0;0.0;0.0
2;0.0;4571.38;1235.1;0.0;0.0;0.0;0.0;0.0;0.0;761.51;0.0;0.0;0.0;1.0;1467.0;8035.0;0.0;0.0;0.0
3;0.0;4486.85;1212.27;-0.0;0.0;0.0;-0.0;0.0;0.0;522.88;0.0;0.0;0.0;1.0;1469.0;7691.0;0.0;0.0;0.0
4;0.0;4573.67;1235.72;-0.0;-0.0;0.0;-0.0;324.39;0.0;302.0;0.0;0.0;0.0;1.0;1472.0;7259.0;0.0;0.0;0.0
5;0.0;4491.42;1213.5;-0.0;0.0;0.0;243.29;393.92;0.0;302.0;0.0;0.0;0.0;1.0;1474.0;7087.0;0.0;0.0;0.0
6;0.0;4829.54;1304.85;-0.0;0.0;0.0;538.73;825.39;0.0;453.0;0.0;0.0;0.0;1.0;1480.0;7242.0;0.0;0.0;0.0
7;0.0;4530.26;1223.99;-0.0;0.0;0.0;1157.77;79.25;0.0;453.0;0.0;0.0;0.0;1.0;1488.0;7616.0;0.0;0.0;0.0
8;146.35;4039.08;1091.29;-0.0;0.0;0.0;1217.21;0.0;0.0;1134.28;0.0;0.0;0.0;1.0;1502.0;7913.0;0.0;0.0;0.0
9;1979.26;3659.85;988.82;-0.0;0.0;0.0;1217.21;0.0;0.0;296.07;0.0;0.0;0.0;1.0;1509.0;8433.0;0.0;0.0;0.0
10;7094.66;3952.27;1067.83;0.0;-0.0;0.0;1217.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1511.0;8782.0;0.0;3643.76;0.0
11;12635.18;3621.01;978.33;0.0;-0.0;0.0;2117.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1509.0;8735.0;0.0;8808.52;0.0
12;16788.83;3138.97;848.09;0.0;-0.0;0.0;3017.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1506.0;8740.0;0.0;12341.89;0.0
13;19506.82;3285.18;887.6;-0.0;0.0;0.0;3917.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1506.0;8980.0;0.0;15005.59;0.0
14;20496.44;3671.27;991.91;0.0;0.0;0.0;4817.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1507.0;8568.0;0.0;16898.62;0.0
15;20085.26;4007.1;1082.64;-0.0;7500.0;0.0;5717.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1501.0;8197.0;0.0;9779.0;0.0
16;18419.62;4310.94;1164.74;6375.0;7500.0;0.0;6617.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1494.0;7895.0;0.0;8794.3;0.0
17;15478.61;4285.81;1157.95;12750.0;1343.09;0.0;7517.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1493.0;7653.0;0.0;12219.29;0.0
18;11276.18;4299.52;1161.65;13891.62;0.0;0.0;8417.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1496.0;7606.0;0.0;9427.35;0.0
19;5944.74;5197.35;1404.23;13891.62;0.0;0.0;9317.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1497.0;7887.0;0.0;4956.31;0.0
20;1352.03;6305.35;1703.59;13891.62;1303.97;0.0;10217.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1497.0;8354.0;0.0;0.0;0.0
21;20.91;6677.74;1804.2;15000.0;-0.0;0.0;11117.21;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1494.0;8293.0;0.0;503.85;0.0
22;0.0;5935.26;1603.6;15000.0;0.0;-0.0;12017.21;971.86;0.0;0.0;0.0;0.0;0.0;1.0;1484.0;8051.0;0.0;0.0;0.0
23;0.0;4955.19;1338.8;15000.0;0.0;270.89;12746.11;0.0;0.0;374.12;0.0;0.0;0.0;1.0;1485.0;8424.0;0.0;0.0;0.0
24;0.0;4052.79;1094.99;14681.3;0.0;1871.22;12746.11;0.0;0.0;302.0;0.0;0.0;0.0;1.0;1484.0;8805.0;0.0;0.0;0.0
25;0.0;4176.15;1128.32;12479.87;0.0;1247.52;12746.11;0.0;0.0;581.0;0.0;0.0;0.0;1.0;1211.0;8344.0;0.0;0.0;0.0
26;0.0;3639.29;983.27;11012.19;0.0;1561.45;12746.11;0.0;0.0;581.0;0.0;0.0;0.0;1.0;1204.0;7969.0;0.0;0.0;0.0
27;0.0;3643.86;984.5;9175.2;0.0;927.64;12746.11;0.0;0.0;1011.0;0.0;0.0;0.0;1.0;1203.0;7770.0;0.0;0.0;0.0
28;0.0;3573.03;965.37;8083.85;0.0;502.6;12746.11;0.0;0.0;1162.0;0.0;0.0;0.0;1.0;1205.0;7408.0;0.0;0.0;0.0
29;0.0;3250.91;878.34;7492.56;0.0;447.75;12746.11;0.0;0.0;1290.0;0.0;0.0;0.0;1.0;1213.0;7080.0;0.0;0.0;0.0
30;0.0;2794.0;754.89;6965.8;0.0;994.11;12746.11;0.0;0.0;1290.0;0.0;0.0;0.0;1.0;1229.0;7062.0;0.0;0.0;0.0
31;0.0;2094.93;566.01;5796.26;0.0;2117.06;12746.11;0.0;0.0;1290.0;0.0;0.0;0.0;1.0;1246.0;7314.0;0.0;0.0;0.0
32;118.48;1985.27;536.38;3305.6;0.0;2140.87;12746.11;0.0;0.0;1290.0;0.0;0.0;0.0;1.0;1259.0;7330.0;0.0;0.0;0.0
33;1958.35;1982.99;535.77;786.94;0.0;668.9;12746.11;0.0;0.0;1290.0;0.0;0.0;0.0;1.0;1264.0;7700.0;0.0;0.0;0.0
34;6718.32;2273.13;614.16;0.0;-0.0;0.0;12746.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1259.0;8123.0;0.0;1541.6;0.0
35;11917.35;2110.92;570.33;-0.0;0.0;0.0;13646.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1254.0;8324.0;0.0;6328.6;0.0
36;15353.17;1998.98;540.09;0.0;7500.0;0.0;14546.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1253.0;8449.0;0.0;1996.24;0.0
37;17039.72;1912.17;516.63;6375.0;0.0;0.0;15446.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1252.0;8725.0;0.0;10795.52;0.0
38;17632.1;2206.87;596.26;6375.0;0.0;0.0;16346.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1246.0;8263.0;0.0;12218.23;0.0
39;17172.13;2574.69;695.63;6375.0;7500.0;0.0;17246.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1242.0;7771.0;0.0;5213.45;0.0
40;15694.66;2841.98;767.85;12750.0;0.0;0.0;18146.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1238.0;7406.0;0.0;11936.49;0.0
41;13757.22;3330.87;899.94;12750.0;0.0;0.0;19046.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1240.0;7186.0;0.0;10842.03;0.0
42;10049.6;3634.72;982.03;12750.0;2647.06;0.0;19946.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1240.0;7190.0;0.0;4869.29;0.0
43;5686.87;3822.05;1032.65;15000.0;-0.0;0.0;20846.11;1200.0;0.0;0.0;0.0;0.0;0.0;1.0;1241.0;7554.0;0.0;3028.57;0.0
44;1372.93;3835.76;1036.35;15000.0;0.0;0.0;21746.11;0.0;0.0;567.96;0.0;0.0;0.0;1.0;1237.0;8050.0;0.0;0.0;0.0
45;27.88;3705.54;1001.17;15000.0;0.0;-0.0;21746.11;0.0;759.42;1720.0;0.0;0.0;0.0;1.0;1240.0;8454.0;0.0;0.0;0.0
46;0.0;3209.79;867.23;15000.0;0.0;0.0;20986.69;0.0;1200.0;1720.0;0.0;0.0;118.98;1.0;1233.0;8349.0;0.0;0.0;0.0
47;0.0;2791.72;754.27;15000.0;0.0;941.01;19786.69;0.0;1200.0;1720.0;0.0;0.0;0.0;1.0;1229.0;8636.0;0.0;0.0;0.0
48;0.0;2768.87;748.1;13892.93;0.0;1283.03;18586.69;0.0;1200.0;1720.0;0.0;0.0;0.0;1.0;1209.0;8929.0;0.0;0.0;0.0
49;0.0;2672.92;722.17;12383.48;0.0;943.9;17386.69;0.0;1200.0;1720.0;0.0;0.0;0.0;1.0;1211.0;8470.0;0.0;0.0;0.0
50;0.0;2124.63;574.04;11273.01;0.0;1292.33;16186.69;0.0;1200.0;1720.0;0.0;0.0;0.0;1.0;1205.0;8116.0;0.0;0.0;0.0
51;0.0;2001.26;540.71;9752.62;0.0;1111.03;14986.69;0.0;1200.0;1720.0;0.0;0.0;0.0;1.0;1204.0;7777.0;0.0;0.0;0.0
