t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;H2_stock;hy_th_fatal;Load;Defailance;Exces
1;0.0;643.39;72.61;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;3177.0;9.99226e6;881.0;7763.0;0.0;0.0
2;0.0;511.3;57.7;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;2849.0;9.98452e6;878.0;7288.0;0.0;0.0
3;0.0;438.51;49.49;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;2555.0;9.97678e6;873.0;6913.0;0.0;0.0
4;0.0;333.38;37.62;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;2245.0;9.96904e6;872.0;6486.0;0.0;0.0
5;0.0;345.96;39.04;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;2029.0;9.9613e6;875.0;6284.0;0.0;0.0
6;0.0;309.11;34.89;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;2067.0;9.95356e6;880.0;6281.0;0.0;0.0
7;191.91;319.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;1988.09;9.94582e6;911.0;6405.0;0.0;0.0
8;1926.17;419.64;47.36;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;478.83;9.93808e6;931.0;6742.0;0.0;0.0
9;4826.08;436.71;49.29;0.0;0.0;0.0;0.0;583.08;0.0;2580.0;0.0;0.0;9.93292e6;933.0;7309.0;0.0;0.0
10;8387.01;391.78;44.22;0.0;0.0;0.0;437.31;1009.01;0.0;0.0;0.0;0.0;9.93292e6;935.0;7814.0;0.0;0.0
11;10959.97;437.61;49.39;0.0;7500.0;5274.03;1194.07;1200.0;0.0;0.0;0.0;0.0;9.93292e6;939.0;8021.0;0.0;0.0
12;12445.47;598.46;67.54;170.26;7500.0;3817.53;2094.07;1200.0;0.0;0.0;0.0;0.0;9.93292e6;941.0;8229.0;0.0;0.0
13;13433.43;586.78;66.22;2054.05;7500.0;7164.7;2994.07;1200.0;0.0;0.0;0.0;0.0;9.93572429e6;939.0;8545.0;0.0;4006.13
14;14293.46;761.11;85.89;0.0;7500.0;1767.54;3894.07;1200.0;0.0;0.0;0.0;0.0;9.93572429e6;935.0;8208.0;0.0;0.0
15;15089.51;837.49;94.51;4295.54;7500.0;659.49;4794.07;1200.0;0.0;0.0;0.0;0.0;9.93572429e6;924.0;7981.0;0.0;0.0
16;14456.93;835.69;94.31;9894.67;7500.0;6033.94;5694.07;1200.0;0.0;0.0;0.0;0.0;9.9392305e6;922.0;7712.0;0.0;5008.87
17;13326.82;797.05;89.95;9170.92;7500.0;2024.18;6594.07;1200.0;0.0;0.0;0.0;0.0;9.9392305e6;918.0;7538.0;0.0;0.0
18;11450.4;827.6;93.4;13164.53;7500.0;3858.6;7494.07;1200.0;0.0;0.0;0.0;0.0;9.9392305e6;911.0;7530.0;0.0;0.0
19;8017.41;814.12;91.88;15000.0;0.0;0.0;8394.07;1168.41;0.0;0.0;0.0;0.0;9.9392305e6;907.0;7755.0;0.0;0.0
20;4264.58;791.66;89.34;15000.0;0.0;0.0;9270.38;832.58;0.0;3440.0;0.0;0.0;9.9323505e6;895.0;7753.0;0.0;0.0
21;1499.71;817.72;92.28;15000.0;0.0;1120.26;9894.82;0.0;9.03;3870.0;0.0;0.0;9.9246105e6;886.0;7409.0;0.0;0.0
22;213.23;899.49;101.51;13682.05;0.0;947.77;9885.79;0.0;1200.0;3870.0;0.0;0.0;9.9168705e6;881.0;7232.0;0.0;0.0
23;0.0;984.85;111.15;12567.03;0.0;2814.0;8685.79;0.0;0.0;3870.0;0.0;0.0;9.9091305e6;876.0;7780.0;0.0;0.0
24;0.0;1116.05;125.95;9256.44;0.0;2908.0;8685.79;0.0;0.0;3870.0;0.0;0.0;9.9013905e6;872.0;8020.0;0.0;0.0
25;0.0;1071.12;120.88;5835.26;0.0;1139.0;8685.79;0.0;1200.0;3870.0;0.0;0.0;9.8936505e6;893.0;7401.0;0.0;0.0
26;0.0;1187.93;134.07;4495.26;0.0;579.0;7485.79;0.0;1200.0;3870.0;0.0;0.0;9.8859105e6;889.0;6971.0;0.0;0.0
27;0.0;1408.09;158.91;3814.09;0.0;1159.0;6285.79;0.0;0.0;3870.0;0.0;0.0;9.8781705e6;888.0;6596.0;0.0;0.0
28;0.0;1347.88;152.12;2450.56;0.0;799.0;6285.79;0.0;0.0;3870.0;0.0;0.0;9.8704305e6;887.0;6169.0;0.0;0.0
29;0.0;1222.08;137.92;1510.56;0.0;710.0;6285.79;0.0;0.0;3870.0;0.0;0.0;9.8626905e6;886.0;5940.0;0.0;0.0
30;7.11;1258.92;142.08;675.26;0.0;537.89;6285.79;0.0;0.0;3870.0;0.0;0.0;9.8549505e6;891.0;5816.0;0.0;0.0
31;390.92;1311.94;148.06;42.45;0.0;36.08;6285.79;0.0;0.0;3870.0;0.0;0.0;9.8472105e6;922.0;5757.0;0.0;0.0
32;2437.92;1364.06;153.94;0.0;0.0;0.0;6285.79;1200.0;0.0;3232.08;0.0;0.0;9.84074633e6;938.0;5988.0;0.0;0.0
33;5849.58;1296.66;146.34;0.0;0.0;0.0;7185.79;1200.0;0.0;358.42;0.0;0.0;9.8400295e6;944.0;6451.0;0.0;0.0
34;10149.7;1227.47;138.53;0.0;0.0;0.0;8085.79;1200.0;0.0;0.0;0.0;0.0;9.8423652e6;949.0;6979.0;0.0;3336.7
35;14122.87;1273.3;143.7;0.0;6955.87;0.0;8985.79;1200.0;0.0;0.0;0.0;0.0;9.8423652e6;950.0;7384.0;0.0;0.0
36;16759.81;1585.11;178.89;5912.49;7500.0;0.0;9885.79;1200.0;0.0;0.0;0.0;0.0;9.84383156e6;950.0;7729.0;0.0;2094.81
37;18472.75;1781.0;201.0;12287.49;0.0;7500.0;10785.79;1200.0;0.0;0.0;0.0;0.0;9.85686258e6;949.0;8139.0;0.0;18615.75
38;19020.03;1822.34;205.66;3463.96;0.0;2944.37;11685.79;1200.0;0.0;0.0;0.0;0.0;9.86734396e6;945.0;7819.0;0.0;14973.4
39;18458.53;1905.01;214.99;0.0;0.0;0.0;12585.79;1200.0;0.0;0.0;0.0;0.0;9.87560503e6;943.0;7577.0;0.0;11801.53
40;17271.56;1880.75;212.25;0.0;7500.0;0.0;13485.79;1200.0;0.0;0.0;0.0;0.0;9.87790492e6;941.0;7379.0;0.0;3285.56
41;14492.47;1985.88;224.12;6375.0;7500.0;1321.16;14385.79;1200.0;0.0;0.0;0.0;0.0;9.87933476e6;936.0;7281.0;0.0;2042.63
42;11549.91;2082.03;234.97;11195.7;7500.0;2185.09;15285.79;1200.0;0.0;0.0;0.0;0.0;9.87933476e6;930.0;7352.0;0.0;0.0
43;7590.96;1932.87;218.13;15000.0;0.0;0.0;16185.79;1200.0;0.0;0.0;0.0;0.0;9.88000533e6;928.0;7584.0;0.0;957.96
44;3923.42;1796.28;202.72;15000.0;0.0;0.0;17085.79;302.42;0.0;2150.0;0.0;0.0;9.87570533e6;912.0;7770.0;0.0;0.0
45;1336.24;1747.76;197.24;15000.0;0.0;512.76;17312.6;0.0;0.0;3870.0;0.0;0.0;9.86796533e6;904.0;7664.0;0.0;0.0
46;213.23;1813.35;204.65;14396.75;0.0;242.77;17312.6;0.0;1200.0;3870.0;0.0;0.0;9.86022533e6;906.0;7544.0;0.0;0.0
47;0.0;1665.98;188.02;14111.13;0.0;1150.0;16112.6;0.0;1200.0;3870.0;0.0;0.0;9.85248533e6;906.0;8074.0;0.0;0.0
48;0.0;1851.09;208.91;12758.19;0.0;1048.0;14912.6;0.0;1200.0;3870.0;0.0;0.0;9.84474533e6;893.0;8178.0;0.0;0.0
49;0.0;1727.99;195.01;11525.25;0.0;512.0;13712.6;0.0;1200.0;3870.0;0.0;0.0;9.83700533e6;890.0;7505.0;0.0;0.0
50;0.0;1636.33;184.67;10922.9;0.0;219.0;12512.6;0.0;1200.0;3870.0;0.0;0.0;9.82926533e6;888.0;7110.0;0.0;0.0
51;0.0;1179.85;133.15;10665.25;0.0;691.86;11312.6;0.0;909.14;3870.0;0.0;0.0;9.82152533e6;885.0;6784.0;0.0;0.0
52;0.0;1079.21;121.79;9851.3;0.0;1370.0;10403.46;0.0;0.0;3870.0;0.0;0.0;9.81378533e6;885.0;6441.0;0.0;0.0
53;0.0;1074.71;121.29;8239.53;0.0;1367.0;10403.46;0.0;0.0;3870.0;0.0;0.0;9.80604533e6;890.0;6433.0;0.0;0.0
54;0.0;1030.68;116.32;6631.3;0.0;1774.0;10403.46;0.0;0.0;3870.0;0.0;0.0;9.79830533e6;900.0;6791.0;0.0;0.0
55;298.52;978.56;110.44;4544.24;0.0;2223.48;10403.46;0.0;0.0;3870.0;0.0;0.0;9.79056533e6;937.0;7481.0;0.0;0.0
56;1840.88;912.07;102.93;1928.38;0.0;1639.12;10403.46;0.0;0.0;3870.0;0.0;0.0;9.78282533e6;961.0;8365.0;0.0;0.0
57;4733.69;927.34;104.66;0.0;0.0;0.0;10403.46;670.69;0.0;3870.0;0.0;0.0;9.77508533e6;968.0;8965.0;0.0;0.0
58;8493.62;901.28;101.72;0.0;0.0;0.0;10906.47;1200.0;0.0;1097.38;0.0;0.0;9.77289058e6;967.0;9394.0;0.0;0.0
59;11734.71;961.49;108.51;0.0;0.0;0.0;11806.47;1200.0;0.0;0.0;0.0;0.0;9.77426238e6;964.0;9645.0;0.0;1959.71
60;14172.63;1050.45;118.55;0.0;2016.27;0.0;12706.47;1200.0;0.0;0.0;0.0;0.0;9.77584392e6;963.0;9866.0;0.0;2259.36
61;15807.38;1234.66;139.34;1713.83;5952.38;0.0;13606.47;1200.0;0.0;0.0;0.0;0.0;9.77584392e6;958.0;10029.0;0.0;0.0
62;16667.41;1201.41;135.59;6773.35;6869.41;0.0;14506.47;1200.0;0.0;0.0;0.0;0.0;9.77584392e6;954.0;9935.0;0.0;0.0
63;17143.62;1290.37;145.63;12612.35;0.0;7500.0;15406.47;1200.0;0.0;0.0;0.0;0.0;9.78631916e6;954.0;9915.0;0.0;14964.62
64;16297.81;1328.11;149.89;3788.82;7500.0;599.19;16306.47;1200.0;0.0;0.0;0.0;0.0;9.78631916e6;954.0;9675.0;0.0;0.0
