t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;hy_th_fatal;Load;Defailance;Exces
1;0.0;643.39;72.61;0.0;0.0;0.0;0.0;0.0;0.0;2150.0;1275.0;2741.0;881.0;7763.0;0.0;0.0
2;0.0;511.3;57.7;0.0;0.0;0.0;-0.0;0.0;0.0;2150.0;1275.0;2416.0;878.0;7288.0;0.0;0.0
3;0.0;438.51;49.49;-0.0;0.0;0.0;-0.0;0.0;0.0;2150.0;1275.0;2127.0;873.0;6913.0;0.0;0.0
4;0.0;333.38;37.62;-0.0;0.0;0.0;-0.0;0.0;0.0;2150.0;1275.0;1818.0;872.0;6486.0;0.0;0.0
5;0.0;345.96;39.04;-0.0;0.0;0.0;-0.0;0.0;0.0;2150.0;1275.0;1599.0;875.0;6284.0;0.0;0.0
6;0.0;309.11;34.89;-0.0;0.0;0.0;-0.0;0.0;0.0;2150.0;1275.0;1632.0;880.0;6281.0;0.0;0.0
7;329.99;319.0;36.0;-0.0;-0.0;0.0;-0.0;0.0;0.0;2150.0;1275.0;1384.01;911.0;6405.0;0.0;0.0
8;3312.16;419.64;47.36;0.0;-0.0;0.0;-0.0;-0.0;0.0;2031.84;0.0;0.0;931.0;6742.0;0.0;0.0
9;8298.72;436.71;49.29;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;1208.72
10;14421.94;391.78;44.22;-0.0;0.0;0.0;900.0;1200.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;6778.94
11;18846.29;437.61;49.39;-0.0;0.0;0.0;1800.0;1200.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;11051.29
12;21400.69;598.46;67.54;-0.0;0.0;0.0;2700.0;1200.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;13578.69
13;23099.54;586.78;66.22;-0.0;0.0;0.0;3600.0;1200.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;14946.54
