Heure;Nucléaire;Charbon;Gaz semi-base;Gaz pointe;Fioul;Hydro;STEP pompage;STEP turbinage;Batterie injection;Batterie soutirage;Load
1;6200.0;0.0;0.0;0.0;0.0;959.0;0.0;0.0;0.0;0.0;10431
2;6200.0;0.0;0.0;0.0;0.0;533.0;-0.0;0.0;0.0;0.0;9965
3;6200.0;0.0;0.0;0.0;0.0;171.0;0.0;0.0;0.0;0.0;9827
4;6200.0;0.0;0.0;0.0;0.0;630.0;0.0;-0.0;0.0;0.0;10116
5;6200.0;1356.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10708
6;6200.0;1984.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11195
7;6200.0;2461.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11480
8;6200.0;2567.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11712
9;6200.0;2426.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11842
10;6200.0;2541.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11977
11;6200.0;2596.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12200
12;6200.0;2082.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11772
13;6200.0;1911.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11405
14;6200.0;2115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11147
15;6200.0;2588.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11069
16;6200.0;3000.0;0.0;0.0;0.0;457.0;0.0;0.0;0.0;0.0;11600
17;6200.0;3000.0;0.0;0.0;0.0;1119.0;0.0;0.0;0.0;0.0;12071
18;6200.0;3000.0;0.0;0.0;0.0;1273.0;0.0;0.0;0.0;0.0;12104
19;6200.0;3000.0;0.0;0.0;0.0;860.0;0.0;0.0;0.0;0.0;11584
20;6200.0;3000.0;0.0;0.0;0.0;422.0;0.0;0.0;0.0;0.0;11104
21;6200.0;3000.0;0.0;0.0;0.0;693.0;0.0;0.0;0.0;0.0;11427
22;6200.0;3000.0;0.0;0.0;0.0;731.0;0.0;-0.0;0.0;0.0;11609
