Heure ; Nucléaire ; Charbon ; Gaz semi-base ; Gaz pointe ; Fioul ; Hydro ; STEP pompage ; STEP turbinage ; Batterie injection ; Batterie soutirage
1 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4306.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
2 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3981.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
3 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3692.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
4 ; 5243.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
5 ; 5024.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
6 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3197.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
7 ; 5112.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
8 ; 5073.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
9 ; 5211.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
10 ; 5263.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
11 ; 5053.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
12 ; 4871.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
13 ; 5063.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
14 ; 4415.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
15 ; 4002.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
16 ; 3826.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
17 ; 3858.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
18 ; 4087.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
19 ; 4814.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; -0.0 ; 0.0 ; 0.0
20 ; 5377.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
21 ; 5402.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
22 ; 5320.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
23 ; 5808.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
24 ; 5906.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
25 ; 5316.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
26 ; 4760.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
27 ; 4141.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
28 ; 3782.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
29 ; 3694.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
30 ; 3523.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
31 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1460.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
32 ; 3189.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
33 ; 3241.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
34 ; 3236.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
35 ; 3030.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
36 ; 2657.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
37 ; 2609.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
38 ; 2170.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
39 ; 1917.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
40 ; 1915.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
41 ; 2096.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
42 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 620.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
43 ; 3437.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
44 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2447.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
45 ; 4627.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
46 ; 4590.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
47 ; 5314.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
48 ; 5225.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
49 ; 4692.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
50 ; 4401.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
51 ; 4586.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
52 ; 4355.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
53 ; 4347.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
54 ; 4744.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
55 ; 5413.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
56 ; 6130.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
57 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4439.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
58 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4369.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
59 ; 5960.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
60 ; 5740.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
61 ; 5473.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
62 ; 5299.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
63 ; 5113.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
64 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3090.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
65 ; 5018.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
66 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3582.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
67 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 24.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
68 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 690.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
69 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 802.0 ; 0.0 ; -0.0 ; 0.0 ; 0.0
70 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 762.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
71 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1305.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
72 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1332.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
73 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 565.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
74 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 187.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
75 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4094.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
76 ; 5544.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
77 ; 5487.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
78 ; 5688.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
79 ; 6119.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
80 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 368.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
81 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 437.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
82 ; 3925.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2368.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
83 ; 5851.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
84 ; 5528.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
85 ; 5261.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
86 ; 4707.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
87 ; 4569.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
88 ; 4295.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
89 ; 4335.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
90 ; 4524.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
