Nucléaire ;Charbon ;Gaz semi-base ;Gaz pointe ;Fioul ;Hydro ;STEP pompage ;STEP turbinage ;Batterie injection ;Batterie soutirage ;RES ;load ;Net load 
5546.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 620.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1597 ;  7763 ; 6166 
5841.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1447 ;  7288 ; 5841 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3692.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1361 ;  6913 ; 5552 
5243.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1243 ;  6486 ; 5243 
5024.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1260 ;  6284 ; 5024 
5057.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1224 ;  6281 ; 5057 
5112.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1293 ;  6405 ; 5112 
5073.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1669 ;  6742 ; 5073 
5211.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2098 ;  7309 ; 5211 
5263.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2551 ;  7814 ; 5263 
5053.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2968 ;  8021 ; 5053 
4871.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3358 ;  8229 ; 4871 
5063.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3482 ;  8545 ; 5063 
4415.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3793 ;  8208 ; 4415 
4002.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3979 ;  7981 ; 4002 
3826.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3886 ;  7712 ; 3826 
3858.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3680 ;  7538 ; 3858 
4087.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3443 ;  7530 ; 4087 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2954.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2941 ;  7755 ; 4814 
5377.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2376 ;  7753 ; 5377 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3542.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2007 ;  7409 ; 5402 
5320.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1912 ;  7232 ; 5320 
5808.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1972 ;  7780 ; 5808 
5906.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2114 ;  8020 ; 5906 
5316.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2085 ;  7401 ; 5316 
4760.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2211 ;  6971 ; 4760 
4141.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2455 ;  6596 ; 4141 
3782.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2387 ;  6169 ; 3782 
3694.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2246 ;  5940 ; 3694 
3523.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2293 ;  5816 ; 3523 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1460.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2437 ;  5757 ; 3320 
3189.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2799 ;  5988 ; 3189 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1381.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3210 ;  6451 ; 3241 
3236.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3743 ;  6979 ; 3236 
3030.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4354 ;  7384 ; 3030 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 797.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5072 ;  7729 ; 2657 
2609.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5530 ;  8139 ; 2609 
2170.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5649 ;  7819 ; 2170 
1917.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5660 ;  7577 ; 1917 
1915.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5464 ;  7379 ; 1915 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 236.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5185 ;  7281 ; 2096 
2480.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4872 ;  7352 ; 2480 
3437.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4147 ;  7584 ; 3437 
4307.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3463 ;  7770 ; 4307 
4627.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3037 ;  7664 ; 4627 
4590.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2954 ;  7544 ; 4590 
5314.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2760 ;  8074 ; 5314 
5225.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2953 ;  8178 ; 5225 
4692.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2813 ;  7505 ; 4692 
4401.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2709 ;  7110 ; 4401 
4586.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2198 ;  6784 ; 4586 
4355.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2086 ;  6441 ; 4355 
4347.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2086 ;  6433 ; 4347 
4744.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2047 ;  6791 ; 4744 
5413.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2068 ;  7481 ; 5413 
6130.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2235 ;  8365 ; 6130 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4439.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2666 ;  8965 ; 6299 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 29.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3165 ;  9394 ; 6229 
5960.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3685 ;  9645 ; 5960 
5740.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4126 ;  9866 ; 5740 
5473.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4556 ;  10029 ; 5473 
5299.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4636 ;  9935 ; 5299 
5113.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4802 ;  9915 ; 5113 
4950.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4725 ;  9675 ; 4950 
5018.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4438 ;  9456 ; 5018 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3582.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3862 ;  9304 ; 5442 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 24.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3132 ;  9356 ; 6224 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 690.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2337 ;  9227 ; 6890 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 802.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1683 ;  8685 ; 7002 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 762.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1403 ;  8365 ; 6962 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1305.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1304 ;  8809 ; 7505 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1332.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1300 ;  8832 ; 7532 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 565.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1321 ;  8086 ; 6765 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4527.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1257 ;  7644 ; 6387 
5954.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1367 ;  7321 ; 5954 
5544.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1404 ;  6948 ; 5544 
5487.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1374 ;  6861 ; 5487 
5688.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1440 ;  7128 ; 5688 
6119.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1614 ;  7733 ; 6119 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 368.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1985 ;  8553 ; 6568 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 437.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2531 ;  9168 ; 6637 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 93.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3282 ;  9575 ; 6293 
5851.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3955 ;  9806 ; 5851 
5528.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4509 ;  10037 ; 5528 
5261.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;4888 ;  10149 ; 5261 
4707.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5335 ;  10042 ; 4707 
4569.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5478 ;  10047 ; 4569 
4295.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;5547 ;  9842 ; 4295 
