t;H2_total;Hydro;Solaire;Onshore;Offshore;STEP_charge;STEP_decharge;Battery_charge;Battery_decharge;Load;Net_load
1;850.0;4741.36;0.0;2171.64;0.0;-0.0;0.0;-0.0;0.0;7763.0;5591.36
2;850.0;4712.21;0.0;1725.79;0.0;-0.0;-0.0;-0.0;-0.0;7288.0;5562.21
3;850.0;4582.89;0.0;1480.11;0.0;-0.0;-0.0;-0.0;0.0;6913.0;5432.89
4;850.0;4510.75;0.0;1125.25;0.0;-0.0;0.0;-0.0;0.0;6486.0;5360.75
5;850.0;4266.29;0.0;1167.71;0.0;-0.0;-0.0;-0.0;0.0;6284.0;5116.29
6;850.0;4387.64;0.0;1043.36;0.0;-0.0;0.0;-0.0;-0.0;6281.0;5237.64
7;850.0;4268.18;210.1;1076.72;0.0;-0.0;0.0;-0.0;-0.0;6405.0;5118.18
8;850.0;2366.84;2108.74;1416.42;0.0;-0.0;0.0;-0.0;-0.0;6742.0;3216.84
9;850.0;0.0;5283.51;1474.05;0.0;-298.56;0.0;-0.0;-0.0;7309.0;551.44
10;0.0;0.0;9181.95;1322.4;0.0;-1200.0;0.0;-0.0;0.0;7814.0;-2690.35
11;0.0;0.0;11998.79;1477.08;0.0;-1200.0;0.0;-0.0;0.0;8021.0;-5454.87
12;0.0;0.0;13625.08;2019.99;0.0;-1200.0;0.0;-0.0;0.0;8229.0;-7416.07
13;0.0;0.0;14706.68;1980.56;0.0;-1200.0;0.0;-0.0;0.0;8545.0;-8142.24
14;0.0;0.0;15648.22;2568.97;0.0;-1200.0;0.0;-490.21;0.0;8208.0;-10009.19
15;0.0;0.0;16519.73;2826.77;0.0;-1200.0;0.0;-10165.5;0.0;7981.0;-11365.5
16;0.0;0.0;15827.19;2820.71;0.0;-1200.0;0.0;-9735.9;0.0;7712.0;-10935.9
17;0.0;0.0;14589.96;2690.29;0.0;-1200.0;0.0;-8542.25;0.0;7538.0;-9742.25
18;0.0;0.0;12535.7;2793.41;0.0;-1200.0;0.0;-6599.11;0.0;7530.0;-7799.11
19;0.0;0.0;8777.32;2747.91;0.0;-1200.0;0.0;-2570.24;0.0;7755.0;-3770.24
20;850.0;0.0;4668.79;2672.09;0.0;-1200.0;0.0;-0.0;762.12;7753.0;412.12
21;850.0;0.0;1641.86;2760.05;0.0;-0.0;0.0;-0.0;2157.1;7409.0;3007.1
22;850.0;0.0;233.44;3036.05;0.0;-0.0;0.0;-0.0;3112.51;7232.0;3962.51
23;850.0;0.0;0.0;3324.19;0.0;-0.0;0.0;-0.0;3605.81;7780.0;4455.81
24;850.0;0.0;0.0;3767.01;0.0;-0.0;0.0;-0.0;3402.99;8020.0;4252.99
25;850.0;0.0;0.0;3615.36;0.0;-0.0;0.0;-0.0;2935.64;7401.0;3785.64
26;850.0;0.0;0.0;4009.65;0.0;-1154.41;0.0;-0.0;3265.76;6971.0;2961.35
27;850.0;0.0;0.0;4752.74;0.0;-1200.0;0.0;-0.0;2193.26;6596.0;1843.26
28;850.0;0.0;0.0;4549.53;0.0;-1200.0;0.0;-0.0;1969.47;6169.0;1619.47
29;850.0;0.0;0.0;4124.9;0.0;-1200.0;0.0;-0.0;2165.1;5940.0;1815.1
30;850.0;0.0;7.78;4249.26;0.0;-0.0;0.0;-0.0;708.96;5816.0;1558.96
31;850.0;0.0;427.97;4428.2;0.0;-1200.0;0.0;-0.0;1250.82;5757.0;900.82
32;0.0;0.0;2668.99;4604.12;0.0;-1200.0;0.0;-0.0;0.0;5988.0;-1285.11
33;0.0;0.0;6404.02;4376.64;0.0;-1200.0;0.0;-0.0;0.0;6451.0;-4329.66
34;0.0;0.0;11111.72;4143.1;0.0;-1200.0;0.0;-0.0;0.0;6979.0;-8275.82
35;0.0;0.0;15461.47;4297.78;0.0;-1200.0;0.0;-0.0;0.0;7384.0;-12375.26
36;0.0;0.0;18348.34;5350.24;0.0;-1200.0;0.0;-0.0;0.0;7729.0;-15969.58
37;0.0;0.0;20223.64;6011.44;0.0;-1200.0;0.0;-0.0;0.0;8139.0;-18096.08
38;0.0;0.0;20822.8;6150.96;0.0;-1200.0;0.0;-0.0;0.0;7819.0;-19154.76
39;0.0;0.0;20208.07;6430.0;0.0;-1200.0;0.0;-0.0;0.0;7577.0;-19061.07
40;0.0;0.0;18908.59;6348.1;0.0;-1200.0;0.0;-5456.25;0.0;7379.0;-17877.7
41;0.0;0.0;15866.1;6702.97;0.0;-1200.0;0.0;-14088.07;0.0;7281.0;-15288.07
42;0.0;0.0;12644.64;7027.5;0.0;-1200.0;0.0;-11120.14;0.0;7352.0;-12320.14
43;0.0;0.0;8310.44;6524.02;0.0;-1200.0;0.0;-6050.46;0.0;7584.0;-7250.46
44;0.0;0.0;4295.29;6063.0;0.0;-1200.0;0.0;-1388.29;0.0;7770.0;-2588.29
45;850.0;0.0;1462.89;5899.22;0.0;-1200.0;0.0;-0.0;651.9;7664.0;301.9
46;850.0;0.0;233.44;6120.63;0.0;-0.0;0.0;-0.0;339.93;7544.0;1189.93
