t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;1085.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4765.45;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;1124.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4244.85;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;1197.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3612.85;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;1199.68;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3126.76;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1308.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2482.29;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;1560.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1619.97;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;1723.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1361.27;0.0;1370.0;9732.0;0.0;0.0;0.0
8;78.23;5457.79;1782.37;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;1319.61;0.0;1378.0;10016.0;0.0;0.0;0.0
9;1223.77;5581.15;1822.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.42;0.0;1388.0;10491.0;0.0;0.0;0.0
10;3822.18;5350.41;1747.3;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;184.73;0.0;0.0;1395.0;10851.0;0.0;0.0;263.9
11;6342.36;5071.7;1656.28;0.0;2383.34;0.0;900.0;1200.0;0.0;0.0;0.0;184.73;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;7683.48;5092.26;1663.0;2025.84;1806.99;0.0;1800.0;1200.0;0.0;0.0;0.0;1493.55;0.0;0.0;1400.0;10962.0;0.0;0.0;1869.75
13;8443.45;5651.97;1845.78;3561.78;0.0;0.0;2700.0;1200.0;0.0;0.0;0.0;4983.19;0.0;0.0;1400.0;11156.0;0.0;0.0;4985.2
14;8829.02;6545.23;2137.5;3561.78;0.0;0.0;3600.0;1200.0;0.0;0.0;0.0;9962.82;0.0;0.0;1400.0;10598.0;0.0;0.0;7113.75
15;8421.09;6942.74;2267.31;3561.78;7500.0;0.0;4500.0;1200.0;0.0;0.0;0.0;10131.62;0.0;0.0;1396.0;10086.0;0.0;0.0;241.15
16;7191.74;6266.52;2046.48;9936.78;5956.73;0.0;5400.0;1200.0;0.0;0.0;0.0;10131.62;0.0;0.0;1394.0;9742.0;0.0;0.0;0.0
17;4397.74;6140.87;2005.44;15000.0;0.0;0.0;6300.0;1200.0;0.0;0.0;0.0;12383.56;0.0;0.0;1392.0;9519.0;0.0;0.0;3217.05
18;1497.58;5864.44;1915.17;15000.0;0.0;-0.0;7200.0;981.18;0.0;0.0;0.0;12383.56;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;128.52;5576.58;1821.16;15000.0;0.0;1266.73;7935.89;0.0;0.0;430.0;0.0;11666.89;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;1649.57;13509.73;0.0;2599.62;7935.89;0.0;0.0;337.68;0.0;11104.1;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;1715.97;10451.35;0.0;829.57;7935.89;0.0;1200.0;151.0;0.0;10852.43;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;1854.74;9475.39;0.0;1034.88;6735.89;0.0;0.0;151.0;0.0;10600.76;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;1862.94;8257.89;0.0;214.54;6735.89;0.0;1200.0;151.0;0.0;10349.1;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;1789.83;8005.49;0.0;854.54;5535.89;0.0;1200.0;151.0;0.0;10097.43;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
