t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;1475.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4375.45;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;1528.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3840.92;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;1627.64;-0.0;0.0;0.0;-0.0;0.0;-0.0;0.0;0.0;0.0;3182.66;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;1630.69;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;2695.76;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1778.75;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;2012.16;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;2120.5;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1059.51;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;2342.59;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;742.1;0.0;1370.0;9732.0;0.0;0.0;0.0
8;233.33;5457.79;2422.71;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;524.17;0.0;1378.0;10016.0;0.0;0.0;0.0
9;3650.0;5581.15;2477.47;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;2605.62;0.0
10;11400.0;5350.41;2375.04;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;9669.46;0.0
11;18916.67;5071.7;2251.32;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;16752.69;0.0
12;22916.67;5092.26;2260.45;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;20707.37;0.0
13;25183.33;5651.97;2508.9;-0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;22388.21;0.0
14;26333.33;6545.23;2905.42;-0.0;0.0;0.0;900.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;25385.99;0.0
15;25116.67;6942.74;3081.88;-0.0;0.0;0.0;1800.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;25251.29;0.0
16;21450.0;6266.52;2781.7;0.0;7500.0;0.0;2700.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;13450.22;0.0
17;13116.67;6140.87;2725.92;6375.0;4299.99;0.0;3600.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;8356.47;0.0
18;4466.67;5864.44;2603.22;10029.99;4638.32;0.0;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;383.33;5576.58;2475.44;13972.56;0.0;787.64;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;2242.19;13045.92;0.0;2344.67;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;2332.45;10287.48;0.0;1564.09;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;2521.07;8447.38;0.0;519.54;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;2532.23;7836.16;0.0;896.25;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;2432.85;6781.74;0.0;1562.52;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;5240.75;2326.37;4943.48;0.0;1520.88;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;5338.99;2369.97;3154.21;0.0;1089.04;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;4980.32;2210.76;1872.99;0.0;1298.93;4500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;6058.62;2689.42;344.84;0.0;293.12;4500.0;1044.16;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;5677.1;2520.06;-0.0;0.0;0.0;5283.12;427.16;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
