t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;1736.07;195.93;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;1.0e7;5339.0;0.0;723.0;7994.0;0.0;0.0;0.0
2;0.0;1491.66;168.34;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;0.0;9.99283333e6;863.0;0.0;723.0;7546.0;0.0;0.0;0.0
3;0.0;1430.55;161.45;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;0.0;9.98566667e6;563.0;0.0;724.0;7179.0;0.0;0.0;0.0
4;0.0;1326.32;149.68;0.0;0.0;-0.0;-0.0;0.0;0.0;4300.0;0.0;9.9785e6;256.0;0.0;724.0;6756.0;0.0;0.0;0.0
5;0.0;1199.62;135.38;0.0;0.0;-0.0;-0.0;0.0;0.0;4300.0;0.0;9.97133333e6;214.0;0.0;728.0;6577.0;0.0;0.0;0.0
6;0.0;1125.93;127.07;0.0;0.0;-0.0;-0.0;0.0;0.0;4300.0;0.0;9.96416667e6;331.0;0.0;740.0;6624.0;0.0;0.0;0.0
7;0.0;1059.44;119.56;-0.0;0.0;0.0;-0.0;0.0;0.0;4300.0;0.0;9.957e6;629.0;0.0;766.0;6874.0;0.0;0.0;0.0
8;103.65;1024.39;115.61;0.0;0.0;0.0;0.0;0.0;-0.0;4300.0;0.0;9.94983333e6;732.35;0.0;786.0;7062.0;0.0;0.0;0.0
9;1322.82;1009.12;113.88;-0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;0.0;9.94266667e6;30.18;0.0;797.0;7573.0;0.0;0.0;0.0
10;4639.75;1010.91;114.09;-0.0;0.0;0.0;0.0;997.75;0.0;2580.0;0.0;9.93836667e6;0.0;0.0;803.0;8150.0;0.0;0.0;0.0
11;8025.79;1018.1;114.9;0.0;0.0;0.0;748.32;1200.0;0.0;0.0;0.0;9.93836667e6;0.0;0.0;799.0;8432.0;0.0;325.79;0.0
