t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;1183.49;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;4667.49;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;1225.79;0.0;0.0;-0.0;0.0;0.0;-0.0;860.0;0.0;0.0;3283.39;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;1305.5;0.0;0.0;-0.0;-0.0;0.0;0.0;860.0;0.0;0.0;2644.8;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;1307.94;-0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;2158.5;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1426.7;-0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;1504.2;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;1700.81;-0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;619.19;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;1878.95;-0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;345.74;0.0;1370.0;9732.0;0.0;0.0;0.0
8;70.11;5457.79;1943.21;-0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;0.0;306.89;0.0;1378.0;10016.0;0.0;0.0;0.0
9;1096.75;5581.15;1987.13;-0.0;0.0;0.0;0.0;422.03;0.0;860.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;3425.46;5350.41;1904.98;0.0;0.0;0.0;316.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;24.85;0.0
11;5684.06;5071.7;1805.74;-0.0;0.0;0.0;1216.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;1874.5;0.0
12;6885.97;5092.26;1813.06;-0.0;0.0;0.0;2116.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;3029.3;0.0
13;7567.06;5651.97;2012.35;-0.0;4275.38;0.0;3016.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;7912.61;6545.23;2330.38;3634.07;0.0;0.0;3916.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;6390.23;0.0
15;7547.03;6942.74;2471.92;3634.07;7071.69;0.0;4816.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;0.0;0.0
16;6445.27;6266.52;2231.15;9645.01;3358.43;0.0;5716.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;2036.51;0.0
17;3941.28;6140.87;2186.41;12499.67;2941.56;0.0;6616.52;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;0.0;0.0
18;1342.14;5864.44;2087.99;15000.0;-0.0;0.0;7516.52;1200.0;0.0;201.43;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;115.18;5576.58;1985.5;15000.0;0.0;1885.73;8416.52;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;1798.42;12781.5;0.0;1928.44;9316.52;0.0;0.0;860.0;0.0;0.0;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;1870.81;10512.74;0.0;1165.72;9316.52;0.0;0.0;860.0;0.0;0.0;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;2022.11;9141.3;0.0;1358.51;9316.52;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;2031.05;7543.06;0.0;537.43;10216.52;0.0;0.0;860.0;0.0;0.0;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;1951.34;6910.79;0.0;1184.03;10216.52;0.0;0.0;860.0;0.0;0.0;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;5240.75;1865.93;5517.82;0.0;1121.31;10216.52;0.0;0.0;860.0;0.0;0.0;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;5338.99;1900.91;4198.63;0.0;1656.58;10216.52;958.48;0.0;860.0;0.0;0.0;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;4980.32;1773.21;2249.71;0.0;876.48;10935.38;0.0;0.0;860.0;0.0;0.0;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;6058.62;2157.13;1218.56;0.0;121.25;10935.38;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;5677.1;2021.29;1075.92;0.0;411.6;11835.38;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
30;0.0;5887.28;2096.13;591.68;0.0;170.59;12735.38;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1367.0;9181.0;0.0;0.0;0.0
31;0.0;6136.3;2184.79;390.99;0.0;40.92;13635.38;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1369.0;9391.0;0.0;0.0;0.0
32;35.06;5983.23;2130.29;342.85;0.0;291.42;14535.38;1200.0;0.0;860.0;0.0;0.0;0.0;0.0;1378.0;9478.0;0.0;0.0;0.0
33;1206.92;6218.54;2214.07;-0.0;0.0;0.0;15435.38;1129.53;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;9898.0;0.0;0.0;0.0
34;3796.05;6933.61;2468.66;0.0;0.0;0.0;16282.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;10298.0;0.0;3094.32;0.0
35;6410.22;7479.61;2663.06;-0.0;-0.0;0.0;17182.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10446.0;0.0;6303.89;0.0
36;8213.09;7680.65;2734.64;0.0;0.0;0.0;18082.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10519.0;0.0;8309.39;0.0
37;9104.51;7785.74;2772.06;-0.0;-0.0;0.0;18982.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10713.0;0.0;9149.31;0.0
38;9450.06;8704.13;3099.05;0.0;0.0;-0.0;19882.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1399.0;10031.0;0.0;11421.24;0.0
39;8799.02;9103.93;3241.39;-0.0;0.0;0.0;20782.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;9466.0;0.0;11874.34;0.0
40;7116.34;9275.27;3302.39;0.0;0.0;0.0;21682.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9113.0;0.0;10775.0;0.0
41;4417.04;9174.75;3266.61;-0.0;0.0;-0.0;22582.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;8949.0;0.0;8101.39;0.0
42;1492.38;9551.7;3400.82;0.0;0.0;0.0;23482.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9168.0;0.0;5467.89;0.0
43;95.15;10202.79;3632.63;-0.0;3951.58;0.0;24382.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10165.0;0.0;0.0;0.0
44;0.0;10474.66;3729.43;3358.84;0.0;2855.02;25282.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1385.0;10902.0;0.0;6342.1;0.0
45;0.0;10358.14;3687.95;0.0;0.0;-0.0;26182.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10535.0;0.0;3689.09;0.0
46;0.0;9617.95;3424.4;0.0;0.0;0.0;27082.53;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10082.0;0.0;3133.35;0.0
