t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;5575.76;147.55;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;3451.69;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;5775.03;152.83;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;2884.15;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;6150.58;162.76;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;2163.66;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;6162.07;163.07;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;1674.86;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;6721.56;177.87;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;898.56;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;8012.99;212.05;-0.0;0.0;0.0;0.0;268.04;0.0;0.0;0.0;-0.0;0.0;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;8852.23;234.26;-0.0;0.0;0.0;201.03;724.49;0.0;0.0;0.0;-0.0;0.0;0.0;1370.0;9732.0;0.0;0.0;0.0
8;21.32;9154.97;242.27;-0.0;0.0;0.0;744.4;780.56;0.0;0.0;0.0;-0.0;0.0;0.0;1378.0;10016.0;0.0;0.0;0.0
9;333.45;9361.91;247.75;-0.0;0.0;0.0;1329.82;840.1;0.0;0.0;0.0;-0.0;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;1041.46;8974.86;237.5;-0.0;0.0;0.0;1959.9;797.82;0.0;0.0;0.0;-0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
11;1728.15;8507.34;225.13;-0.0;0.0;0.0;2558.26;973.62;0.0;0.0;-0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;2093.58;8541.83;226.04;0.0;99.45;0.0;3288.48;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;0.0;0.0
13;2300.65;9480.7;250.89;84.53;1076.24;0.0;4188.48;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;2405.71;10979.07;290.54;999.34;3277.32;0.0;5088.48;1200.0;0.0;0.0;-0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;0.0;-0.0
15;2294.56;11645.86;308.19;3785.06;2142.13;0.0;5988.48;1200.0;0.0;0.0;-0.0;1551.53;0.0;0.0;1396.0;10086.0;0.0;0.0;2216.47
16;1959.59;10511.55;278.17;5605.87;2832.6;0.0;6888.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1394.0;9742.0;0.0;0.0;368.7
17;1198.29;10300.78;272.59;8013.59;2444.66;0.0;7788.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1392.0;9519.0;0.0;0.0;0.0
18;408.06;9837.09;260.32;10091.55;1009.47;0.0;8688.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;35.02;9354.24;247.54;10949.59;0.0;786.19;9588.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;8472.85;224.22;10024.66;0.0;2140.93;10488.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;8813.91;233.24;7505.92;0.0;1303.84;11388.48;1200.0;0.0;0.0;-0.0;1809.62;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;9526.69;252.11;5971.98;0.0;141.21;12288.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;9568.84;253.22;5805.86;0.0;510.94;13188.48;1200.0;0.0;0.0;-0.0;1809.62;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;9193.29;243.28;5204.76;0.0;1239.42;14088.48;1200.0;0.0;0.0;0.0;1809.62;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;8790.92;232.64;3746.61;0.0;1264.45;14988.48;1200.0;0.0;0.0;-0.0;1809.62;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;8955.7;237.0;2259.03;0.0;805.3;15888.48;1200.0;0.0;0.0;-0.0;1809.62;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;8354.05;221.08;1311.61;0.0;1114.87;16788.48;1200.0;0.0;0.0;-0.0;1809.62;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;10162.82;268.94;-0.0;0.0;0.0;17688.48;1200.0;0.0;0.0;-0.0;2673.96;0.0;0.0;1367.0;9364.0;0.0;0.0;1234.76
29;0.0;9522.86;252.01;0.0;0.0;-0.0;18588.48;1200.0;0.0;0.0;0.0;3237.36;0.0;0.0;1365.0;9135.0;0.0;0.0;804.86
30;0.0;9875.41;261.34;0.0;0.0;-0.0;19488.48;1200.0;0.0;0.0;-0.0;4023.28;0.0;0.0;1367.0;9181.0;0.0;0.0;1122.75
31;0.0;10293.11;272.39;0.0;0.0;-0.0;20388.48;1200.0;0.0;0.0;0.0;4963.74;0.0;0.0;1369.0;9391.0;0.0;0.0;1343.5
32;10.66;10036.36;265.6;0.0;0.0;-0.0;21288.48;1200.0;0.0;0.0;0.0;5672.57;0.0;0.0;1378.0;9478.0;0.0;0.0;1012.61
33;366.95;10431.07;276.04;0.0;0.0;-0.0;22188.48;1200.0;0.0;0.0;0.0;6627.41;0.0;0.0;1388.0;9898.0;0.0;0.0;1364.06
34;1154.13;11630.53;307.78;0.0;2781.87;2009.9;23088.48;1200.0;0.0;0.0;-0.0;8178.94;0.0;0.0;1394.0;10298.0;0.0;0.0;2216.47
35;1948.93;12546.41;332.02;0.0;2514.0;152.11;23988.48;1200.0;0.0;0.0;-0.0;9730.47;0.0;0.0;1397.0;10446.0;0.0;0.0;2216.47
36;2497.07;12883.64;340.94;1957.94;3186.17;0.0;24888.48;1200.0;0.0;0.0;-0.0;11282.0;0.0;0.0;1400.0;10519.0;0.0;0.0;2216.47
37;2768.09;13059.92;345.61;4666.19;3444.14;0.0;25788.48;1200.0;0.0;0.0;0.0;12833.53;0.0;0.0;1400.0;10713.0;0.0;0.0;2216.47
38;2873.15;14600.43;386.38;7593.71;5811.49;0.0;26688.48;1200.0;0.0;0.0;-0.0;14385.07;0.0;0.0;1399.0;10031.0;0.0;0.0;2216.47
39;2675.21;15271.06;404.12;12533.47;6863.92;0.0;27588.48;1200.0;0.0;0.0;0.0;15936.6;0.0;0.0;1396.0;9466.0;0.0;0.0;2216.47
40;2163.62;15558.47;411.73;18367.8;6998.34;0.0;28488.48;1200.0;0.0;0.0;-0.0;17488.13;0.0;0.0;1394.0;9113.0;0.0;0.0;2216.47
41;1342.93;15389.85;407.27;24316.39;6166.58;0.0;29388.48;1200.0;0.0;0.0;-0.0;19039.66;0.0;0.0;1392.0;8949.0;0.0;0.0;2216.47
