t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4361.96;1323.97;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;1196.06;0.0;881.0;7763.0;0.0;0.0;0.0
2;0.0;3466.42;1052.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1891.43;0.0;878.0;7288.0;0.0;0.0;0.0
3;0.0;2972.96;902.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2164.67;0.0;873.0;6913.0;0.0;0.0;0.0
4;0.0;2260.18;686.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2667.79;0.0;872.0;6486.0;0.0;0.0;0.0
5;0.0;2345.47;711.91;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;2351.62;0.0;875.0;6284.0;0.0;0.0;0.0
6;0.0;2095.69;636.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2669.21;0.0;880.0;6281.0;0.0;0.0;0.0
7;447.56;2162.71;656.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2227.29;0.0;911.0;6405.0;0.0;0.0;0.0
8;4492.19;2845.02;863.54;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;931.0;6742.0;0.0;2389.75;0.0
9;11255.33;2960.78;898.68;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;8738.78;0.0
10;19560.07;2656.17;806.22;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;16143.46;0.0
11;25560.71;2966.87;900.52;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;22346.1;0.0
12;29025.16;4057.36;1231.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;27026.04;0.0
13;31329.27;3978.16;1207.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;28908.91;0.0
14;33335.01;5160.03;1566.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;8208.0;0.0;32788.25;0.0
15;35191.56;5677.86;1723.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;924.0;7981.0;0.0;35535.81;0.0
16;33716.26;5665.68;1719.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;922.0;7712.0;0.0;34311.63;0.0
17;31080.62;5403.72;1640.17;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;918.0;7538.0;0.0;31504.52;0.0
