t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;848.66;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;1.0e7;5002.32;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;878.99;0.0;0.0;0.0;0.0;0.0;-0.0;2150.0;0.0;9.99641667e6;2340.19;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;936.15;-0.0;0.0;-0.0;-0.0;0.0;0.0;2150.0;0.0;9.99283333e6;1724.15;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;937.9;0.0;0.0;0.0;0.0;0.0;-0.0;2150.0;0.0;9.98925e6;1238.54;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1023.06;-0.0;0.0;-0.0;0.0;0.0;-0.0;2150.0;0.0;9.98566667e6;617.84;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;1219.62;-0.0;0.0;0.0;0.0;189.62;0.0;2150.0;0.0;9.98208333e6;0.0;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;1347.36;0.0;0.0;-0.0;142.21;412.67;0.0;2150.0;0.0;9.9785e6;0.0;0.0;1370.0;9732.0;0.0;0.0;0.0
8;31.18;5457.79;1393.44;-0.0;0.0;0.0;451.71;394.41;0.0;2150.0;0.0;9.97491667e6;0.0;0.0;1378.0;10016.0;0.0;0.0;0.0
9;487.79;5581.15;1424.94;-0.0;0.0;0.0;747.52;540.88;0.0;2150.0;0.0;9.97133333e6;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;1523.51;5350.41;1366.03;-0.0;0.0;0.0;1153.18;933.95;0.0;2150.0;0.0;9.96775e6;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
11;2528.05;5071.7;1294.87;-0.0;0.0;0.0;1853.64;1200.0;0.0;1792.39;0.0;9.96476268e6;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;3062.61;5092.26;1300.12;-0.0;0.0;0.0;2753.64;1200.0;0.0;1307.01;0.0;9.96258433e6;0.0;0.0;1400.0;10962.0;0.0;0.0;0.0
13;3365.53;5651.97;1443.02;-0.0;0.0;0.0;3653.64;1200.0;0.0;495.48;0.0;9.96175853e6;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;3519.22;6545.23;1671.08;0.0;1337.53;0.0;4553.64;1200.0;0.0;0.0;0.0;9.96175853e6;0.0;0.0;1400.0;10598.0;0.0;0.0;0.0
15;3356.62;6942.74;1772.57;1136.9;2181.93;0.0;5453.64;1200.0;0.0;0.0;0.0;9.96175853e6;0.0;0.0;1396.0;10086.0;0.0;0.0;0.0
16;2866.6;6266.52;1599.92;2991.54;1185.04;0.0;6353.64;1200.0;0.0;0.0;0.0;9.96175853e6;0.0;0.0;1394.0;9742.0;0.0;0.0;0.0
17;1752.93;6140.87;1567.84;3998.83;134.63;0.0;7253.64;1200.0;0.0;0.0;0.0;9.96175853e6;0.0;0.0;1392.0;9519.0;0.0;0.0;0.0
18;596.93;5864.44;1497.26;4113.26;0.0;0.0;8153.64;1200.0;0.0;1537.37;0.0;9.95919625e6;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;51.23;5576.58;1423.77;4113.26;0.0;21.42;9053.64;0.0;0.0;2150.0;0.0;9.95561291e6;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;1289.62;4088.06;0.0;2176.38;9053.64;1029.14;0.0;2150.0;0.0;9.95202958e6;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;1341.53;1527.61;0.0;405.01;9825.49;0.0;0.0;2150.0;0.0;9.94844625e6;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;1450.02;1051.13;0.0;0.0;9825.49;559.4;0.0;2150.0;0.0;9.94486291e6;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;1456.43;1051.13;0.0;0.0;10245.04;177.95;0.0;2150.0;0.0;9.94127958e6;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;1399.27;1051.13;0.0;446.1;10378.51;0.0;0.0;2150.0;0.0;9.93769625e6;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;5240.75;1338.03;526.31;0.0;359.22;10378.51;0.0;0.0;2150.0;0.0;9.93411291e6;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;5338.99;1363.11;103.7;0.0;0.0;10378.51;54.1;0.0;2150.0;0.0;9.93052958e6;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;4980.32;1271.54;103.7;0.0;88.15;10419.08;-0.0;0.0;2150.0;0.0;9.92694625e6;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;6058.62;1546.84;-0.0;0.0;0.0;10419.08;1200.0;0.0;1591.54;0.0;9.92429369e6;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;5677.1;1449.43;-0.0;0.0;-0.0;11319.08;1200.0;0.0;1843.46;0.0;9.92122125e6;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
30;0.0;5887.28;1503.09;-0.0;0.0;0.0;12219.08;1200.0;0.0;1623.62;0.0;9.91851521e6;0.0;0.0;1367.0;9181.0;0.0;0.0;0.0
31;0.0;6136.3;1566.67;-0.0;0.0;0.0;13119.08;1200.0;0.0;1519.03;0.0;9.91598349e6;0.0;0.0;1369.0;9391.0;0.0;0.0;0.0
32;15.59;5983.23;1527.59;-0.0;0.0;0.0;14019.08;1200.0;0.0;1773.58;0.0;9.91302752e6;0.0;0.0;1378.0;9478.0;0.0;0.0;0.0
33;536.79;6218.54;1587.67;-0.0;0.0;0.0;14919.08;1200.0;0.0;1367.0;0.0;9.91074919e6;0.0;0.0;1388.0;9898.0;0.0;0.0;0.0
34;1688.33;6933.61;1770.23;0.0;124.55;0.0;15819.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1394.0;10298.0;0.0;163.62;0.0
35;2851.01;7479.61;1909.64;105.87;7500.0;5508.74;16719.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1397.0;10446.0;0.0;0.0;0.0
36;3652.86;7680.65;1960.96;0.0;7500.0;4524.52;17619.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1400.0;10519.0;0.0;0.0;0.0
37;4049.33;7785.74;1987.79;1052.03;7500.0;4190.13;18519.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1400.0;10713.0;0.0;0.0;0.0
38;4203.02;8704.13;2222.27;2497.46;7500.0;2202.58;19419.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1399.0;10031.0;0.0;0.0;0.0
39;3913.46;9103.93;2324.34;6281.19;7500.0;2914.76;20319.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1396.0;9466.0;0.0;1486.49;0.0
40;3165.07;9275.27;2368.09;9227.05;7500.0;1610.57;21219.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1394.0;9113.0;0.0;0.0;0.0
41;1964.53;9174.75;2342.42;13707.26;0.0;7500.0;22119.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1392.0;8949.0;0.0;12224.7;0.0
42;663.75;9551.7;2438.66;4883.73;7500.0;3822.89;23019.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1391.0;9168.0;0.0;0.0;0.0
43;42.32;10202.79;2604.9;6761.22;7500.0;4628.99;23919.08;1200.0;0.0;0.0;0.0;9.91074919e6;0.0;0.0;1386.0;10165.0;0.0;0.0;0.0
