t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;1635.74;726.1;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;4520.16;0.0;881.0;7763.0;0.0;0.0;0.0
2;0.0;1299.91;577.03;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;4533.06;0.0;878.0;7288.0;0.0;0.0;0.0
3;0.0;1114.86;494.88;0.0;0.0;-0.0;-0.0;0.0;-0.0;0.0;0.0;0.0;4430.26;0.0;873.0;6913.0;0.0;0.0;0.0
4;0.0;847.57;376.23;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;4390.2;0.0;872.0;6486.0;0.0;0.0;0.0
5;0.0;879.55;390.43;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;4139.02;0.0;875.0;6284.0;0.0;0.0;0.0
6;0.0;785.88;348.85;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;4266.26;0.0;880.0;6281.0;0.0;0.0;0.0
7;450.0;811.01;360.01;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3872.98;0.0;911.0;6405.0;0.0;0.0;0.0
8;4516.67;1066.88;473.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;931.0;6742.0;0.0;246.14;0.0
9;11316.67;1110.29;492.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;6543.81;0.0
10;19666.67;996.06;442.15;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;14225.88;0.0
11;25700.0;1112.58;493.87;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;20224.45;0.0
12;29183.33;1521.51;675.4;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;24092.24;0.0
13;31500.0;1491.81;662.21;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;26048.02;0.0
14;33516.67;1935.01;858.95;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;935.0;8208.0;0.0;29037.63;0.0
15;35383.33;2129.2;945.15;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;924.0;7981.0;0.0;31400.68;0.0
16;33900.0;2124.63;943.12;0.0;0.0;-0.0;0.0;703.68;0.0;0.0;0.0;0.0;0.0;0.0;922.0;7712.0;0.0;29474.07;0.0
17;31250.0;2026.39;899.51;0.0;0.0;-0.0;527.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;918.0;7538.0;0.0;26355.91;0.0
18;26850.0;2104.07;933.99;0.0;2586.85;0.0;1427.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;911.0;7530.0;0.0;19482.21;0.0
19;18800.0;2069.8;918.78;2198.82;7500.0;0.0;2327.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;907.0;7755.0;0.0;6240.58;0.0
20;10000.0;2012.69;893.43;8573.82;4848.12;0.0;3227.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;895.0;7753.0;0.0;0.0;0.0
21;3516.67;2078.94;922.84;12694.72;0.0;4.56;4127.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;886.0;7409.0;0.0;0.0;0.0
22;500.0;2286.83;1015.12;12689.36;0.0;2549.04;4127.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;881.0;7232.0;0.0;0.0;0.0
23;0.0;2503.87;1111.46;9690.49;0.0;3288.67;4127.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;876.0;7780.0;0.0;0.0;0.0
24;0.0;2837.41;1259.52;5821.46;0.0;3051.07;4127.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;872.0;8020.0;0.0;0.0;0.0
25;0.0;2723.18;1208.82;2231.97;0.0;1376.0;4127.76;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;893.0;7401.0;0.0;0.0;0.0
26;0.0;3020.17;1340.65;613.15;0.0;521.18;2927.76;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;889.0;6971.0;0.0;0.0;0.0
27;0.0;3579.89;1589.11;0.0;0.0;-0.0;1727.76;0.0;539.0;0.0;0.0;0.0;0.0;0.0;888.0;6596.0;0.0;0.0;0.0
28;0.0;3426.82;1521.16;0.0;0.0;-0.0;1188.75;0.0;334.01;0.0;0.0;0.0;0.0;0.0;887.0;6169.0;0.0;0.0;0.0
29;0.0;3106.99;1379.19;0.0;0.0;-0.0;854.74;0.0;567.83;0.0;0.0;0.0;0.0;0.0;886.0;5940.0;0.0;0.0;0.0
30;16.67;3200.65;1420.77;0.0;0.0;-0.0;286.91;0.0;286.91;0.0;0.0;0.0;0.0;0.0;891.0;5816.0;0.0;0.0;0.0
31;916.67;3335.44;1480.6;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;922.0;5757.0;0.0;897.71;0.0
32;5716.67;3467.94;1539.42;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;938.0;5988.0;0.0;5674.03;0.0
33;13716.67;3296.6;1463.36;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;944.0;6451.0;0.0;12969.63;0.0
34;23800.0;3120.69;1385.27;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;949.0;6979.0;0.0;22275.97;0.0
35;33116.67;3237.21;1436.99;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;950.0;7384.0;0.0;31356.86;0.0
36;39300.0;4029.94;1788.89;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;950.0;7729.0;0.0;38339.83;0.0
37;43316.67;4527.98;2009.96;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;949.0;8139.0;0.0;42664.61;0.0
38;44600.0;4633.06;2056.61;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;945.0;7819.0;0.0;44415.68;0.0
39;43283.33;4843.24;2149.91;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;943.0;7577.0;0.0;43642.49;0.0
40;40500.0;4781.56;2122.53;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;941.0;7379.0;0.0;40966.09;0.0
41;33983.33;5048.85;2241.18;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;936.0;7281.0;0.0;34928.37;0.0
42;27083.33;5293.3;2349.69;0.0;0.0;-0.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;930.0;7352.0;0.0;27104.32;0.0
43;17800.0;4914.06;2181.35;0.0;3870.57;0.0;900.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;928.0;7584.0;0.0;13168.85;0.0
44;9200.0;4566.81;2027.2;3289.98;7500.0;0.0;1800.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;912.0;7770.0;0.0;236.02;0.0
45;3133.33;4443.45;1972.44;9664.98;1589.22;0.0;2700.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;904.0;7664.0;0.0;0.0;0.0
46;500.0;4610.22;2046.47;11015.82;0.0;0.0;3600.0;518.69;0.0;0.0;0.0;0.0;0.0;0.0;906.0;7544.0;0.0;0.0;0.0
47;0.0;4235.55;1880.16;11015.82;0.0;1052.29;3989.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;906.0;8074.0;0.0;0.0;0.0
48;0.0;4706.17;2089.06;9777.83;0.0;489.77;3989.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;893.0;8178.0;0.0;0.0;0.0
49;0.0;4393.19;1950.13;9201.64;0.0;271.68;3989.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;890.0;7505.0;0.0;0.0;0.0
50;0.0;4160.16;1846.69;8882.01;0.0;215.15;3989.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;7110.0;0.0;0.0;0.0
51;0.0;2999.61;1331.52;8628.9;0.0;1567.86;3989.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;885.0;6784.0;0.0;0.0;0.0
52;0.0;2743.74;1217.94;6784.35;0.0;1594.31;3989.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;885.0;6441.0;0.0;0.0;0.0
53;0.0;2732.32;1212.87;4908.69;0.0;397.81;3989.02;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;890.0;6433.0;0.0;0.0;0.0
54;0.0;2620.38;1163.18;4440.68;0.0;2107.44;2789.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;900.0;6791.0;0.0;0.0;0.0
55;700.0;2487.87;1104.36;1961.34;0.0;1667.14;2789.02;0.0;584.62;0.0;0.0;0.0;0.0;0.0;937.0;7481.0;0.0;0.0;0.0
56;4316.67;2318.82;1029.32;0.0;0.0;-0.0;2204.4;260.8;0.0;0.0;0.0;0.0;0.0;0.0;961.0;8365.0;0.0;0.0;0.0
57;11100.0;2357.65;1046.56;0.0;0.0;0.0;2400.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;968.0;8965.0;0.0;5307.21;0.0
58;19916.67;2291.4;1017.15;0.0;0.0;-0.0;3300.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;967.0;9394.0;0.0;13598.22;0.0
59;27516.67;2444.47;1085.1;0.0;0.0;-0.0;4200.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;964.0;9645.0;0.0;21165.23;0.0
60;33233.33;2670.64;1185.49;0.0;0.0;-0.0;5100.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;963.0;9866.0;0.0;26986.46;0.0
61;37066.67;3138.97;1393.39;0.0;0.0;-0.0;6000.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;958.0;10029.0;0.0;31328.02;0.0
62;39083.33;3054.44;1355.86;0.0;0.0;-0.0;6900.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;954.0;9935.0;0.0;33312.64;0.0
63;40200.0;3280.61;1456.26;0.0;0.0;-0.0;7800.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;954.0;9915.0;0.0;34775.87;0.0
64;38216.67;3376.56;1498.85;0.0;0.0;-0.0;8700.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;954.0;9675.0;0.0;33171.08;0.0
65;35283.33;3129.83;1389.33;0.0;0.0;-0.0;9600.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;951.0;9456.0;0.0;30097.49;0.0
66;29200.0;2656.93;1179.41;0.0;5794.16;0.0;10500.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;947.0;9304.0;0.0;17685.17;0.0
67;20716.67;2158.9;958.33;4925.04;7500.0;0.0;11400.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;944.0;9356.0;0.0;6721.9;0.0
68;11466.67;1654.01;734.21;11300.04;4352.89;0.0;12300.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;925.0;9227.0;0.0;0.0;0.0
69;4083.33;1201.67;533.42;15000.0;0.0;754.57;13200.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;912.0;8685.0;0.0;0.0;0.0
70;450.0;1076.02;477.65;14112.27;0.0;4256.33;12000.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;905.0;8365.0;0.0;0.0;0.0
71;0.0;920.67;408.69;9104.82;0.0;5378.64;10800.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;901.0;8809.0;0.0;0.0;0.0
72;0.0;936.66;415.78;2777.0;0.0;2360.45;9600.0;0.0;1200.0;0.0;0.0;0.0;3029.1;0.0;890.0;8832.0;0.0;0.0;0.0
73;0.0;984.64;437.08;0.0;0.0;-0.0;8400.0;0.0;1200.0;0.0;0.0;0.0;4574.28;0.0;890.0;8086.0;0.0;0.0;0.0
74;0.0;840.71;373.19;0.0;0.0;-0.0;7200.0;0.0;1200.0;2150.0;0.0;0.0;2191.09;0.0;889.0;7644.0;0.0;0.0;0.0
75;0.0;1098.87;487.79;0.0;0.0;-0.0;6000.0;0.0;1200.0;2580.0;0.0;0.0;1068.35;0.0;886.0;7321.0;0.0;0.0;0.0
76;0.0;1185.68;526.32;0.0;0.0;-0.0;4800.0;0.0;1200.0;3010.0;0.0;0.0;141.0;0.0;885.0;6948.0;0.0;0.0;0.0
77;0.0;1103.44;489.81;0.0;0.0;-0.0;3600.0;0.0;1200.0;1057.0;0.0;0.0;2119.75;0.0;891.0;6861.0;0.0;0.0;0.0
