t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;8864.05;216.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.34;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;9180.84;224.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;415.23;0.0;0.0;1370.0;10182.0;0.0;0.0;593.19
3;0.0;9777.87;238.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1493.1;0.0;0.0;1368.0;9845.0;0.0;0.0;1539.81
4;0.0;9796.14;239.38;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;2917.97;0.0;0.0;1367.0;9367.0;0.0;0.0;2035.53
5;0.0;10685.6;261.12;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;5122.07;0.0;0.0;1365.0;9163.0;0.0;0.0;3148.72
6;0.0;12738.64;311.29;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;8687.12;0.0;0.0;1367.0;9324.0;0.0;0.0;5092.93
7;0.0;14072.82;343.89;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12925.42;0.0;0.0;1370.0;9732.0;0.0;0.0;6054.71
8;212.0;14554.1;355.65;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;17464.04;0.0;0.0;1378.0;10016.0;0.0;0.0;6483.75
9;3316.24;14883.07;363.69;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;24086.05;0.0;0.0;1388.0;10491.0;0.0;0.0;9460.01
10;10357.58;14267.77;348.66;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;34948.66;0.0;0.0;1395.0;10851.0;0.0;0.0;15518.01
11;17186.93;13524.53;330.49;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;50037.12;0.0;0.0;1397.0;10884.0;0.0;0.0;21554.95
12;20821.17;13579.36;331.83;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;67656.37;0.0;0.0;1400.0;10962.0;0.0;0.0;25170.36
13;22880.57;15071.93;368.31;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;87651.73;0.0;0.0;1400.0;11156.0;0.0;0.0;28564.81
14;23925.41;17453.95;426.52;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;110477.25;0.0;0.0;1400.0;10598.0;0.0;0.0;32607.88
15;22820.0;18513.98;452.42;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;133644.73;0.0;0.0;1396.0;10086.0;0.0;0.0;33096.4
16;19488.61;16710.71;408.35;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;153426.51;0.0;0.0;1394.0;9742.0;0.0;0.0;28259.68
17;11917.28;16375.64;400.17;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;167822.77;0.0;0.0;1392.0;9519.0;0.0;0.0;20566.09
18;4058.23;15638.5;382.15;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;176070.79;0.0;0.0;1391.0;9687.0;0.0;0.0;11782.88
19;348.28;14870.89;363.39;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;180522.48;0.0;0.0;1386.0;10609.0;0.0;0.0;6359.56
20;0.0;13469.7;329.15;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;183435.08;0.0;0.0;1385.0;11023.0;0.0;0.0;4160.85
21;0.0;14011.9;342.4;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;187077.39;0.0;0.0;1378.0;10529.0;0.0;0.0;5203.3
22;0.0;15145.03;370.09;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;191833.98;0.0;0.0;1373.0;10093.0;0.0;0.0;6795.13
23;0.0;15212.05;371.73;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;196349.53;0.0;0.0;1369.0;10502.0;0.0;0.0;6450.78
24;0.0;14615.02;357.14;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;200196.84;0.0;0.0;1372.0;10848.0;0.0;0.0;5496.16
25;0.0;13975.35;341.51;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;203857.04;0.0;0.0;1372.0;10460.0;0.0;0.0;5228.86
26;0.0;14237.31;347.91;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;207908.09;0.0;0.0;1370.0;10168.0;0.0;0.0;5787.22
27;0.0;13280.84;324.54;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;211488.86;0.0;0.0;1368.0;9858.0;0.0;0.0;5115.38
28;0.0;16156.33;394.81;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;217476.75;0.0;0.0;1367.0;9364.0;0.0;0.0;8554.13
29;0.0;15138.94;369.94;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;222893.97;0.0;0.0;1365.0;9135.0;0.0;0.0;7738.89
30;0.0;15699.42;383.64;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;228682.32;0.0;0.0;1367.0;9181.0;0.0;0.0;8269.06
31;0.0;16363.46;399.87;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;234801.25;0.0;0.0;1369.0;9391.0;0.0;0.0;8741.33
