t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4971.34;147.55;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;-0.0;1.0e7;4056.11;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;5149.01;152.83;0.0;0.0;0.0;0.0;0.0;-0.0;1290.0;0.0;9.99785e6;2220.17;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;5483.85;162.76;-0.0;0.0;-0.0;0.0;0.0;-0.0;1290.0;0.0;9.9957e6;1540.39;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;5494.1;163.07;-0.0;0.0;0.0;0.0;0.0;-0.0;1290.0;0.0;9.99355e6;1052.84;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;5992.94;177.87;0.0;0.0;-0.0;0.0;0.0;-0.0;1290.0;0.0;9.9914e6;337.19;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;7144.37;212.05;0.0;0.0;0.0;0.0;689.42;0.0;1290.0;0.0;9.98925e6;0.0;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;7892.64;234.26;-0.0;0.0;-0.0;517.07;1054.9;0.0;1290.0;0.0;9.9871e6;0.0;0.0;1370.0;9732.0;0.0;0.0;0.0
8;14.0;8162.56;242.27;0.0;0.0;-0.0;1308.24;1070.83;0.0;1290.0;0.0;9.98495e6;0.0;0.0;1378.0;10016.0;0.0;0.0;0.0
9;219.0;8347.06;247.75;0.0;0.0;-0.0;2111.36;1000.81;0.0;1290.0;0.0;9.9828e6;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;684.0;8001.97;237.5;0.0;0.0;-0.0;2861.97;757.48;0.0;1290.0;0.0;9.98065e6;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
11;1135.0;7585.13;225.13;0.0;0.0;0.0;3430.08;318.26;0.0;860.0;0.0;9.97921667e6;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;1375.0;7615.88;226.04;-0.0;0.0;0.0;3668.78;514.93;0.0;860.0;0.0;9.97778333e6;0.0;0.0;1400.0;10962.0;0.0;0.0;0.0
13;1511.0;8452.98;250.89;-0.0;0.0;-0.0;4054.97;888.87;0.0;430.0;0.0;9.97706667e6;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;1580.0;9788.92;290.54;0.0;1261.46;0.0;4721.63;1200.0;0.0;-0.0;0.0;9.97706667e6;0.0;0.0;1400.0;10598.0;0.0;0.0;0.0
15;1507.0;10383.43;308.19;1072.24;2308.62;0.0;5621.63;1200.0;0.0;0.0;0.0;9.97706667e6;0.0;0.0;1396.0;10086.0;0.0;0.0;0.0
16;1287.0;9372.08;278.17;3034.57;1389.25;0.0;6521.63;1200.0;0.0;0.0;0.0;9.97706667e6;0.0;0.0;1394.0;9742.0;0.0;0.0;0.0
17;787.0;9184.16;272.59;4215.43;916.75;0.0;7421.63;1200.0;0.0;0.0;0.0;9.97706667e6;0.0;0.0;1392.0;9519.0;0.0;0.0;0.0
18;268.0;8770.74;260.32;4994.67;0.0;-0.0;8321.63;1200.0;0.0;196.94;0.0;9.97673843e6;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;23.0;8340.23;247.54;4994.67;0.0;522.23;9221.63;1200.0;0.0;1290.0;0.0;9.97458843e6;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;7554.38;224.22;4380.29;0.0;1769.4;10121.63;1200.0;0.0;1290.0;0.0;9.97243843e6;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;7858.47;233.24;2298.64;0.0;969.28;11021.63;1200.0;0.0;1290.0;0.0;9.97028843e6;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;8493.98;252.11;1158.31;0.0;0.0;11921.63;1200.0;0.0;1173.91;0.0;9.96833191e6;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;8531.57;253.22;1158.31;0.0;258.21;12821.63;1200.0;0.0;1290.0;0.0;9.96618191e6;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;8196.73;243.28;854.53;0.0;0.0;13721.63;0.0;0.0;1035.99;0.0;9.96445526e6;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;7837.97;232.64;854.53;0.0;0.0;13721.63;93.76;0.0;1111.16;0.0;9.96260334e6;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;7984.89;237.0;854.53;0.0;486.11;13791.95;1200.0;0.0;1290.0;0.0;9.96045334e6;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;7448.46;221.08;282.63;0.0;108.97;14691.95;578.51;0.0;1290.0;0.0;9.95830334e6;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;9061.16;268.94;154.43;133.1;0.0;15125.84;1200.0;0.0;-0.0;0.0;9.95830334e6;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;8490.57;252.01;267.56;0.0;227.43;16025.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
30;0.0;8804.9;261.34;0.0;52.24;0.0;16925.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1367.0;9181.0;0.0;0.0;0.0
31;0.0;9177.33;272.39;44.4;227.72;0.0;17825.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1369.0;9391.0;0.0;0.0;0.0
32;7.0;8948.41;265.6;237.96;0.0;79.0;18725.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1378.0;9478.0;0.0;0.0;0.0
33;241.0;9300.33;276.04;145.02;107.37;0.0;19625.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1388.0;9898.0;0.0;0.0;0.0
34;758.0;10369.76;307.78;236.29;1331.55;0.0;20525.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1394.0;10298.0;0.0;0.0;0.0
35;1280.0;11186.36;332.02;1368.1;2549.38;0.0;21425.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1397.0;10446.0;0.0;0.0;0.0
36;1640.0;11487.03;340.94;3535.08;3148.98;0.0;22325.84;1200.0;0.0;0.0;0.0;9.95830334e6;0.0;0.0;1400.0;10519.0;0.0;0.0;0.0
