t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;5702.8;147.55;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3324.65;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;5906.61;152.83;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2752.56;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;6290.72;162.76;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;2023.52;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;6302.48;163.07;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1534.45;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;6874.72;177.87;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;745.41;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;8195.57;212.05;-0.0;0.0;0.0;0.0;450.62;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;9053.93;234.26;-0.0;0.0;0.0;337.97;926.19;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;0.0;0.0
8;17.95;9363.57;242.27;-0.0;0.0;0.0;1032.61;985.79;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;0.0;0.0
9;280.86;9575.22;247.75;-0.0;0.0;0.0;1771.96;1000.83;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;877.21;9179.35;237.5;-0.0;0.0;0.0;2522.58;838.07;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
11;1455.6;8701.18;225.13;-0.0;0.0;0.0;3151.12;894.91;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;1763.39;8736.46;226.04;0.0;0.0;-0.0;3822.31;1163.89;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;0.0;0.0
13;1937.8;9696.72;250.89;0.0;929.42;0.0;4695.23;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;2026.29;11229.23;290.54;790.01;3148.06;0.0;5595.23;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;0.0;0.0
