t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;6741.11;147.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2286.34;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;6982.03;152.83;-0.0;0.0;-0.0;-0.0;0.0;-0.0;0.0;0.0;0.0;1677.15;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;7436.07;162.76;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;878.17;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;7449.97;163.07;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;386.96;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;8126.4;177.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9163.0;0.0;0.0;506.27
6;0.0;9687.74;212.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;0.0;1942.79
7;0.0;10702.38;234.26;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;0.0;2574.64
8;92.3;11068.39;242.27;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;0.0;2764.96
9;1443.79;11318.58;247.75;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;0.0;3907.12
10;4509.38;10850.64;237.5;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;6141.53
11;7482.68;10285.4;225.13;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;0.0;8506.21
12;9064.92;10327.1;226.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;0.0;10056.06
13;9961.52;11462.2;250.89;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;0.0;11918.61
14;10416.41;13273.73;290.54;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;0.0;14782.69
15;9935.15;14079.88;308.19;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;0.0;15633.22
16;8484.76;12708.5;278.17;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;0.0;13123.43
17;5188.43;12453.68;272.59;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;0.0;9787.7
18;1766.83;11893.08;260.32;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;0.0;5624.23
19;151.63;11309.31;247.54;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;0.0;2485.49
20;0.0;10243.71;224.22;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1385.0;11023.0;0.0;0.0;829.93
21;0.0;10656.05;233.24;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10529.0;0.0;0.0;1738.29
22;0.0;11517.8;252.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10093.0;0.0;0.0;3049.91
23;0.0;11568.76;253.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;10502.0;0.0;0.0;2688.99
24;0.0;11114.72;243.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10848.0;0.0;0.0;1882.01
25;0.0;10628.25;232.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10460.0;0.0;0.0;1772.89
26;0.0;10827.47;237.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10168.0;0.0;0.0;2266.47
27;0.0;10100.08;221.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9858.0;0.0;0.0;1831.16
28;0.0;12286.89;268.94;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9364.0;0.0;0.0;4558.83
29;0.0;11513.17;252.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9135.0;0.0;0.0;3995.17
30;0.0;11939.41;261.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9181.0;0.0;0.0;4386.74
31;0.0;12444.41;272.39;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;9391.0;0.0;0.0;4694.8
32;46.15;12134.0;265.6;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;9478.0;0.0;0.0;4345.74
33;1588.83;12611.2;276.04;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;9898.0;0.0;0.0;5966.08
