t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;1022.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4828.11;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;1059.43;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;4309.76;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;1128.32;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3681.98;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;1130.43;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3196.02;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1233.07;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;2557.83;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;1469.98;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1710.03;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;1623.94;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1460.76;0.0;1370.0;9732.0;0.0;0.0;0.0
8;81.95;5457.79;1679.47;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1418.79;0.0;1378.0;10016.0;0.0;0.0;0.0
9;1281.87;5581.15;1717.44;0.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;522.54;0.0;1388.0;10491.0;0.0;0.0;0.0
10;4003.66;5350.41;1646.43;0.0;344.51;0.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;-0.0
11;6643.5;5071.7;1560.67;292.83;-0.0;0.0;900.0;1200.0;0.0;-0.0;0.0;1812.21;0.0;0.0;1397.0;10884.0;0.0;0.0;2588.87
12;8048.3;5092.26;1566.99;292.83;3945.55;0.0;1800.0;1200.0;0.0;0.0;0.0;1812.21;0.0;0.0;1400.0;10962.0;0.0;0.0;0.0
13;8844.35;5651.97;1739.23;3646.55;5279.55;0.0;2700.0;1200.0;0.0;0.0;0.0;1812.21;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;9248.23;6545.23;2014.1;8134.17;7409.56;0.0;3600.0;1200.0;0.0;-0.0;0.0;1812.21;0.0;0.0;1400.0;10598.0;0.0;0.0;0.0
15;8820.93;6942.74;2136.43;14432.29;-0.0;0.0;4500.0;1200.0;0.0;-0.0;0.0;7419.28;0.0;0.0;1396.0;10086.0;0.0;0.0;8010.1
16;7533.21;6266.52;1928.34;14432.29;667.89;0.0;5400.0;1200.0;0.0;0.0;0.0;11277.8;0.0;0.0;1394.0;9742.0;0.0;0.0;5512.17
17;4606.55;6140.87;1889.67;15000.0;-0.0;0.0;6300.0;1200.0;0.0;0.0;0.0;13594.87;0.0;0.0;1392.0;9519.0;0.0;0.0;3310.09
18;1568.69;5864.44;1804.61;15000.0;0.0;0.0;7200.0;941.73;0.0;0.0;0.0;13594.87;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;134.63;5576.58;1716.03;15000.0;0.0;784.76;7906.3;0.0;0.0;1011.0;0.0;11909.87;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;1554.34;14076.75;0.0;2021.52;7906.3;0.0;0.0;1011.0;0.0;10224.87;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;1616.91;11698.49;0.0;1826.63;7906.3;0.0;0.0;453.0;0.0;9469.87;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;1747.67;9549.51;0.0;839.95;7906.3;0.0;0.0;453.0;0.0;8714.87;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;1755.4;8561.34;0.0;662.08;7906.3;0.0;0.0;1011.0;0.0;7029.87;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;1686.5;7782.42;0.0;1297.86;7906.3;0.0;0.0;1011.0;0.0;5344.87;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;5240.75;1612.69;6255.52;0.0;2083.56;7906.3;0.0;0.0;151.0;0.0;5093.2;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;5338.99;1642.92;3804.28;0.0;1386.09;7906.3;0.0;0.0;430.0;0.0;4376.53;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;4980.32;1532.55;2173.58;0.0;1578.59;7906.3;0.0;0.0;398.54;0.0;3712.29;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;6058.62;1864.36;316.41;0.0;74.01;7906.3;0.0;0.0;-0.0;0.0;3712.29;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;5677.1;1746.96;229.33;0.0;194.93;7906.3;0.0;0.0;151.0;0.0;3460.63;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
30;0.0;5887.28;1811.64;-0.0;0.0;0.0;7906.3;35.92;0.0;151.0;0.0;3208.96;0.0;0.0;1367.0;9181.0;0.0;0.0;0.0
31;0.0;6136.3;1888.27;-0.0;0.0;0.0;7933.24;153.56;0.0;151.0;0.0;2957.29;0.0;0.0;1369.0;9391.0;0.0;0.0;0.0
32;40.97;5983.23;1841.16;-0.0;0.0;0.0;8048.41;0.0;0.0;234.63;0.0;2566.25;0.0;0.0;1378.0;9478.0;0.0;0.0;0.0
33;1410.65;6218.54;1913.57;-0.0;0.0;0.0;8048.41;1032.76;0.0;0.0;0.0;2566.25;0.0;0.0;1388.0;9898.0;0.0;0.0;0.0
34;4436.81;6933.61;2133.61;0.0;-0.0;0.0;8822.98;1200.0;0.0;0.0;0.0;4946.26;0.0;0.0;1394.0;10298.0;0.0;0.0;3400.03
35;7492.23;7479.61;2301.63;-0.0;-0.0;0.0;9722.98;1200.0;0.0;0.0;0.0;9863.4;0.0;0.0;1397.0;10446.0;0.0;0.0;7024.48
36;9599.42;7680.65;2363.5;-0.0;2647.06;0.0;10622.98;1200.0;0.0;-0.0;0.0;14537.66;0.0;0.0;1400.0;10519.0;0.0;0.0;6677.51
37;10641.31;7785.74;2395.83;2250.0;0.0;0.0;11522.98;1200.0;0.0;0.0;0.0;21754.58;0.0;0.0;1400.0;10713.0;0.0;0.0;10309.89
38;11045.19;8704.13;2678.44;2250.0;7500.0;0.0;12422.98;1200.0;0.0;0.0;0.0;25321.61;0.0;0.0;1399.0;10031.0;0.0;0.0;5095.76
39;10284.26;9103.93;2801.47;8625.0;7500.0;0.0;13322.98;1200.0;0.0;0.0;0.0;29115.37;0.0;0.0;1396.0;9466.0;0.0;0.0;5419.65
40;8317.55;9275.27;2854.19;15000.0;-0.0;0.0;14222.98;1200.0;0.0;0.0;0.0;37184.98;0.0;0.0;1394.0;9113.0;0.0;0.0;11528.01
41;5162.62;9174.75;2823.26;15000.0;-0.0;0.0;15122.98;1200.0;0.0;0.0;0.0;43067.52;0.0;0.0;1392.0;8949.0;0.0;0.0;8403.62
42;1744.29;9551.7;2939.26;15000.0;-0.0;0.0;16022.98;1200.0;0.0;0.0;0.0;46748.28;0.0;0.0;1391.0;9168.0;0.0;0.0;5258.24
43;111.21;10202.79;3139.61;15000.0;0.0;0.0;16922.98;1200.0;0.0;0.0;0.0;49180.52;0.0;0.0;1386.0;10165.0;0.0;0.0;3474.62
44;0.0;10474.66;3223.27;15000.0;0.0;0.0;17822.98;1200.0;0.0;0.0;0.0;51267.16;0.0;0.0;1385.0;10902.0;0.0;0.0;2980.92
45;0.0;10358.14;3187.42;15000.0;0.0;0.0;18722.98;1200.0;0.0;0.0;0.0;53499.15;0.0;0.0;1378.0;10535.0;0.0;0.0;3188.56
46;0.0;9617.95;2959.64;15000.0;0.0;0.0;19622.98;1200.0;0.0;0.0;0.0;55367.17;0.0;0.0;1373.0;10082.0;0.0;0.0;2668.59
47;0.0;9209.02;2833.8;15000.0;0.0;0.0;20522.98;1200.0;0.0;0.0;0.0;56676.04;0.0;0.0;1369.0;10342.0;0.0;0.0;1869.82
48;0.0;9231.86;2840.83;15000.0;0.0;0.0;21422.98;1200.0;0.0;0.0;0.0;57835.03;0.0;0.0;1372.0;10589.0;0.0;0.0;1655.7
49;0.0;8509.94;2618.69;15000.0;0.0;0.0;22322.98;1200.0;0.0;0.0;0.0;58585.87;0.0;0.0;1374.0;10230.0;0.0;0.0;1072.63
50;0.0;8457.4;2602.52;15000.0;0.0;0.0;23222.98;1200.0;0.0;0.0;0.0;59457.31;0.0;0.0;1371.0;9986.0;0.0;0.0;1244.92
51;0.0;8071.31;2483.71;15000.0;0.0;0.0;24122.98;1200.0;0.0;0.0;0.0;60139.83;0.0;0.0;1369.0;9749.0;0.0;0.0;975.02
52;0.0;7797.16;2399.35;15000.0;0.0;0.0;25022.98;1200.0;0.0;0.0;0.0;60867.49;0.0;0.0;1369.0;9326.0;0.0;0.0;1039.51
53;0.0;7415.64;2281.95;15000.0;0.0;0.0;25922.98;1200.0;0.0;0.0;0.0;61267.6;0.0;0.0;1367.0;9293.0;0.0;0.0;571.59
54;0.0;7004.43;2155.41;15000.0;0.0;-0.0;26822.98;661.83;0.0;0.0;0.0;61267.6;0.0;0.0;1369.0;9867.0;0.0;0.0;0.0
55;0.0;6782.82;2087.22;15000.0;0.0;1247.24;27319.36;517.28;0.0;0.0;0.0;61267.6;0.0;0.0;1383.0;10983.0;0.0;0.0;0.0
56;64.39;6602.35;2031.68;13532.66;0.0;2809.59;27707.32;1200.0;0.0;0.0;0.0;61267.6;0.0;0.0;1399.0;11707.0;0.0;0.0;0.0
57;1545.27;6348.76;1953.65;10227.26;0.0;1897.32;28607.32;1200.0;0.0;0.0;0.0;61267.6;0.0;0.0;1403.0;11948.0;0.0;0.0;0.0
58;5086.52;6385.31;1964.89;7995.12;-0.0;0.0;29507.32;1200.0;0.0;0.0;0.0;62456.01;0.0;0.0;1399.0;11938.0;0.0;0.0;1697.73
59;8645.34;6031.21;1855.93;7995.12;-0.0;0.0;30407.32;1200.0;0.0;0.0;0.0;65971.04;0.0;0.0;1399.0;11710.0;0.0;0.0;5021.47
60;11250.06;5932.97;1825.7;7995.12;-0.0;0.0;31307.32;1200.0;0.0;0.0;0.0;71276.15;0.0;0.0;1400.0;11630.0;0.0;0.0;7578.73
61;12608.02;5944.4;1829.21;7995.12;7500.0;0.0;32207.32;1200.0;0.0;0.0;0.0;72373.5;0.0;0.0;1400.0;11514.0;0.0;0.0;1567.63
62;12929.96;6488.12;1996.53;14370.12;-0.0;0.0;33107.32;1200.0;0.0;0.0;0.0;79703.62;0.0;0.0;1401.0;11144.0;0.0;0.0;10471.6
