t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;1058.56;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;4792.42;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;1096.39;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;4272.8;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;1167.69;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3642.61;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;1169.87;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3156.58;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1276.09;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;2514.81;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;1521.27;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1658.74;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;1680.6;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1404.1;0.0;1370.0;9732.0;0.0;0.0;0.0
8;79.59;5457.79;1738.07;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1362.55;0.0;1378.0;10016.0;0.0;0.0;0.0
9;1245.05;5581.15;1777.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;499.43;0.0;1388.0;10491.0;0.0;0.0;0.0
10;3888.66;5350.41;1703.88;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;200.87;0.0;0.0;1395.0;10851.0;0.0;0.0;286.96
11;6452.68;5071.7;1615.12;0.0;2452.5;0.0;900.0;1200.0;0.0;0.0;0.0;200.87;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;7817.12;5092.26;1621.67;2084.62;3769.05;0.0;1800.0;1200.0;0.0;0.0;0.0;200.87;0.0;0.0;1400.0;10962.0;0.0;0.0;-0.0
13;8590.31;5651.97;1799.91;5288.32;0.0;0.0;2700.0;1200.0;0.0;0.0;0.0;3761.2;0.0;0.0;1400.0;11156.0;0.0;0.0;5086.19
14;8982.59;6545.23;2084.38;5288.32;3925.51;0.0;3600.0;1200.0;0.0;0.0;0.0;6063.28;0.0;0.0;1400.0;10598.0;0.0;0.0;3288.68
15;8567.57;6942.74;2210.97;8625.0;7500.0;0.0;4500.0;1200.0;0.0;0.0;0.0;6295.18;0.0;0.0;1396.0;10086.0;0.0;0.0;331.28
16;7316.83;6266.52;1995.62;15000.0;0.0;0.0;5400.0;1200.0;0.0;0.0;0.0;10516.85;0.0;0.0;1394.0;9742.0;0.0;0.0;6030.96
17;4474.24;6140.87;1955.6;15000.0;0.0;0.0;6300.0;1200.0;0.0;0.0;0.0;12787.45;0.0;0.0;1392.0;9519.0;0.0;0.0;3243.71
18;1523.63;5864.44;1867.57;15000.0;0.0;0.0;7200.0;959.64;0.0;-0.0;-0.0;12787.45;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;130.76;5576.58;1775.9;15000.0;0.0;879.75;7919.73;0.0;0.0;860.0;-0.0;11354.12;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;1608.57;13965.0;0.0;2118.29;7919.73;0.0;0.0;860.0;0.0;9920.78;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;1673.32;11472.89;0.0;1363.22;7919.73;0.0;0.0;860.0;0.0;8487.45;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;1808.64;9869.11;0.0;371.97;7919.73;0.0;0.0;860.0;0.0;7054.12;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;1816.65;9431.49;0.0;751.84;7919.73;0.0;0.0;860.0;0.0;5620.78;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;1745.35;8546.98;0.0;1490.83;7919.73;0.0;0.0;759.19;0.0;4355.47;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;5240.75;1668.96;6793.06;0.0;1876.29;7919.73;0.0;0.0;302.0;-0.0;3852.14;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;5338.99;1700.24;4585.66;0.0;1607.77;7919.73;0.0;0.0;151.0;0.0;3600.47;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;4980.32;1586.02;2694.17;0.0;1772.67;7919.73;0.0;0.0;151.0;0.0;3348.8;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;6058.62;1929.41;608.68;0.0;8.96;7919.73;0.0;0.0;0.0;0.0;3348.8;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;5677.1;1807.92;598.14;0.0;284.98;7919.73;0.0;0.0;0.0;0.0;3348.8;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
30;0.0;5887.28;1874.85;262.87;0.0;51.87;7919.73;0.0;0.0;0.0;0.0;3348.8;0.0;0.0;1367.0;9181.0;0.0;0.0;0.0
31;0.0;6136.3;1954.15;201.84;0.0;0.0;7919.73;68.45;0.0;0.0;0.0;3348.8;0.0;0.0;1369.0;9391.0;0.0;0.0;0.0
32;39.8;5983.23;1905.4;201.84;0.0;171.57;7971.06;0.0;0.0;0.0;0.0;3348.8;0.0;0.0;1378.0;9478.0;0.0;0.0;0.0
33;1370.13;6218.54;1980.34;0.0;0.0;0.0;7971.06;1059.01;0.0;0.0;0.0;3348.8;0.0;0.0;1388.0;9898.0;0.0;0.0;0.0
34;4309.37;6933.61;2208.06;0.0;0.0;0.0;8765.32;1200.0;0.0;0.0;0.0;5691.72;0.0;0.0;1394.0;10298.0;0.0;0.0;3347.03
35;7277.03;7479.61;2381.94;0.0;0.0;0.0;9665.32;1200.0;0.0;0.0;0.0;10514.43;0.0;0.0;1397.0;10446.0;0.0;0.0;6889.58
36;9323.7;7680.65;2445.96;0.0;1365.94;0.0;10565.32;1200.0;0.0;-0.0;0.0;15950.19;0.0;0.0;1400.0;10519.0;0.0;0.0;7765.37
37;10335.66;7785.74;2479.43;1161.05;2322.46;0.0;11465.32;1200.0;0.0;0.0;0.0;21385.95;0.0;0.0;1400.0;10713.0;0.0;0.0;7765.37
38;10727.94;8704.13;2771.89;3135.14;4606.59;0.0;12365.32;1200.0;0.0;0.0;0.0;26821.71;0.0;0.0;1399.0;10031.0;0.0;0.0;7765.37
39;9988.86;9103.93;2899.21;7050.74;4956.63;0.0;13265.32;1200.0;0.0;0.0;0.0;32257.47;0.0;0.0;1396.0;9466.0;0.0;0.0;7765.37
40;8078.64;9275.27;2953.78;11263.87;3623.32;0.0;14165.32;1200.0;0.0;0.0;0.0;37693.23;0.0;0.0;1394.0;9113.0;0.0;0.0;7765.37
41;5014.33;9174.75;2921.77;14343.69;588.47;0.0;15065.32;1200.0;0.0;0.0;-0.0;43128.99;0.0;0.0;1392.0;8949.0;0.0;0.0;7765.37
42;1694.18;9551.7;3041.81;14843.89;0.0;0.0;15965.32;1200.0;0.0;0.0;0.0;46846.47;0.0;0.0;1391.0;9168.0;0.0;0.0;5310.69
43;108.02;10202.79;3249.16;14843.89;0.0;0.0;16865.32;1200.0;0.0;0.0;-0.0;49353.15;0.0;0.0;1386.0;10165.0;0.0;0.0;3580.97
44;0.0;10474.66;3335.73;14843.89;0.0;0.0;17765.32;1200.0;0.0;0.0;0.0;51518.52;0.0;0.0;1385.0;10902.0;0.0;0.0;3093.39
45;0.0;10358.14;3298.63;14843.89;0.0;0.0;18665.32;1200.0;0.0;0.0;0.0;53828.36;0.0;0.0;1378.0;10535.0;0.0;0.0;3299.77
46;0.0;9617.95;3062.91;14843.89;0.0;0.0;19565.32;1200.0;0.0;0.0;-0.0;55768.66;0.0;0.0;1373.0;10082.0;0.0;0.0;2771.86
47;0.0;9209.02;2932.68;14843.89;0.0;0.0;20465.32;1200.0;0.0;0.0;0.0;57146.75;0.0;0.0;1369.0;10342.0;0.0;0.0;1968.69
48;0.0;9231.86;2939.95;14843.89;0.0;0.0;21365.32;1200.0;0.0;0.0;0.0;58375.12;0.0;0.0;1372.0;10589.0;0.0;0.0;1754.82
49;0.0;8509.94;2710.05;14843.89;0.0;0.0;22265.32;1200.0;0.0;0.0;-0.0;59189.92;0.0;0.0;1374.0;10230.0;0.0;0.0;1164.0
50;0.0;8457.4;2693.32;14843.89;0.0;0.0;23165.32;1200.0;0.0;0.0;0.0;60124.92;0.0;0.0;1371.0;9986.0;0.0;0.0;1335.72
51;0.0;8071.31;2570.37;14843.89;0.0;0.0;24065.32;1200.0;0.0;0.0;-0.0;60868.1;0.0;0.0;1369.0;9749.0;0.0;0.0;1061.68
52;0.0;7797.16;2483.06;14843.89;0.0;0.0;24965.32;1200.0;0.0;0.0;-0.0;61654.36;0.0;0.0;1369.0;9326.0;0.0;0.0;1123.23
53;0.0;7415.64;2361.57;14843.89;0.0;0.0;25865.32;1200.0;0.0;0.0;0.0;62110.2;0.0;0.0;1367.0;9293.0;0.0;0.0;651.21
54;0.0;7004.43;2230.61;14843.89;0.0;462.96;26765.32;1200.0;0.0;0.0;0.0;62110.2;0.0;0.0;1369.0;9867.0;0.0;0.0;0.0
55;0.0;6782.82;2160.04;14299.23;0.0;1857.13;27665.32;1200.0;0.0;0.0;0.0;62110.2;0.0;0.0;1383.0;10983.0;0.0;0.0;0.0
56;62.54;6602.35;2102.57;12114.37;0.0;2740.55;28565.32;1200.0;0.0;0.0;-0.0;62110.2;0.0;0.0;1399.0;11707.0;0.0;0.0;0.0
57;1500.89;6348.76;2021.81;8890.19;0.0;1873.54;29465.32;1200.0;0.0;0.0;0.0;62110.2;0.0;0.0;1403.0;11948.0;0.0;0.0;0.0
58;4940.42;6385.31;2033.45;6686.02;0.0;0.0;30365.32;1200.0;0.0;0.0;0.0;63244.33;0.0;0.0;1399.0;11938.0;0.0;0.0;1620.19
59;8397.01;6031.21;1920.68;6686.02;0.0;0.0;31265.32;1200.0;0.0;0.0;0.0;66630.87;0.0;0.0;1399.0;11710.0;0.0;0.0;4837.9
60;10926.92;5932.97;1889.4;6686.02;0.0;0.0;32165.32;1200.0;0.0;0.0;-0.0;71754.37;0.0;0.0;1400.0;11630.0;0.0;0.0;7319.29
61;12245.88;5944.4;1893.04;6686.02;1003.94;0.0;33065.32;1200.0;0.0;0.0;0.0;77190.13;0.0;0.0;1400.0;11514.0;0.0;0.0;7765.37
62;12558.56;6488.12;2066.19;7539.37;2404.5;0.0;33965.32;1200.0;0.0;0.0;0.0;82625.89;0.0;0.0;1401.0;11144.0;0.0;0.0;7765.37
63;11557.97;6389.88;2034.91;9583.2;6372.71;0.0;34865.32;1200.0;0.0;0.0;-0.0;84746.93;0.0;0.0;1402.0;10782.0;0.0;0.0;3030.05
64;9391.92;6515.53;2074.92;15000.0;0.0;0.0;35765.32;1200.0;0.0;0.0;0.0;90182.69;0.0;0.0;1402.0;10419.0;0.0;0.0;7765.37
65;5838.68;6474.41;2061.82;15000.0;0.0;0.0;36665.32;1200.0;0.0;0.0;-0.0;93242.33;0.0;0.0;1402.0;10206.0;0.0;0.0;4370.92
66;2035.29;6689.16;2130.21;15000.0;0.0;0.0;37565.32;1200.0;0.0;0.0;0.0;93769.19;0.0;0.0;1401.0;10303.0;0.0;0.0;752.67
67;164.87;6823.95;2173.14;15000.0;0.0;-0.0;38465.32;0.0;0.0;671.05;-0.0;92650.78;0.0;0.0;1396.0;11229.0;0.0;0.0;0.0
68;0.0;5953.53;1895.95;15000.0;0.0;0.0;38465.32;0.0;1135.52;1290.0;0.0;90500.78;0.0;0.0;1396.0;11671.0;0.0;0.0;0.0
69;0.0;5195.06;1654.41;15000.0;0.0;223.53;37329.8;0.0;1200.0;1290.0;0.0;88350.78;0.0;0.0;1388.0;10951.0;0.0;0.0;0.0
70;0.0;4306.37;1371.4;14737.02;0.0;814.23;36129.8;0.0;1200.0;1290.0;0.0;86200.78;0.0;0.0;1387.0;10369.0;0.0;0.0;0.0
71;0.0;3593.6;1144.41;13779.11;0.0;1981.0;34929.8;0.0;1200.0;1290.0;0.0;84050.78;0.0;0.0;1383.0;10592.0;0.0;0.0;0.0
72;0.0;3630.15;1156.05;11448.52;0.0;2144.8;33729.8;0.0;1200.0;1290.0;0.0;81900.78;0.0;0.0;1385.0;10806.0;0.0;0.0;0.0
73;0.0;3819.77;1216.43;8925.22;0.0;0.0;32529.8;0.0;1200.0;1290.0;0.0;79750.78;1497.8;0.0;1375.0;10399.0;0.0;0.0;0.0
