t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3027.45;147.55;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;-0.0;0.0;6000.0;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3135.64;152.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5523.53;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3339.56;162.76;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;4974.68;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3345.8;163.07;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4491.13;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;3649.58;177.87;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3970.54;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4350.78;212.05;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;3394.16;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;4806.46;234.26;-0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;3321.28;0.0;1370.0;9732.0;0.0;0.0;0.0
8;136.35;4970.84;242.27;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3288.54;0.0;1378.0;10016.0;0.0;0.0;0.0
9;2132.96;5083.2;247.75;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1639.1;0.0;1388.0;10491.0;0.0;0.0;0.0
10;6661.84;4873.05;237.5;0.0;1116.39;0.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
