t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;8864.05;201.56;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;109.39;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;9180.84;208.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10182.0;0.0;577.6;0.0
3;0.0;9777.87;222.34;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9845.0;0.0;1523.2;0.0
4;0.0;9796.14;222.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9367.0;0.0;2018.9;0.0
5;0.0;10685.6;242.98;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9163.0;0.0;3130.57;0.0
6;0.0;12738.64;289.66;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;5071.3;0.0
7;0.0;14072.82;320.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;6030.82;0.0
8;249.93;14554.1;330.94;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;6496.97;0.0
9;3909.59;14883.07;338.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;10028.08;0.0
10;12210.77;14267.77;324.43;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;17346.97;0.0
11;20262.02;13524.53;307.53;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;24607.08;0.0
12;24546.5;13579.36;308.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;28872.63;0.0
13;26974.37;15071.93;342.72;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;32633.02;0.0
14;28206.16;17453.95;396.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;36858.99;0.0
15;26902.96;18513.98;420.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;37147.93;0.0
16;22975.52;16710.71;379.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;31718.22;0.0
17;14049.52;16375.64;372.36;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;22670.53;0.0
18;4784.34;15638.5;355.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;12482.43;0.0
19;410.6;14870.89;338.14;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;6396.63;0.0
20;0.0;13469.7;306.28;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1385.0;11023.0;0.0;4137.98;0.0
21;0.0;14011.9;318.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10529.0;0.0;5179.51;0.0
22;0.0;15145.03;344.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10093.0;0.0;6769.41;0.0
23;0.0;15212.05;345.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;10502.0;0.0;6424.95;0.0
24;0.0;14615.02;332.33;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10848.0;0.0;5471.35;0.0
25;0.0;13975.35;317.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10460.0;0.0;5205.13;0.0
26;0.0;14237.31;323.74;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10168.0;0.0;5763.05;0.0
27;0.0;13280.84;301.99;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9858.0;0.0;5092.83;0.0
28;0.0;16156.33;367.37;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9364.0;0.0;8526.7;0.0
29;0.0;15138.94;344.24;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9135.0;0.0;7713.18;0.0
30;0.0;15699.42;356.98;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9181.0;0.0;8242.4;0.0
31;0.0;16363.46;372.08;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;9391.0;0.0;8713.54;0.0
32;124.96;15955.29;362.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;9478.0;0.0;8343.05;0.0
33;4302.33;16582.78;377.07;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;9898.0;0.0;12752.18;0.0
34;13531.82;18489.61;420.43;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;10298.0;0.0;23537.86;0.0
35;22850.56;19945.63;453.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10446.0;0.0;34200.73;0.0
36;29277.28;20481.74;465.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10519.0;0.0;41105.75;0.0
37;32454.94;20761.98;472.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10713.0;0.0;44376.02;0.0
38;33686.72;23211.01;527.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1399.0;10031.0;0.0;48793.53;0.0
39;31365.96;24277.14;552.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;9466.0;0.0;48125.13;0.0
40;25367.69;24734.05;562.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9113.0;0.0;42945.16;0.0
41;15745.46;24465.99;556.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;8949.0;0.0;33210.78;0.0
42;5319.9;25471.19;579.18;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9168.0;0.0;23593.27;0.0
43;339.19;27207.45;618.66;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10165.0;0.0;19386.3;0.0
44;0.0;27932.42;635.15;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1385.0;10902.0;0.0;19050.56;0.0
45;0.0;27621.72;628.08;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10535.0;0.0;19092.8;0.0
46;0.0;25647.87;583.2;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10082.0;0.0;17522.07;0.0
47;0.0;24557.38;558.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;10342.0;0.0;16142.78;0.0
48;0.0;24618.3;559.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.0;10589.0;0.0;15961.08;0.0
49;0.0;22693.18;516.01;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1374.0;10230.0;0.0;14353.2;0.0
50;0.0;22553.06;512.83;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1371.0;9986.0;0.0;14450.89;0.0
51;0.0;21523.49;489.42;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;9749.0;0.0;13632.91;0.0
52;0.0;20792.44;472.79;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;9326.0;0.0;13308.23;0.0
53;0.0;19775.05;449.66;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9293.0;0.0;12298.71;0.0
54;0.0;18678.47;424.72;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;9867.0;0.0;10605.19;0.0
55;0.0;18087.53;411.29;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1383.0;10983.0;0.0;8898.82;0.0
56;196.37;17606.26;400.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1399.0;11707.0;0.0;7894.97;0.0
57;4712.93;16930.03;384.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1403.0;11948.0;0.0;11482.92;0.0
58;15513.39;17027.5;387.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1399.0;11938.0;0.0;22389.07;0.0
59;26367.4;16083.22;365.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1399.0;11710.0;0.0;32505.34;0.0
60;34311.54;15821.26;359.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11630.0;0.0;40262.56;0.0
61;38453.21;15851.72;360.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11514.0;0.0;44551.38;0.0
62;39435.07;17301.65;393.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1401.0;11144.0;0.0;47387.13;0.0
63;36293.12;17039.69;387.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1402.0;10782.0;0.0;44340.26;0.0
64;29491.5;17374.75;395.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1402.0;10419.0;0.0;38244.34;0.0
