t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3877.86;195.93;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;3197.21;0.0;723.0;7994.0;0.0;0.0;0.0
2;0.0;3331.91;168.34;0.0;0.0;0.0;0.0;0.0;-0.0;430.0;0.0;0.0;2892.75;0.0;723.0;7546.0;0.0;0.0;0.0
3;0.0;3195.42;161.45;-0.0;0.0;0.0;0.0;0.0;-0.0;430.0;0.0;0.0;2668.13;0.0;724.0;7179.0;0.0;0.0;0.0
4;0.0;2962.59;149.68;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;0.0;2489.73;0.0;724.0;6756.0;0.0;0.0;0.0
5;0.0;2679.58;135.38;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;0.0;2604.04;0.0;728.0;6577.0;0.0;0.0;0.0
6;0.0;2514.99;127.07;-0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;0.0;2811.94;0.0;740.0;6624.0;0.0;0.0;0.0
7;0.0;2366.46;119.56;-0.0;0.0;-0.0;-0.0;0.0;0.0;430.0;0.0;0.0;3191.98;0.0;766.0;6874.0;0.0;0.0;0.0
8;187.71;2288.18;115.61;0.0;0.0;0.0;-0.0;0.0;0.0;430.0;0.0;0.0;3254.5;0.0;786.0;7062.0;0.0;0.0;0.0
9;2395.59;2254.06;113.88;-0.0;0.0;-0.0;-0.0;0.0;0.0;430.0;0.0;0.0;1582.47;0.0;797.0;7573.0;0.0;0.0;0.0
10;8402.43;2258.07;114.09;0.0;2227.59;0.0;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;803.0;8150.0;0.0;0.0;0.0
11;14534.42;2274.13;114.9;1893.45;0.0;0.0;900.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;799.0;8432.0;0.0;8090.45;0.0
12;19137.88;2310.26;116.72;1893.45;12470.86;0.0;1800.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;794.0;8688.0;0.0;0.0;0.0
13;22159.18;2254.06;113.88;12493.68;11658.01;0.0;2700.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;793.0;9056.0;0.0;3406.11;0.0
14;23678.77;2274.13;114.9;22402.99;0.0;0.0;3600.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;788.0;8747.0;0.0;16908.8;0.0
15;23231.83;2510.97;126.86;22402.99;16874.67;0.0;4500.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;782.0;8577.0;0.0;0.0;0.0
16;20970.33;2541.08;128.39;36746.46;14866.79;0.0;5400.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;779.0;8352.0;0.0;0.0;0.0
17;17180.29;3107.11;156.98;49383.24;11841.38;0.0;6300.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;781.0;8184.0;0.0;0.0;0.0
18;11557.81;3335.92;168.54;59448.41;6531.28;0.0;7200.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;786.0;8117.0;0.0;0.0;0.0
