t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4361.96;450.47;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2069.56;0.0;881.0;7763.0;0.0;0.0;0.0
2;0.0;3466.42;357.99;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2585.59;0.0;878.0;7288.0;0.0;0.0;0.0
3;0.0;2972.96;307.03;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2760.01;0.0;873.0;6913.0;0.0;0.0;0.0
4;0.0;2260.18;233.42;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3120.4;0.0;872.0;6486.0;0.0;0.0;0.0
5;0.0;2345.47;242.22;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2821.31;0.0;875.0;6284.0;0.0;0.0;0.0
6;0.0;2095.69;216.43;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3088.88;0.0;880.0;6281.0;0.0;0.0;0.0
7;433.06;2162.71;223.35;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2674.88;0.0;911.0;6405.0;0.0;0.0;0.0
8;4346.66;2845.02;293.81;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;931.0;6742.0;0.0;1674.5;0.0
9;10890.71;2960.78;305.77;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;7781.25;0.0
10;18926.41;2656.17;274.31;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;14977.89;0.0
11;24732.65;2966.87;306.4;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;20923.92;0.0
12;28084.87;4057.36;419.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;25273.25;0.0
13;30314.34;3978.16;410.84;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;27097.34;0.0
14;32255.1;5160.03;532.89;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;8208.0;0.0;30675.03;0.0
15;34051.5;5677.86;586.37;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;924.0;7981.0;0.0;33258.74;0.0
16;32624.0;5665.68;585.11;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;922.0;7712.0;0.0;32084.8;0.0
17;30073.75;5403.72;558.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;918.0;7538.0;0.0;29415.53;0.0
18;25839.37;5610.85;579.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.0;7530.0;0.0;25410.67;0.0
19;18092.37;5519.47;570.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;907.0;7755.0;0.0;17333.85;0.0
20;9623.6;5367.17;554.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;895.0;7753.0;0.0;8687.05;0.0
21;3384.3;5543.84;572.53;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;886.0;7409.0;0.0;2977.67;0.0
22;481.18;6098.22;629.78;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;881.0;7232.0;0.0;858.18;0.0
23;0.0;6676.97;689.55;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;876.0;7780.0;0.0;462.53;0.0
24;0.0;7566.43;781.41;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;872.0;8020.0;0.0;1199.83;0.0
25;0.0;7261.82;749.95;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;893.0;7401.0;0.0;1503.77;0.0
26;0.0;8053.8;831.74;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;889.0;6971.0;0.0;2803.54;0.0
27;0.0;9546.37;985.88;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;6596.0;0.0;4824.25;0.0
