t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;5555.9;147.55;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3471.55;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;5754.46;152.83;0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;0.0;2044.71;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;6128.67;162.76;-0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;0.0;1325.56;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;6140.13;163.07;-0.0;0.0;0.0;0.0;0.0;-0.0;309.64;0.0;0.0;1387.16;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;6697.63;177.87;-0.0;-0.0;0.0;-0.0;0.0;0.0;860.0;0.0;0.0;62.5;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;7984.46;212.05;0.0;-0.0;0.0;0.0;239.51;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;8820.71;234.26;-0.0;0.0;0.0;179.63;692.97;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;0.0;0.0
8;14.0;9122.37;242.27;-0.0;0.0;0.0;699.36;740.64;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;0.0;0.0
9;219.0;9328.57;247.75;-0.0;0.0;0.0;1254.84;692.31;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;684.0;8942.9;237.5;-0.0;0.0;0.0;1774.07;408.4;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
11;1135.0;8477.04;225.13;-0.0;0.0;0.0;2080.38;350.18;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;1375.0;8511.41;226.04;-0.0;0.0;0.0;2343.01;550.46;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;0.0;0.0
13;1511.0;9446.94;250.89;0.0;252.83;0.0;2755.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;0.0;0.0
14;1580.0;10939.97;290.54;214.91;2412.51;0.0;3655.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;0.0;0.0
15;1507.0;11604.39;308.19;2265.54;3529.57;0.0;4555.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;0.0;0.0
16;1287.0;10474.11;278.17;5265.68;2491.28;0.0;5455.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;0.0;0.0
17;787.0;10264.1;272.59;7383.27;1996.69;0.0;6355.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;0.0;0.0
18;268.0;9802.06;260.32;9080.46;834.38;0.0;7255.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;0.0;0.0
19;23.0;9320.93;247.54;9789.68;0.0;831.53;8155.85;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
