t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4361.96;479.37;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2040.66;0.0;881.0;7763.0;0.0;0.0;0.0
2;0.0;3466.42;380.95;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2562.62;0.0;878.0;7288.0;0.0;0.0;0.0
3;0.0;2972.96;326.72;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2740.32;0.0;873.0;6913.0;0.0;0.0;0.0
4;0.0;2260.18;248.39;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3105.43;0.0;872.0;6486.0;0.0;0.0;0.0
5;0.0;2345.47;257.76;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2805.77;0.0;875.0;6284.0;0.0;0.0;0.0
6;0.0;2095.69;230.31;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3074.99;0.0;880.0;6281.0;0.0;0.0;0.0
7;429.7;2162.71;237.68;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2663.91;0.0;911.0;6405.0;0.0;0.0;0.0
8;4312.96;2845.02;312.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;931.0;6742.0;0.0;1659.65;0.0
9;10806.28;2960.78;325.38;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;7716.44;0.0
10;18779.7;2656.17;291.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;14848.78;0.0
11;24540.93;2966.87;326.05;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;20751.85;0.0
12;27867.16;4057.36;445.9;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;25082.42;0.0
