t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;8864.05;1237.97;0.0;2427.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500.06;0.0;1372.0;10547.0;0.0;0.0;-0.0
2;0.0;9180.84;1282.21;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10182.0;0.0;1651.05;0.0
3;0.0;9777.87;1365.59;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9845.0;0.0;2666.46;0.0
4;0.0;9796.14;1368.15;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9367.0;0.0;3164.29;0.0
5;0.0;10685.6;1492.37;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9163.0;0.0;4379.96;0.0
6;0.0;12738.64;1779.1;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;6560.74;0.0
7;0.0;14072.82;1965.43;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;7676.25;0.0
8;329.49;14554.1;2032.65;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;8278.23;0.0
9;5154.09;14883.07;2078.6;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;13012.76;0.0
10;16097.71;14267.77;1992.66;2063.01;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;22902.14;0.0
