t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;1912.2;215.8;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;1.0e7;4873.0;1.0;1468.0;8469.0;0.0;0.0;0.0
2;0.0;1798.08;202.92;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;0.0;9.9914e6;267.0;1.0;1467.0;8035.0;0.0;0.0;0.0
3;0.0;1764.83;199.17;0.0;0.0;0.0;0.0;42.0;0.0;4300.0;0.0;9.9828e6;0.0;1.0;1469.0;7691.0;0.0;0.0;0.0
4;0.0;1798.98;203.02;-0.0;0.0;0.0;31.5;162.77;0.0;3947.77;0.0;9.97490446e6;0.0;1.0;1472.0;7259.0;0.0;0.0;0.0
5;0.0;1766.63;199.37;-0.0;0.0;0.0;153.58;653.0;0.0;4300.0;0.0;9.96630446e6;0.0;1.0;1474.0;7087.0;0.0;0.0;0.0
6;0.0;1899.62;214.38;-0.0;0.0;0.0;643.33;652.0;0.0;4300.0;0.0;9.95770446e6;0.0;1.0;1480.0;7242.0;0.0;0.0;0.0
7;0.0;1781.9;201.1;-0.0;0.0;0.0;1132.33;155.0;0.0;4300.0;0.0;9.94910446e6;0.0;1.0;1488.0;7616.0;0.0;0.0;0.0
8;122.96;1588.71;179.29;-0.0;0.0;-0.0;1248.58;0.0;650.04;3870.0;0.0;9.94136446e6;0.0;1.0;1502.0;7913.0;0.0;0.0;0.0
9;1662.91;1439.54;162.46;-0.0;0.0;0.0;598.54;0.0;0.0;3659.09;0.0;9.93404627e6;0.0;1.0;1509.0;8433.0;0.0;0.0;0.0
10;5960.71;1554.56;175.44;0.0;0.0;-0.0;598.54;721.71;0.0;302.0;0.0;9.93344227e6;0.0;1.0;1511.0;8782.0;0.0;0.0;0.0
11;10615.68;1424.26;160.74;0.0;-0.0;0.0;1139.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1509.0;8735.0;0.0;3774.68;0.0
12;14105.44;1234.66;139.34;0.0;-0.0;0.0;2039.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1506.0;8740.0;0.0;7045.44;0.0
13;16389.01;1292.17;145.83;0.0;-0.0;0.0;2939.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1506.0;8980.0;0.0;9153.01;0.0
14;17220.47;1444.03;162.97;0.0;-0.0;0.0;3839.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1507.0;8568.0;0.0;10566.47;0.0
15;16875.0;1576.13;177.87;0.0;-0.0;0.0;4739.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1501.0;8197.0;0.0;10733.0;0.0
16;15475.58;1695.64;191.36;0.0;6101.17;0.0;5639.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1494.0;7895.0;0.0;3660.42;0.0
17;13004.64;1685.75;190.25;5185.99;7500.0;0.0;6539.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1493.0;7653.0;0.0;20.64;0.0
18;9473.89;1691.14;190.86;11560.99;4045.89;0.0;7439.82;1200.0;0.0;0.0;0.0;9.93344227e6;0.0;1.0;1496.0;7606.0;0.0;0.0;0.0
19;4994.58;2044.29;230.71;15000.0;0.0;-0.0;8339.82;1200.0;0.0;320.42;0.0;9.93280143e6;0.0;1.0;1497.0;7887.0;0.0;0.0;0.0
20;1135.93;2480.11;279.89;15000.0;0.0;0.0;9239.82;1200.0;0.0;4161.07;0.0;9.92447929e6;0.0;1.0;1497.0;8354.0;0.0;0.0;0.0
21;17.57;2626.58;296.42;15000.0;0.0;758.43;10139.82;1200.0;0.0;4300.0;0.0;9.91587929e6;0.0;1.0;1494.0;8293.0;0.0;0.0;0.0
22;0.0;2334.53;263.47;14107.72;0.0;869.0;11039.82;1200.0;0.0;4300.0;0.0;9.90727929e6;0.0;1.0;1484.0;8051.0;0.0;0.0;0.0
23;0.0;1949.04;219.96;13085.37;0.0;617.45;11939.82;147.45;0.0;4300.0;0.0;9.89867929e6;0.0;1.0;1485.0;8424.0;0.0;0.0;0.0
24;0.0;1594.1;179.9;12358.96;0.0;2877.0;12050.4;1200.0;0.0;3870.0;0.0;9.89093929e6;0.0;1.0;1484.0;8805.0;0.0;0.0;0.0
25;0.0;1642.62;185.38;8974.26;0.0;1435.0;12950.4;0.0;0.0;3870.0;0.0;9.88319929e6;0.0;1.0;1211.0;8344.0;0.0;0.0;0.0
26;0.0;1431.45;161.55;7286.02;0.0;1302.0;12950.4;0.0;0.0;3870.0;0.0;9.87545929e6;0.0;1.0;1204.0;7969.0;0.0;0.0;0.0
27;0.0;1433.25;161.75;5754.26;0.0;1102.0;12950.4;0.0;0.0;3870.0;0.0;9.86771929e6;0.0;1.0;1203.0;7770.0;0.0;0.0;0.0
28;0.0;1405.39;158.61;4457.79;0.0;339.0;12950.4;0.0;0.0;4300.0;0.0;9.85911929e6;0.0;1.0;1205.0;7408.0;0.0;0.0;0.0
29;0.0;1278.69;144.31;4058.96;0.0;144.0;12950.4;0.0;0.0;4300.0;0.0;9.85051929e6;0.0;1.0;1213.0;7080.0;0.0;0.0;0.0
30;0.0;1098.97;124.03;3889.55;0.0;310.0;12950.4;0.0;0.0;4300.0;0.0;9.84191929e6;0.0;1.0;1229.0;7062.0;0.0;0.0;0.0
