t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4861.52;2158.02;0.0;0.0;0.0;0.0;18.54;0.0;0.0;0.0;0.0;0.0;0.0;1468.0;8469.0;0.0;0.0;0.0
2;0.0;4571.38;2029.23;-0.0;0.0;0.0;13.91;32.61;0.0;0.0;0.0;0.0;0.0;0.0;1467.0;8035.0;0.0;0.0;0.0
3;0.0;4486.85;1991.71;-0.0;0.0;0.0;38.37;256.56;0.0;0.0;0.0;0.0;0.0;0.0;1469.0;7691.0;0.0;0.0;0.0
4;0.0;4573.67;2030.25;-0.0;0.0;0.0;230.79;816.91;0.0;0.0;0.0;0.0;0.0;0.0;1472.0;7259.0;0.0;0.0;0.0
5;0.0;4491.42;1993.74;-0.0;0.0;0.0;843.47;872.16;0.0;0.0;0.0;0.0;0.0;0.0;1474.0;7087.0;0.0;0.0;0.0
6;0.0;4829.54;2143.83;-0.0;11.36;0.0;1497.59;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1480.0;7242.0;0.0;0.0;0.0
7;0.0;4530.26;2010.98;9.66;0.0;0.0;2397.59;413.24;0.0;0.0;0.0;0.0;0.0;0.0;1488.0;7616.0;0.0;0.0;0.0
8;350.0;4039.08;1792.94;9.66;0.0;8.21;2707.52;0.0;220.77;0.0;0.0;0.0;0.0;0.0;1502.0;7913.0;0.0;0.0;0.0
9;4733.33;3659.85;1624.6;0.0;-0.0;0.0;2486.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1509.0;8433.0;0.0;1893.78;0.0
10;16966.67;3952.27;1754.41;0.0;0.0;-0.0;3386.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1511.0;8782.0;0.0;14202.34;0.0
11;30216.67;3621.01;1607.36;0.0;0.0;-0.0;4286.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1509.0;8735.0;0.0;27019.04;0.0
12;40150.0;3138.97;1393.39;0.0;0.0;-0.0;5186.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1506.0;8740.0;0.0;36248.36;0.0
13;46650.0;3285.18;1458.29;0.0;0.0;-0.0;6086.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1506.0;8980.0;0.0;42719.47;0.0
14;49016.67;3671.27;1629.67;0.0;0.0;-0.0;6986.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1507.0;8568.0;0.0;46056.61;0.0
15;48033.33;4007.1;1778.75;0.0;0.0;-0.0;7886.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1501.0;8197.0;0.0;45923.18;0.0
16;44050.0;4310.94;1913.62;0.0;0.0;-0.0;8786.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1494.0;7895.0;0.0;42673.57;0.0
17;37016.67;4285.81;1902.47;0.0;0.0;-0.0;9686.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1493.0;7653.0;0.0;35844.95;0.0
18;26966.67;4299.52;1908.55;0.0;3370.54;0.0;10586.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1496.0;7606.0;0.0;22494.19;0.0
19;14216.67;5197.35;2307.1;2864.96;7500.0;0.0;11486.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1497.0;7887.0;0.0;6631.11;0.0
20;3233.33;6305.35;2798.94;9239.96;4280.63;0.0;12386.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1497.0;8354.0;0.0;0.0;0.0
21;50.0;6677.74;2964.24;12878.5;1692.98;0.0;13286.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1494.0;8293.0;0.0;0.0;0.0
22;0.0;5935.26;2634.65;14317.53;802.91;0.0;14186.76;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1484.0;8051.0;0.0;0.0;0.0
23;0.0;4955.19;2199.6;15000.0;0.0;0.0;15086.76;215.79;0.0;0.0;0.0;0.0;0.0;0.0;1485.0;8424.0;0.0;0.0;0.0
24;0.0;4052.79;1799.03;15000.0;0.0;1469.18;15248.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1484.0;8805.0;0.0;0.0;0.0
25;0.0;4176.15;1853.79;13271.55;0.0;1103.05;15248.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1211.0;8344.0;0.0;0.0;0.0
26;0.0;3639.29;1615.47;11973.84;0.0;1510.24;15248.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1204.0;7969.0;0.0;0.0;0.0
27;0.0;3643.86;1617.5;10197.09;0.0;1305.64;15248.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1203.0;7770.0;0.0;0.0;0.0
28;0.0;3573.03;1586.07;8661.04;0.0;1043.9;15248.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1205.0;7408.0;0.0;0.0;0.0
29;0.0;3250.91;1443.08;7432.92;0.0;0.0;15248.6;0.0;1173.01;0.0;0.0;0.0;0.0;0.0;1213.0;7080.0;0.0;0.0;0.0
30;0.0;2794.0;1240.25;7432.92;0.0;1798.74;14075.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1229.0;7062.0;0.0;0.0;0.0
