t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;1736.07;195.93;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;1.0e7;5339.0;0.0;723.0;7994.0;0.0;0.0;0.0
2;0.0;1491.66;168.34;0.0;0.0;-0.0;0.0;0.0;-0.0;1720.0;0.0;9.99713333e6;3443.0;0.0;723.0;7546.0;0.0;0.0;0.0
3;0.0;1430.55;161.45;0.0;0.0;-0.0;0.0;0.0;-0.0;1720.0;0.0;9.99426667e6;3143.0;0.0;724.0;7179.0;0.0;0.0;0.0
4;0.0;1326.32;149.68;0.0;0.0;-0.0;-0.0;0.0;0.0;2150.0;0.0;9.99068333e6;2406.0;0.0;724.0;6756.0;0.0;0.0;0.0
5;0.0;1199.62;135.38;0.0;0.0;-0.0;-0.0;0.0;0.0;2150.0;0.0;9.9871e6;2364.0;0.0;728.0;6577.0;0.0;0.0;0.0
6;0.0;1125.93;127.07;0.0;0.0;-0.0;0.0;0.0;-0.0;2580.0;0.0;9.9828e6;2051.0;0.0;740.0;6624.0;0.0;0.0;0.0
7;0.0;1059.44;119.56;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.9785e6;2349.0;0.0;766.0;6874.0;0.0;0.0;0.0
8;169.13;1024.39;115.61;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.9742e6;2386.87;0.0;786.0;7062.0;0.0;0.0;0.0
9;2158.38;1009.12;113.88;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.9699e6;914.62;0.0;797.0;7573.0;0.0;0.0;0.0
10;7570.44;1010.91;114.09;0.0;148.44;0.0;0.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;803.0;8150.0;0.0;0.0;0.0
11;13095.25;1018.1;114.9;126.17;5395.25;0.0;900.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;799.0;8432.0;0.0;0.0;0.0
12;17242.88;1034.28;116.72;4712.13;9299.88;0.0;1800.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;794.0;8688.0;0.0;0.0;0.0
13;19965.02;1009.12;113.88;12617.04;11625.02;0.0;2700.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;793.0;9056.0;0.0;0.0;0.0
14;21334.14;1018.1;114.9;22498.3;13308.14;0.0;3600.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;788.0;8747.0;0.0;0.0;0.0
15;20931.46;1124.14;126.86;33810.22;13187.46;0.0;4500.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;782.0;8577.0;0.0;0.0;0.0
16;18893.88;1137.61;128.39;45019.56;11386.88;0.0;5400.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;779.0;8352.0;0.0;0.0;0.0
17;15479.13;1391.02;156.98;54698.41;8424.13;0.0;6300.0;1200.0;0.0;0.0;0.0;9.9699e6;0.0;0.0;781.0;8184.0;0.0;0.0;0.0
18;10413.38;1493.46;168.54;61858.93;3695.38;0.0;7200.0;1200.0;0.0;151.0;0.0;9.96964833e6;0.0;0.0;786.0;8117.0;0.0;0.0;0.0
19;4598.64;1373.04;154.96;65000.0;0.0;-0.0;8100.0;1200.0;0.0;2460.36;0.0;9.96554773e6;0.0;0.0;784.0;8171.0;0.0;0.0;0.0
20;797.31;1313.74;148.26;65000.0;0.0;3819.69;9000.0;1200.0;0.0;2580.0;0.0;9.96124773e6;0.0;0.0;769.0;8228.0;0.0;0.0;0.0
21;40.27;1319.13;148.87;60506.25;0.0;4603.73;9900.0;1200.0;0.0;2580.0;0.0;9.95694773e6;0.0;0.0;757.0;8249.0;0.0;0.0;0.0
22;0.0;1128.63;127.37;55090.09;0.0;4942.0;10800.0;1200.0;0.0;2150.0;0.0;9.9533644e6;0.0;0.0;749.0;7897.0;0.0;0.0;0.0
23;0.0;1091.79;123.21;49275.98;0.0;5255.0;11700.0;1200.0;0.0;2150.0;0.0;9.94978107e6;0.0;0.0;747.0;8167.0;0.0;0.0;0.0
24;0.0;946.21;106.79;43093.62;0.0;5514.0;12600.0;1200.0;0.0;2150.0;0.0;9.94619773e6;0.0;0.0;726.0;8243.0;0.0;0.0;0.0
25;0.0;942.62;106.38;36606.57;0.0;5228.84;13500.0;1200.0;0.0;1753.16;0.0;9.9432758e6;0.0;0.0;724.0;7555.0;0.0;0.0;0.0
26;0.0;913.87;103.13;30454.98;0.0;5666.0;14400.0;1200.0;0.0;906.0;0.0;9.9417658e6;0.0;0.0;724.0;7113.0;0.0;0.0;0.0
27;0.0;838.38;94.62;23789.1;0.0;5361.0;15300.0;1200.0;0.0;906.0;0.0;9.9402558e6;0.0;0.0;725.0;6725.0;0.0;0.0;0.0
28;0.0;697.31;78.69;17482.04;0.0;4007.51;16200.0;143.51;0.0;906.0;0.0;9.9387458e6;0.0;0.0;725.0;6271.0;0.0;0.0;0.0
29;0.0;601.16;67.84;12767.32;0.0;3742.0;16307.63;0.0;0.0;906.0;0.0;9.9372358e6;0.0;0.0;729.0;6046.0;0.0;0.0;0.0
30;0.0;593.07;66.93;8364.97;0.0;2014.0;16307.63;0.0;0.0;2580.0;0.0;9.9329358e6;0.0;0.0;741.0;5995.0;0.0;0.0;0.0
31;0.0;540.95;61.05;5995.56;0.0;2148.0;16307.63;0.0;0.0;2580.0;0.0;9.9286358e6;0.0;0.0;767.0;6097.0;0.0;0.0;0.0
32;209.4;583.18;65.82;3468.5;0.0;2294.6;16307.63;0.0;0.0;2150.0;0.0;9.92505247e6;0.0;0.0;787.0;6090.0;0.0;0.0;0.0
33;2158.38;678.43;76.57;768.96;0.0;653.62;16307.63;0.0;0.0;2150.0;0.0;9.92146914e6;0.0;0.0;799.0;6516.0;0.0;0.0;0.0
34;7425.47;708.99;80.01;0.0;-0.0;0.0;16307.63;1200.0;0.0;0.0;0.0;9.92146914e6;0.0;0.0;805.0;7110.0;0.0;709.47;0.0
35;12918.07;675.74;76.26;0.0;1274.57;0.0;17207.63;1200.0;0.0;0.0;0.0;9.92146914e6;0.0;0.0;800.0;7529.0;0.0;4466.5;0.0
36;16928.79;571.5;64.5;1083.38;9270.79;0.0;18107.63;1200.0;0.0;0.0;0.0;9.92146914e6;0.0;0.0;796.0;7890.0;0.0;0.0;0.0
37;19932.81;698.2;78.8;8963.55;12018.81;0.0;19007.63;1200.0;0.0;0.0;0.0;9.92146914e6;0.0;0.0;794.0;8285.0;0.0;0.0;0.0
