t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;5584.72;147.55;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;3442.73;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;5784.31;152.83;-0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2874.86;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;6160.46;162.76;-0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2153.77;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;6171.98;163.07;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;1664.95;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;6732.37;177.87;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;887.76;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;8025.87;212.05;-0.0;0.0;0.0;0.0;280.92;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;8866.46;234.26;-0.0;0.0;0.0;210.69;738.72;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;0.0;0.0
8;21.07;9169.69;242.27;-0.0;0.0;0.0;764.73;795.03;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;0.0;0.0
9;329.66;9376.95;247.75;-0.0;0.0;0.0;1361.01;851.36;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;0.0;0.0
10;1029.62;8989.29;237.5;-0.0;0.0;0.0;1999.53;800.41;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;0.0;0.0
11;1708.5;8521.01;225.13;0.0;0.0;0.0;2599.83;967.65;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;0.0;0.0
12;2069.77;8555.56;226.04;0.0;-0.0;0.0;3325.57;1200.0;0.0;0.0;0.0;62.56;0.0;0.0;1400.0;10962.0;0.0;0.0;89.37
