t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;8864.05;2196.47;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;1372.0;10547.0;0.0;1885.52;0.0
2;0.0;9180.84;2274.97;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10182.0;0.0;2643.81;0.0
3;0.0;9777.87;2422.91;-0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9845.0;0.0;3723.78;0.0
4;0.0;9796.14;2427.44;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9367.0;0.0;4223.58;0.0
5;0.0;10685.6;2647.84;-0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;1365.0;9163.0;0.0;5535.44;0.0
6;0.0;12738.64;3156.58;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;1367.0;9324.0;0.0;7938.22;0.0
7;0.0;14072.82;3487.18;0.0;-0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;9198.0;0.0
8;226.38;14554.1;3606.44;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;9748.92;0.0
9;3541.23;14883.07;3687.96;0.0;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;13009.26;0.0
10;11060.28;14267.77;3535.49;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;19407.54;0.0
11;18352.95;13524.53;3351.32;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;25741.79;0.0
12;22233.75;13579.36;3364.9;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;29616.01;0.0
13;24432.87;15071.93;3734.76;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;33483.55;0.0
14;25548.6;17453.95;4325.01;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;38129.56;0.0
15;24368.19;18513.98;4587.68;0.0;0.0;-0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;38779.85;0.0
16;20810.79;16710.71;4140.84;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;33314.34;0.0
17;12725.79;16375.64;4057.81;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;25032.25;0.0
18;4333.56;15638.5;3875.15;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;15551.21;0.0
19;371.91;14870.89;3684.94;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;9704.74;0.0
20;0.0;13469.7;3337.73;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1385.0;11023.0;0.0;7169.43;0.0
21;0.0;14011.9;3472.08;0.0;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10529.0;0.0;8332.98;0.0
22;0.0;15145.03;3752.87;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10093.0;0.0;10177.91;0.0
23;0.0;15212.05;3769.48;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;10502.0;0.0;9848.52;0.0
