t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;643.39;72.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;166.0;9.999668e6;6000.0;1.0;881.0;7763.0;0.0;0.0;0.0
2;0.0;511.3;57.7;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.993648e6;2831.0;1.0;878.0;7288.0;0.0;0.0;0.0
3;0.0;438.51;49.49;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.987628e6;2542.0;1.0;873.0;6913.0;0.0;0.0;0.0
4;0.0;333.38;37.62;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.981608e6;2233.0;1.0;872.0;6486.0;0.0;0.0;0.0
5;0.0;345.96;39.04;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.975588e6;2014.0;1.0;875.0;6284.0;0.0;0.0;0.0
6;0.0;309.11;34.89;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.969568e6;2047.0;1.0;880.0;6281.0;0.0;0.0;0.0
7;180.31;319.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.963548e6;1948.69;1.0;911.0;6405.0;0.0;0.0;0.0
8;1809.79;419.64;47.36;0.0;0.0;0.0;0.0;0.0;0.0;3010.0;0.0;9.957528e6;524.21;1.0;931.0;6742.0;0.0;0.0;0.0
9;4534.5;436.71;49.29;0.0;0.0;0.0;0.0;1200.0;0.0;2555.5;0.0;9.952417e6;0.0;1.0;933.0;7309.0;0.0;0.0;0.0
10;7880.28;391.78;44.22;0.0;237.28;0.0;900.0;1200.0;0.0;0.0;0.0;9.952417e6;0.0;1.0;935.0;7814.0;0.0;0.0;0.0
11;10297.79;437.61;49.39;201.69;2502.79;0.0;1800.0;1200.0;0.0;0.0;0.0;9.952417e6;0.0;1.0;939.0;8021.0;0.0;0.0;0.0
12;11693.54;598.46;67.54;2329.06;0.0;0.0;2700.0;1200.0;0.0;0.0;0.0;9.952417e6;0.0;1.0;941.0;8229.0;0.0;3871.54;0.0
13;12621.81;586.78;66.22;2329.06;0.0;0.0;3600.0;1200.0;0.0;0.0;0.0;9.952417e6;0.0;1.0;939.0;8545.0;0.0;4468.81;0.0
