t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;3324.02;1475.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4375.45;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;3442.81;1528.26;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;3840.92;0.0;1370.0;10182.0;0.0;0.0;0.0
3;0.0;3666.7;1627.64;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;3182.66;0.0;1368.0;9845.0;0.0;0.0;0.0
4;0.0;3673.55;1630.69;-0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;2695.76;0.0;1367.0;9367.0;0.0;0.0;0.0
5;0.0;4007.1;1778.75;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;2012.16;0.0;1365.0;9163.0;0.0;0.0;0.0
6;0.0;4776.99;2120.5;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1059.51;0.0;1367.0;9324.0;0.0;0.0;0.0
7;0.0;5277.31;2342.59;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;742.1;0.0;1370.0;9732.0;0.0;0.0;0.0
8;60.43;5457.79;2422.71;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;697.08;0.0;1378.0;10016.0;0.0;0.0;0.0
9;945.27;5581.15;2477.47;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;-0.0;99.11;0.0;1388.0;10491.0;0.0;0.0;0.0
10;2952.34;5350.41;2375.04;0.0;-0.0;-0.0;0.0;1200.0;0.0;0.0;0.0;15.26;0.0;0.0;1395.0;10851.0;0.0;0.0;21.8
11;4898.99;5071.7;2251.32;0.0;0.0;0.0;900.0;1200.0;0.0;0.0;0.0;1089.76;0.0;0.0;1397.0;10884.0;0.0;0.0;1535.01
12;5934.9;5092.26;2260.45;0.0;0.0;0.0;1800.0;1200.0;0.0;0.0;0.0;2857.69;0.0;0.0;1400.0;10962.0;0.0;0.0;2525.61
13;6521.92;5651.97;2508.9;0.0;-0.0;0.0;2700.0;1200.0;0.0;0.0;0.0;5466.44;0.0;0.0;1400.0;11156.0;0.0;0.0;3726.79
14;6819.74;6545.23;2905.42;-0.0;5872.39;0.0;3600.0;1200.0;0.0;0.0;0.0;5466.44;0.0;0.0;1400.0;10598.0;0.0;0.0;0.0
15;6504.65;6942.74;3081.88;4991.53;6639.27;0.0;4500.0;1200.0;0.0;0.0;0.0;5466.44;0.0;0.0;1396.0;10086.0;0.0;0.0;0.0
16;5555.07;6266.52;2781.7;10634.91;5055.28;0.0;5400.0;1200.0;0.0;0.0;0.0;5466.44;0.0;0.0;1394.0;9742.0;0.0;0.0;0.0
17;3396.92;6140.87;2725.92;14931.9;80.11;0.0;6300.0;1200.0;0.0;0.0;0.0;7466.06;0.0;0.0;1392.0;9519.0;0.0;0.0;2856.6
18;1156.77;5864.44;2603.22;15000.0;0.0;0.0;7200.0;1200.0;0.0;0.0;0.0;7555.96;0.0;0.0;1391.0;9687.0;0.0;0.0;128.42
19;99.27;5576.58;2475.44;15000.0;0.0;1359.63;8100.0;1147.93;0.0;860.0;0.0;6122.62;0.0;0.0;1386.0;10609.0;0.0;0.0;0.0
20;0.0;5051.14;2242.19;13400.44;0.0;2684.67;8960.94;1200.0;0.0;860.0;0.0;4689.29;0.0;0.0;1385.0;11023.0;0.0;0.0;0.0
21;0.0;5254.46;2332.45;10242.0;0.0;704.09;9860.94;0.0;0.0;860.0;0.0;3255.96;0.0;0.0;1378.0;10529.0;0.0;0.0;0.0
22;0.0;5679.39;2521.07;9413.66;0.0;0.0;9860.94;340.46;0.0;860.0;0.0;1822.62;0.0;0.0;1373.0;10093.0;0.0;0.0;0.0
23;0.0;5704.52;2532.23;9413.66;0.0;255.68;10116.29;0.0;0.0;640.57;0.0;755.0;0.0;0.0;1369.0;10502.0;0.0;0.0;0.0
24;0.0;5480.63;2432.85;9112.86;0.0;1411.52;10116.29;0.0;0.0;151.0;0.0;503.33;0.0;0.0;1372.0;10848.0;0.0;0.0;0.0
25;0.0;5240.75;2326.37;7452.25;0.0;1369.88;10116.29;0.0;0.0;151.0;0.0;251.67;0.0;0.0;1372.0;10460.0;0.0;0.0;0.0
26;0.0;5338.99;2369.97;5840.63;0.0;938.04;10116.29;0.0;0.0;151.0;0.0;0.0;0.0;0.0;1370.0;10168.0;0.0;0.0;0.0
27;0.0;4980.32;2210.76;4737.05;0.0;1298.93;10116.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9858.0;0.0;0.0;0.0
28;0.0;6058.62;2689.42;3208.9;0.0;448.96;10116.29;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9364.0;0.0;0.0;0.0
29;0.0;5677.1;2520.06;2680.71;0.0;772.84;11016.29;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9135.0;0.0;0.0;0.0
