t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;8864.05;1280.76;0.0;6669.81;0.0;0.0;1200.0;900.0;0.0;0.0;0.0;6000.0;0.0;1372.0;10547.0;0.0;0.0;0.0
2;0.0;9180.84;1326.53;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1370.0;10182.0;0.0;1695.37;0.0
3;0.0;9777.87;1412.8;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1368.0;9845.0;0.0;2713.66;0.0
4;0.0;9796.14;1415.44;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9367.0;0.0;3211.58;0.0
5;0.0;10685.6;1543.95;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1365.0;9163.0;0.0;4431.55;0.0
6;0.0;12738.64;1840.59;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1367.0;9324.0;0.0;6622.24;0.0
7;0.0;14072.82;2033.37;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1370.0;9732.0;0.0;7744.19;0.0
8;329.31;14554.1;2102.91;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10016.0;0.0;8348.31;0.0
9;5151.32;14883.07;2150.44;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1388.0;10491.0;0.0;13081.83;0.0
10;16089.05;14267.77;2061.54;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1395.0;10851.0;0.0;22962.35;0.0
11;26697.47;13524.53;1954.15;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1397.0;10884.0;0.0;32689.14;0.0
12;32342.75;13579.36;1962.07;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10962.0;0.0;38322.18;0.0
13;35541.74;15071.93;2177.73;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1400.0;11156.0;0.0;43035.4;0.0
14;37164.76;17453.95;2521.91;5669.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;10598.0;0.0;47942.62;0.0
15;35447.65;18513.98;2675.07;5669.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.0;10086.0;0.0;47946.7;0.0
16;30272.81;16710.71;2414.52;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1394.0;9742.0;0.0;41050.04;0.0
17;18511.81;16375.64;2366.1;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1392.0;9519.0;0.0;29126.56;0.0
18;6303.9;15638.5;2259.59;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1391.0;9687.0;0.0;15905.99;0.0
19;541.01;14870.89;2148.68;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1386.0;10609.0;0.0;8337.58;0.0
20;0.0;13469.7;1946.22;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1385.0;11023.0;0.0;5777.92;0.0
21;0.0;14011.9;2024.57;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1378.0;10529.0;0.0;6885.46;0.0
22;0.0;15145.03;2188.29;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1373.0;10093.0;0.0;8613.33;0.0
23;0.0;15212.05;2197.97;5669.34;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;1369.0;10502.0;0.0;8277.02;0.0
