t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces;Electrolyse
1;0.0;4361.96;1244.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1275.5;0.0;881.0;7763.0;0.0;0.0;0.0
2;0.0;3466.42;989.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1954.55;0.0;878.0;7288.0;0.0;0.0;0.0
3;0.0;2972.96;848.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2218.81;0.0;873.0;6913.0;0.0;0.0;0.0
4;0.0;2260.18;644.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2708.95;0.0;872.0;6486.0;0.0;0.0;0.0
5;0.0;2345.47;669.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2394.33;0.0;875.0;6284.0;0.0;0.0;0.0
6;0.0;2095.69;597.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2707.37;0.0;880.0;6281.0;0.0;0.0;0.0
7;283.09;2162.71;617.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2431.15;0.0;911.0;6405.0;0.0;0.0;0.0
8;2841.34;2845.02;811.73;0.0;2476.04;1788.94;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;931.0;6742.0;0.0;0.0;0.0
9;7119.09;2960.78;844.76;0.0;15310.34;11061.72;0.0;1200.0;900.0;0.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;0.0;0.0
10;12371.91;2656.17;757.85;0.0;32097.02;23190.1;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;0.0;0.0
11;16167.36;2966.87;846.49;0.0;32500.0;23481.25;0.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;2679.97;0.0
12;18358.65;4057.36;1157.63;0.0;32500.0;23481.25;900.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;6066.89;0.0
13;19816.02;3978.16;1135.03;0.0;32500.0;21221.21;1800.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;4844.42;0.0
14;21084.66;5160.03;1472.24;2658.87;32500.0;13256.06;2700.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;8208.0;0.0;0.0;0.0
15;22258.95;5677.86;1619.99;14688.51;32500.0;11200.2;3600.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;924.0;7981.0;0.0;0.0;0.0
16;21325.81;5665.68;1616.51;29136.8;32500.0;11882.0;4500.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;922.0;7712.0;0.0;0.0;0.0
17;19658.75;5403.72;1541.77;42782.98;32500.0;13715.76;5400.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;918.0;7538.0;0.0;0.0;0.0
18;16890.8;5610.85;1600.87;54271.79;32500.0;16216.48;6300.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;911.0;7530.0;0.0;0.0;0.0
19;11826.7;5519.47;1574.79;62818.57;32500.0;21627.03;7200.0;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;907.0;7755.0;0.0;0.0;0.0
20;6290.8;5367.17;1531.34;65000.0;32500.0;27342.66;8100.0;1200.0;26.04;0.0;0.0;0.0;0.0;0.0;895.0;7753.0;0.0;0.0;0.0
21;2212.26;5543.84;1581.75;60457.17;32500.0;29685.15;8973.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;886.0;7409.0;0.0;0.0;0.0
22;314.54;6098.22;1739.92;53158.46;32500.0;30698.32;8673.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;881.0;7232.0;0.0;0.0;0.0
23;0.0;6676.97;1905.05;44667.79;32500.0;30821.98;8373.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;876.0;7780.0;0.0;0.0;0.0
24;0.0;7566.43;2158.82;36031.64;32500.0;29922.75;8073.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;872.0;8020.0;0.0;0.0;0.0
25;0.0;7261.82;2071.91;28453.4;32500.0;29674.27;7773.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;893.0;7401.0;0.0;0.0;0.0
26;0.0;8053.8;2297.88;21167.5;32500.0;28230.33;7473.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;889.0;6971.0;0.0;0.0;0.0
27;0.0;9546.37;2723.73;15580.35;32500.0;25937.9;7173.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;888.0;6596.0;0.0;0.0;0.0
28;0.0;9138.19;2607.27;12690.17;32500.0;26036.53;6873.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;887.0;6169.0;0.0;0.0;0.0
29;0.0;8285.3;2363.93;9683.96;32500.0;26904.78;6573.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;886.0;5940.0;0.0;0.0;0.0
30;10.48;8535.07;2435.19;5656.28;32500.0;26444.25;6273.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;891.0;5816.0;0.0;0.0;0.0
31;576.66;8894.51;2537.75;2170.4;32500.0;25326.09;5973.96;1200.0;1200.0;0.0;0.0;0.0;0.0;0.0;922.0;5757.0;0.0;0.0;0.0
32;3596.24;9247.85;2638.56;0.0;32500.0;23481.25;5673.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;938.0;5988.0;0.0;213.9;0.0
33;8628.88;8790.94;2508.2;0.0;32500.0;23481.25;6573.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;944.0;6451.0;0.0;4202.27;0.0
34;14972.1;8321.85;2374.36;0.0;32500.0;23481.25;7473.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;949.0;6979.0;0.0;9419.56;0.0
35;20833.03;8632.55;2463.0;0.0;32500.0;8205.42;8373.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;950.0;7384.0;0.0;0.0;0.0
36;24722.84;10746.52;3066.15;17971.57;32500.0;11700.83;9273.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;950.0;7729.0;0.0;9757.35;0.0
37;27249.65;12074.6;3445.08;31830.88;32500.0;32500.0;10173.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;949.0;8139.0;0.0;34379.33;0.0
38;28056.97;12354.84;3525.03;21220.59;32500.0;32500.0;11073.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;945.0;7819.0;0.0;35862.84;0.0
39;27228.68;12915.32;3684.95;10610.29;32500.0;32500.0;11973.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;943.0;7577.0;0.0;35994.94;0.0
40;25477.74;12750.83;3638.02;0.0;32500.0;23481.25;12873.96;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;941.0;7379.0;0.0;25209.83;0.0
