t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;hy_th_fatal;Load;Defailance;Exces
1;0.0;3816.72;1581.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1483.69;881.0;7763.0;0.0;0.0
2;0.0;3033.12;1256.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2120.0;878.0;7288.0;0.0;0.0
3;0.0;2601.34;1077.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2360.7;873.0;6913.0;0.0;0.0
4;0.0;1977.66;819.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2816.83;872.0;6486.0;0.0;0.0
5;0.0;2052.29;850.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2506.28;875.0;6284.0;0.0;0.0
6;0.0;1833.73;759.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2807.4;880.0;6281.0;0.0;0.0
7;430.06;1892.37;784.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2387.4;911.0;6405.0;0.0;0.0
8;4316.58;2489.4;1031.57;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;931.0;6742.0;0.0;2026.55
9;10815.34;2590.68;1073.54;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.0;7309.0;0.0;8103.56
10;18795.43;2324.15;963.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;935.0;7814.0;0.0;15203.67
11;24561.49;2596.01;1075.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8021.0;0.0;21151.25
12;27890.51;3550.19;1471.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;941.0;8229.0;0.0;25623.85
13;30104.55;3480.89;1442.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;939.0;8545.0;0.0;27421.87
