t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;1635.74;270.48;0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;9.99828e6;4115.79;1.0;881.0;7763.0;0.0;0.0
2;0.0;1299.91;214.95;0.0;0.0;-0.0;0.0;0.0;-0.0;860.0;0.0;9.99656e6;4035.15;1.0;878.0;7288.0;0.0;0.0
3;0.0;1114.86;184.35;-0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;9.99484e6;3880.79;1.0;873.0;6913.0;0.0;0.0
4;0.0;847.57;140.15;-0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;9.99312e6;3766.28;1.0;872.0;6486.0;0.0;0.0
5;0.0;879.55;145.44;0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;9.9914e6;3524.01;1.0;875.0;6284.0;0.0;0.0
6;0.0;785.88;129.95;-0.0;0.0;0.0;-0.0;0.0;0.0;860.0;0.0;9.98968e6;3625.17;1.0;880.0;6281.0;0.0;0.0
7;265.95;811.01;134.1;-0.0;0.0;0.0;0.0;0.0;-0.0;860.0;0.0;9.98796e6;3422.93;1.0;911.0;6405.0;0.0;0.0
8;2669.39;1066.88;176.41;-0.0;0.0;-0.0;0.0;0.0;-0.0;860.0;0.0;9.98624e6;1038.31;1.0;931.0;6742.0;0.0;0.0
9;6688.26;1110.29;183.59;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9.9865243e6;0.0;1.0;933.0;7309.0;0.0;406.14
10;11623.19;996.06;164.7;-0.0;0.0;0.0;900.0;1200.0;0.0;0.0;0.0;9.98981777e6;0.0;1.0;935.0;7814.0;0.0;4704.95
11;15188.95;1112.58;183.97;-0.0;7500.0;0.0;1800.0;1200.0;0.0;0.0;0.0;9.99031021e6;0.0;1.0;939.0;8021.0;0.0;703.49
12;17247.63;1521.51;251.59;6375.0;7500.0;3337.5;2700.0;1200.0;0.0;0.0;0.0;9.99476937e6;0.0;1.0;941.0;8229.0;0.0;6370.23
13;18616.8;1491.81;246.68;8823.53;0.0;7500.0;3600.0;1200.0;0.0;0.0;0.0;1.000810387e7;0.0;1.0;939.0;8545.0;0.0;19049.29
14;19808.67;1935.01;319.96;0.0;7500.0;0.0;4500.0;1200.0;0.0;0.0;0.0;1.001236732e7;0.0;1.0;935.0;8208.0;0.0;6090.65
15;20911.89;2129.2;352.07;6375.0;2933.27;7500.0;5400.0;1200.0;0.0;0.0;0.0;1.002615934e7;0.0;1.0;924.0;7981.0;0.0;19702.89
16;20035.22;2124.63;351.32;44.75;7500.0;0.0;6300.0;1200.0;0.0;0.0;0.0;1.003107416e7;0.0;1.0;922.0;7712.0;0.0;7021.17
17;18469.05;2026.39;335.07;6419.75;7500.0;0.0;7200.0;1200.0;0.0;0.0;0.0;1.003493152e7;0.0;1.0;918.0;7538.0;0.0;5510.52
18;15868.61;2104.07;347.92;12794.75;7500.0;7500.0;8100.0;1200.0;0.0;0.0;0.0;1.004228264e7;0.0;1.0;911.0;7530.0;0.0;10501.59
19;11110.98;2069.8;342.25;10346.22;5475.03;0.0;9000.0;1200.0;0.0;0.0;0.0;1.004228264e7;0.0;1.0;907.0;7755.0;0.0;0.0
20;5910.1;2012.69;332.81;15000.0;0.0;0.0;9900.0;1200.0;0.0;0.0;0.0;1.004242095e7;0.0;1.0;895.0;7753.0;0.0;197.59
21;2078.38;2078.94;343.76;15000.0;0.0;441.46;10800.0;0.0;1200.0;380.45;0.0;1.004166004e7;0.0;1.0;886.0;7409.0;0.0;0.0
22;295.5;2286.83;378.14;14480.63;0.0;2530.52;9600.0;0.0;0.0;860.0;0.0;1.003994004e7;0.0;1.0;881.0;7232.0;0.0;0.0
23;0.0;2503.87;414.03;11503.55;0.0;1926.11;9600.0;0.0;1200.0;860.0;0.0;1.003822004e7;0.0;1.0;876.0;7780.0;0.0;0.0
24;0.0;2837.41;469.18;9237.54;0.0;1781.41;8400.0;0.0;1200.0;860.0;0.0;1.003650004e7;0.0;1.0;872.0;8020.0;0.0;0.0
25;0.0;2723.18;450.29;7141.76;0.0;1274.53;7200.0;0.0;1200.0;860.0;0.0;1.003478004e7;0.0;1.0;893.0;7401.0;0.0;0.0
26;0.0;3020.17;499.4;5642.31;0.0;1072.75;6000.0;0.0;629.68;860.0;0.0;1.003306004e7;0.0;1.0;889.0;6971.0;0.0;0.0
27;0.0;3579.89;591.95;4380.25;0.0;1106.16;5370.32;0.0;0.0;430.0;0.0;1.003220004e7;0.0;1.0;888.0;6596.0;0.0;0.0
28;0.0;3426.82;566.64;3078.88;0.0;858.54;5370.32;0.0;0.0;430.0;0.0;1.003134004e7;0.0;1.0;887.0;6169.0;0.0;0.0
29;0.0;3106.99;513.75;2068.84;0.0;1003.26;5370.32;0.0;0.0;430.0;0.0;1.003048004e7;0.0;1.0;886.0;5940.0;0.0;0.0
30;9.85;3200.65;529.24;888.54;0.0;755.26;5370.32;0.0;0.0;430.0;0.0;1.002962004e7;0.0;1.0;891.0;5816.0;0.0;0.0
31;541.76;3335.44;551.53;-0.0;0.0;0.0;5370.32;0.0;0.0;406.27;0.0;1.00288075e7;0.0;1.0;922.0;5757.0;0.0;0.0
32;3378.6;3467.94;573.44;0.0;0.0;0.0;5370.32;1200.0;0.0;0.0;0.0;1.002962649e7;0.0;1.0;938.0;5988.0;0.0;1169.99
33;8106.68;3296.6;545.11;-0.0;-0.0;0.0;6270.32;1200.0;0.0;0.0;0.0;1.003329547e7;0.0;1.0;944.0;6451.0;0.0;5241.39
34;14066.03;3120.69;516.02;0.0;7500.0;3506.25;7170.32;1200.0;0.0;0.0;0.0;1.003783076e7;0.0;1.0;949.0;6979.0;0.0;6478.99
35;19572.27;3237.21;535.29;2250.0;7500.0;0.0;8070.32;1200.0;0.0;0.0;0.0;1.004357829e7;0.0;1.0;950.0;7384.0;0.0;8210.76
36;23226.67;4029.94;666.37;8625.0;7500.0;0.0;8970.32;1200.0;0.0;0.0;0.0;1.005228908e7;0.0;1.0;950.0;7729.0;0.0;12443.99
37;25600.56;4527.98;748.72;15000.0;0.0;7500.0;9870.32;1200.0;0.0;0.0;0.0;1.007328016e7;0.0;1.0;949.0;8139.0;0.0;29987.26
38;26359.03;4633.06;766.1;6176.47;3114.19;0.0;10770.32;1200.0;0.0;0.0;0.0;1.008767916e7;0.0;1.0;945.0;7819.0;0.0;20570.0
39;25580.86;4843.24;800.85;8823.53;0.0;7500.0;11670.32;1200.0;0.0;0.0;0.0;1.010930283e7;0.0;1.0;943.0;7577.0;0.0;30890.96
40;23935.89;4781.56;790.65;0.0;7500.0;3506.25;12570.32;1200.0;0.0;0.0;0.0;1.012181628e7;0.0;1.0;941.0;7379.0;0.0;17876.35
41;20084.47;5048.85;834.85;2250.0;7500.0;0.0;13470.32;1200.0;0.0;0.0;0.0;1.01294625e7;0.0;1.0;936.0;7281.0;0.0;10923.18
42;16006.51;5293.3;875.27;8625.0;7500.0;0.0;14370.32;1200.0;0.0;0.0;0.0;1.013439966e7;0.0;1.0;930.0;7352.0;0.0;7053.08
43;10519.97;4914.06;812.56;15000.0;0.0;0.0;15270.32;1200.0;0.0;0.0;0.0;1.014027307e7;0.0;1.0;928.0;7584.0;0.0;8390.6
44;5437.29;4566.81;755.14;15000.0;0.0;0.0;16170.32;1200.0;0.0;0.0;0.0;1.014216394e7;0.0;1.0;912.0;7770.0;0.0;2701.24
45;1851.83;4443.45;734.74;15000.0;0.0;0.0;17070.32;270.02;0.0;0.0;0.0;1.014216394e7;0.0;1.0;904.0;7664.0;0.0;0.0
46;295.5;4610.22;762.32;15000.0;0.0;109.96;17272.84;0.0;0.0;860.0;0.0;1.014044394e7;0.0;1.0;906.0;7544.0;0.0;0.0
47;0.0;4235.55;700.37;14870.64;0.0;1651.08;17272.84;0.0;0.0;581.0;0.0;1.013928194e7;0.0;1.0;906.0;8074.0;0.0;0.0
48;0.0;4706.17;778.19;12928.19;0.0;742.2;17272.84;0.0;198.45;860.0;0.0;1.013756194e7;0.0;1.0;893.0;8178.0;0.0;0.0
49;0.0;4393.19;726.43;12055.02;0.0;0.0;17074.39;0.0;914.38;581.0;0.0;1.013639994e7;0.0;1.0;890.0;7505.0;0.0;0.0
50;0.0;4160.16;687.9;12055.02;0.0;0.0;16160.01;0.0;1071.94;302.0;0.0;1.013579594e7;0.0;1.0;888.0;7110.0;0.0;0.0
51;0.0;2999.61;496.0;12055.02;0.0;1822.39;15088.08;0.0;0.0;581.0;0.0;1.013463394e7;0.0;1.0;885.0;6784.0;0.0;0.0
52;0.0;2743.74;453.69;9911.04;0.0;1777.57;15088.08;0.0;0.0;581.0;0.0;1.013347194e7;0.0;1.0;885.0;6441.0;0.0;0.0
53;0.0;2732.32;451.8;7819.78;0.0;1777.88;15088.08;0.0;0.0;581.0;0.0;1.013230994e7;0.0;1.0;890.0;6433.0;0.0;0.0
54;0.0;2620.38;433.29;5728.16;0.0;1977.33;15088.08;0.0;0.0;860.0;0.0;1.013058994e7;0.0;1.0;900.0;6791.0;0.0;0.0
55;413.71;2487.87;411.38;3401.89;0.0;2371.04;15088.08;0.0;0.0;860.0;0.0;1.012886994e7;0.0;1.0;937.0;7481.0;0.0;0.0
56;2551.19;2318.82;383.43;612.43;0.0;520.57;15088.08;0.0;1200.0;430.0;0.0;1.012800994e7;0.0;1.0;961.0;8365.0;0.0;0.0
57;6560.21;2357.65;389.85;0.0;110.71;0.0;13888.08;1200.0;0.0;0.0;0.0;1.012800994e7;0.0;1.0;968.0;8965.0;0.0;0.0
58;11770.94;2291.4;378.89;94.1;4814.24;0.0;14788.08;1200.0;0.0;0.0;0.0;1.012800994e7;0.0;1.0;967.0;9394.0;0.0;0.0
59;16262.61;2444.47;404.2;4186.2;7500.0;0.0;15688.08;1200.0;0.0;0.0;0.0;1.012922114e7;0.0;1.0;964.0;9645.0;0.0;1730.28
60;19641.22;2670.64;441.6;10561.2;0.0;7500.0;16588.08;1200.0;0.0;0.0;0.0;1.014332646e7;0.0;1.0;963.0;9866.0;0.0;20150.46
61;21906.75;3138.97;519.04;1737.67;7500.0;4983.27;17488.08;1200.0;0.0;0.0;0.0;1.015227039e7;0.0;1.0;958.0;10029.0;0.0;12777.04
62;23098.62;3054.44;505.07;2250.0;7500.0;0.0;18388.08;1200.0;0.0;0.0;0.0;1.015855438e7;0.0;1.0;954.0;9935.0;0.0;8977.13
63;23758.58;3280.61;542.46;8625.0;7500.0;0.0;19288.08;1200.0;0.0;0.0;0.0;1.016549884e7;0.0;1.0;954.0;9915.0;0.0;9920.66
64;22586.41;3376.56;558.33;15000.0;0.0;7500.0;20188.08;1200.0;0.0;0.0;0.0;1.018236906e7;0.0;1.0;954.0;9675.0;0.0;24100.31
65;20852.79;3129.83;517.53;6176.47;7500.0;0.0;21088.08;1200.0;0.0;0.0;0.0;1.018747566e7;0.0;1.0;951.0;9456.0;0.0;7295.15
66;17257.48;2656.93;439.34;12551.47;7500.0;7056.66;21988.08;1200.0;0.0;0.0;0.0;1.019472304e7;0.0;1.0;947.0;9304.0;0.0;10353.41
67;12243.75;2158.9;356.98;10624.51;5147.63;0.0;22888.08;1200.0;0.0;0.0;0.0;1.019472304e7;0.0;1.0;944.0;9356.0;0.0;0.0
68;6776.91;1654.01;273.5;15000.0;0.0;-0.0;23788.08;402.42;0.0;-0.0;0.0;1.019472304e7;0.0;1.0;925.0;9227.0;0.0;0.0
69;2413.29;1201.67;198.7;15000.0;0.0;1899.34;24089.89;0.0;1200.0;860.0;0.0;1.019300304e7;0.0;1.0;912.0;8685.0;0.0;0.0
70;265.95;1076.02;177.93;12765.49;0.0;0.0;22889.89;0.0;1200.0;860.0;0.0;1.019128304e7;3880.1;1.0;905.0;8365.0;0.0;0.0
71;0.0;920.67;152.24;12765.49;0.0;0.0;21689.89;0.0;1200.0;860.0;0.0;1.018956304e7;4775.09;1.0;901.0;8809.0;0.0;0.0
72;0.0;936.66;154.88;12765.49;0.0;0.0;20489.89;0.0;1200.0;860.0;0.0;1.018784304e7;4790.45;1.0;890.0;8832.0;0.0;0.0
73;0.0;984.64;162.81;12765.49;0.0;3988.54;19289.89;0.0;1200.0;860.0;0.0;1.018612304e7;0.0;1.0;890.0;8086.0;0.0;0.0
74;0.0;840.71;139.02;8073.08;0.0;0.0;18089.89;0.0;1200.0;860.0;0.0;1.018440304e7;3715.27;1.0;889.0;7644.0;0.0;0.0
75;0.0;1098.87;181.7;8073.08;0.0;0.0;16889.89;0.0;1200.0;860.0;0.0;1.018268304e7;3094.43;1.0;886.0;7321.0;0.0;0.0
76;0.0;1185.68;196.06;8073.08;0.0;1201.57;15689.89;0.0;1200.0;860.0;0.0;1.018096304e7;1419.69;1.0;885.0;6948.0;0.0;0.0
77;0.0;1103.44;182.46;6659.46;0.0;2624.1;14489.89;0.0;1200.0;860.0;0.0;1.017924304e7;0.0;1.0;891.0;6861.0;0.0;0.0
78;9.85;1229.09;203.24;3572.28;0.0;2724.83;13289.89;0.0;1200.0;860.0;0.0;1.017752304e7;0.0;1.0;901.0;7128.0;0.0;0.0
