t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;8584.13;196.84;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;1.0e7;391.04;1.0;1025.0;10197.0;0.0;0.0
2;0.0;7960.55;182.54;0.0;0.0;0.0;0.0;1200.0;0.0;1905.91;0.0;9.99618818e6;0.0;1.0;1023.0;9872.0;0.0;0.0
3;0.0;6563.03;150.49;-0.0;0.0;0.0;900.0;716.52;0.0;2580.0;0.0;9.99102818e6;0.0;1.0;1022.0;9599.0;0.0;0.0
4;0.0;5598.92;128.39;-0.0;0.0;0.0;1437.39;150.31;0.0;2580.0;0.0;9.98586818e6;0.0;1.0;1022.0;9179.0;0.0;0.0
5;0.0;4674.61;107.19;-0.0;0.0;0.0;1550.12;0.0;350.12;2580.0;0.0;9.98070818e6;331.08;1.0;1022.0;9065.0;0.0;0.0
6;0.0;4024.5;92.28;-0.0;0.0;0.0;1200.0;0.0;1200.0;2580.0;0.0;9.97554818e6;357.22;1.0;1021.0;9275.0;0.0;0.0
7;0.0;4130.64;94.72;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.97038818e6;1852.64;1.0;1023.0;9681.0;0.0;0.0
8;0.0;4679.03;107.29;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.96522818e6;1719.67;1.0;1026.0;10112.0;0.0;0.0
9;21.0;5169.93;118.55;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.96006818e6;1750.52;1.0;1032.0;10672.0;0.0;0.0
10;175.0;5855.43;134.27;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.95490818e6;1448.31;1.0;1036.0;11229.0;0.0;0.0
11;496.0;6912.41;158.51;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.94974818e6;335.08;1.0;1039.0;11521.0;0.0;0.0
12;698.0;6461.31;148.16;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.94458818e6;799.53;1.0;1040.0;11727.0;0.0;0.0
13;814.0;6779.73;155.46;-0.0;0.0;0.0;-0.0;0.0;0.0;2580.0;0.0;9.93942818e6;610.8;1.0;1040.0;11980.0;0.0;0.0
14;764.0;7204.3;165.2;-0.0;0.0;0.0;-0.0;0.0;0.0;2150.0;0.0;9.93512818e6;310.5;1.0;1038.0;11632.0;0.0;0.0
15;596.0;7376.78;169.15;-0.0;0.0;0.0;-0.0;0.0;0.0;1720.0;0.0;9.93168818e6;413.07;1.0;1038.0;11313.0;0.0;0.0
16;362.0;8119.76;186.19;0.0;0.0;0.0;0.0;-0.0;0.0;1411.05;0.0;9.92886608e6;0.0;1.0;1038.0;11117.0;0.0;0.0
17;81.0;9534.97;218.64;-0.0;0.0;0.0;0.0;125.61;0.0;302.0;0.0;9.92826208e6;0.0;1.0;1038.0;11049.0;0.0;0.0
18;10.0;10742.32;246.33;-0.0;0.0;0.0;94.21;493.65;0.0;151.0;0.0;9.92796008e6;0.0;1.0;1037.0;11693.0;0.0;0.0
19;0.0;11180.15;256.37;-0.0;0.0;0.0;464.44;460.52;0.0;-0.0;0.0;9.92796008e6;0.0;1.0;1034.0;12010.0;0.0;0.0
20;0.0;12635.16;289.73;0.0;774.89;0.0;809.83;1200.0;0.0;0.0;0.0;9.92796008e6;0.0;1.0;1031.0;11981.0;0.0;0.0
21;0.0;11821.42;271.07;658.66;647.49;0.0;1709.83;1200.0;0.0;0.0;0.0;9.92796008e6;0.0;1.0;1028.0;11273.0;0.0;0.0
22;0.0;11109.39;254.74;1209.02;607.13;0.0;2609.83;1200.0;0.0;-0.0;0.0;9.92796008e6;0.0;1.0;1029.0;10586.0;0.0;0.0
23;0.0;10848.46;248.76;1725.08;54.22;0.0;3509.83;1200.0;0.0;0.0;0.0;9.92796008e6;0.0;1.0;1029.0;10872.0;0.0;0.0
24;0.0;10817.5;248.05;1771.17;197.55;0.0;4409.83;1200.0;0.0;453.0;0.0;9.92705408e6;0.0;1.0;1030.0;11151.0;0.0;0.0
25;0.0;9004.27;206.47;1939.09;0.0;75.26;5309.83;0.0;0.0;453.0;0.0;9.92614808e6;0.0;1.0;1027.0;10766.0;0.0;0.0
26;0.0;8619.51;197.65;1850.55;0.0;0.0;5309.83;151.16;0.0;755.0;0.0;9.92463808e6;0.0;1.0;1025.0;10446.0;0.0;0.0
27;0.0;8486.83;194.61;1850.55;0.0;465.55;5423.2;1200.0;0.0;1104.01;0.0;9.92243005e6;0.0;1.0;1024.0;10075.0;0.0;0.0
28;0.0;8677.0;198.97;1302.84;0.0;0.0;6323.2;1200.0;0.0;790.03;0.0;9.92084998e6;0.0;1.0;1023.0;9489.0;0.0;0.0
29;0.0;8433.76;193.39;1302.84;0.0;0.0;7223.2;1200.0;0.0;673.85;0.0;9.91950228e6;0.0;1.0;1023.0;9124.0;0.0;0.0
30;0.0;8699.11;199.48;1302.84;121.59;0.0;8123.2;1200.0;0.0;453.0;0.0;9.91859628e6;0.0;1.0;1022.0;9052.0;0.0;0.0
31;0.0;8221.48;188.52;1406.19;0.0;266.0;9023.2;1200.0;0.0;581.0;0.0;9.91743428e6;0.0;1.0;1025.0;9082.0;0.0;0.0
32;0.0;7505.03;172.09;1093.25;0.0;0.0;9923.2;715.48;0.0;1085.36;0.0;9.91526357e6;0.0;1.0;1027.0;9074.0;0.0;0.0
33;15.0;7973.82;182.84;1093.25;0.0;0.0;10459.81;454.66;0.0;453.0;0.0;9.91435757e6;0.0;1.0;1033.0;9203.0;0.0;0.0
34;119.0;7558.1;173.31;1093.25;0.0;177.59;10800.8;0.0;0.0;453.0;0.0;9.91345157e6;0.0;1.0;1037.0;9518.0;0.0;0.0
35;431.0;8345.31;191.36;884.32;0.0;654.33;10800.8;1200.0;0.0;453.0;0.0;9.91254557e6;0.0;1.0;1041.0;9916.0;0.0;0.0
