t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;4434.31;1968.38;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;1.0e7;2769.31;1.0;1025.0;10197.0;0.0;0.0
2;0.0;4112.19;1825.4;0.0;188.58;0.0;0.0;1200.0;0.0;4300.0;0.0;9.9914e6;0.0;1.0;1023.0;9872.0;0.0;0.0
3;0.0;3390.27;1504.94;160.3;0.0;0.0;900.0;618.21;0.0;4300.0;0.0;9.9828e6;0.0;1.0;1022.0;9599.0;0.0;0.0
4;0.0;2892.24;1283.86;160.3;0.0;0.0;1363.66;319.1;0.0;4300.0;0.0;9.9742e6;0.0;1.0;1022.0;9179.0;0.0;0.0
5;0.0;2414.77;1071.91;160.3;0.0;0.0;1602.98;0.0;256.32;4300.0;0.0;9.9656e6;0.0;1.0;1022.0;9065.0;0.0;0.0
6;0.0;2078.94;922.84;160.3;0.0;136.25;1346.66;0.0;815.97;4300.0;0.0;9.957e6;0.0;1.0;1021.0;9275.0;0.0;0.0
7;0.0;2133.77;947.18;0.0;0.0;-0.0;530.69;0.0;530.69;4300.0;0.0;9.9484e6;746.36;1.0;1023.0;9681.0;0.0;0.0
8;0.0;2417.05;1072.93;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;0.0;9.9398e6;1296.02;1.0;1026.0;10112.0;0.0;0.0
9;76.6;2670.64;1185.49;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;0.0;9.9312e6;1407.27;1.0;1032.0;10672.0;0.0;0.0
10;638.3;3024.74;1342.68;0.0;0.0;-0.0;-0.0;0.0;0.0;4300.0;0.0;9.9226e6;887.27;1.0;1036.0;11229.0;0.0;0.0
11;1809.13;3570.75;1585.05;0.0;0.0;-0.0;0.0;782.94;0.0;4300.0;0.0;9.914e6;0.0;1.0;1039.0;11521.0;0.0;0.0
