t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;H2_Stock;Hydro;Hydro_lac_utilization_rate;hy_th_fatal;Load;Defailance;Exces
1;0.0;4434.31;1968.38;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;340.0;9.99932e6;2429.31;1.0;1025.0;10197.0;0.0;0.0
2;0.0;4112.19;1825.4;0.0;188.58;0.0;0.0;1200.0;0.0;4300.0;0.0;9.99072e6;0.0;1.0;1023.0;9872.0;0.0;0.0
3;0.0;3390.27;1504.94;160.3;0.0;0.0;900.0;618.21;0.0;4300.0;0.0;9.98212e6;0.0;1.0;1022.0;9599.0;0.0;0.0
4;0.0;2892.24;1283.86;160.3;0.0;0.0;1363.66;319.1;0.0;4300.0;0.0;9.97352e6;0.0;1.0;1022.0;9179.0;0.0;0.0
5;0.0;2414.77;1071.91;160.3;0.0;0.0;1602.98;0.0;1.32;4300.0;255.0;9.96441e6;0.0;1.0;1022.0;9065.0;0.0;0.0
6;0.0;2078.94;922.84;160.3;0.0;136.25;1601.66;0.0;390.97;4300.0;425.0;9.95496e6;0.0;1.0;1021.0;9275.0;0.0;0.0
7;0.0;2133.77;947.18;0.0;0.0;0.0;1210.69;0.0;937.05;4300.0;340.0;9.94568e6;0.0;1.0;1023.0;9681.0;0.0;0.0
8;0.0;2417.05;1072.93;-0.0;0.0;-0.0;273.64;0.0;273.64;4300.0;425.0;9.93623e6;597.38;1.0;1026.0;10112.0;0.0;0.0
9;21.0;2670.64;1185.49;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;425.0;9.92678e6;1037.87;1.0;1032.0;10672.0;0.0;0.0
10;175.0;3024.74;1342.68;0.0;0.0;-0.0;-0.0;0.0;0.0;4300.0;340.0;9.9175e6;1010.58;1.0;1036.0;11229.0;0.0;0.0
11;496.0;3570.75;1585.05;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;340.0;9.90822e6;190.2;1.0;1039.0;11521.0;0.0;0.0
12;698.0;3337.73;1481.61;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;340.0;9.89894e6;529.66;1.0;1040.0;11727.0;0.0;0.0
13;814.0;3502.21;1554.63;0.0;0.0;-0.0;0.0;0.0;-0.0;4300.0;425.0;9.88949e6;344.16;1.0;1040.0;11980.0;0.0;0.0
14;764.0;3721.53;1651.98;0.0;0.0;-0.0;0.0;0.0;0.0;4300.0;156.49;9.88057703e6;0.0;1.0;1038.0;11632.0;0.0;0.0
15;596.0;3810.63;1691.53;-0.0;0.0;0.0;-0.0;123.16;0.0;4300.0;0.0;9.87197703e6;0.0;1.0;1038.0;11313.0;0.0;0.0
16;362.0;4194.43;1861.9;0.0;0.0;-0.0;92.37;639.33;0.0;4300.0;0.0;9.86337703e6;0.0;1.0;1038.0;11117.0;0.0;0.0
17;81.0;4925.49;2186.42;-0.0;0.0;0.0;571.87;1200.0;0.0;4018.09;0.0;9.85534084e6;0.0;1.0;1038.0;11049.0;0.0;0.0
18;10.0;5549.17;2463.27;-0.0;0.0;0.0;1471.87;1200.0;0.0;3833.56;0.0;9.84767371e6;0.0;1.0;1037.0;11693.0;0.0;0.0
19;0.0;5775.34;2563.67;-0.0;0.0;0.0;2371.87;1200.0;0.0;3836.99;0.0;9.83999972e6;0.0;1.0;1034.0;12010.0;0.0;0.0
20;0.0;6526.96;2897.31;-0.0;0.0;0.0;3271.87;1200.0;0.0;2725.74;0.0;9.83454825e6;0.0;1.0;1031.0;11981.0;0.0;0.0
21;0.0;6106.6;2710.71;-0.0;0.0;0.0;4171.87;1152.31;0.0;2580.0;0.0;9.82938825e6;0.0;1.0;1028.0;11273.0;0.0;0.0
22;0.0;5738.79;2547.44;-0.0;0.0;0.0;5036.1;1200.0;0.0;2470.77;0.0;9.8244467e6;0.0;1.0;1029.0;10586.0;0.0;0.0
23;0.0;5604.0;2487.61;0.0;0.0;0.0;5936.1;1200.0;0.0;2951.39;0.0;9.81854392e6;0.0;1.0;1029.0;10872.0;0.0;0.0
24;0.0;5588.01;2480.51;-0.0;0.0;0.0;6836.1;1200.0;0.0;3252.48;0.0;9.81203895e6;0.0;1.0;1030.0;11151.0;0.0;0.0
25;0.0;4651.34;2064.73;-0.0;0.0;0.0;7736.1;1200.0;0.0;4222.93;0.0;9.80359308e6;0.0;1.0;1027.0;10766.0;0.0;0.0
26;0.0;4452.59;1976.5;-0.0;0.0;0.0;8636.1;1200.0;0.0;4191.92;0.0;9.79520925e6;0.0;1.0;1025.0;10446.0;0.0;0.0
27;0.0;4384.05;1946.07;-0.0;0.0;0.0;9536.1;1200.0;0.0;3920.88;0.0;9.78736749e6;0.0;1.0;1024.0;10075.0;0.0;0.0
28;0.0;4482.28;1989.68;-0.0;0.0;0.0;10436.1;1200.0;0.0;3194.03;0.0;9.78097942e6;0.0;1.0;1023.0;9489.0;0.0;0.0
29;0.0;4356.63;1933.91;-0.0;0.0;0.0;11336.1;1200.0;0.0;3010.46;0.0;9.7749585e6;0.0;1.0;1023.0;9124.0;0.0;0.0
30;0.0;4493.71;1994.75;-0.0;0.0;0.0;12236.1;1200.0;0.0;2741.54;0.0;9.76947542e6;0.0;1.0;1022.0;9052.0;0.0;0.0
31;0.0;4246.98;1885.23;-0.0;0.0;0.0;13136.1;1200.0;0.0;3124.8;0.0;9.76322583e6;0.0;1.0;1025.0;9082.0;0.0;0.0
32;0.0;3876.88;1720.94;-0.0;0.0;0.0;14036.1;1200.0;0.0;3649.18;0.0;9.75592747e6;0.0;1.0;1027.0;9074.0;0.0;0.0
33;15.0;4119.04;1828.44;-0.0;0.0;0.0;14936.1;1200.0;0.0;3407.52;0.0;9.74911243e6;0.0;1.0;1033.0;9203.0;0.0;0.0
34;119.0;3904.29;1733.11;-0.0;0.0;-0.0;15836.1;1145.41;0.0;3870.0;0.0;9.74137243e6;0.0;1.0;1037.0;9518.0;0.0;0.0
35;431.0;4310.94;1913.62;0.0;0.0;0.0;16695.16;1200.0;0.0;3419.43;0.0;9.73453356e6;0.0;1.0;1041.0;9916.0;0.0;0.0
36;659.0;4882.08;2167.15;-0.0;0.0;0.0;17595.16;1200.0;0.0;2715.77;0.0;9.72910202e6;0.0;1.0;1042.0;10266.0;0.0;0.0
37;829.0;5638.27;2502.82;-0.0;60.54;0.0;18495.16;1200.0;0.0;1919.45;0.0;9.72526312e6;0.0;1.0;1042.0;10671.0;0.0;0.0
38;893.0;6166.0;2737.08;51.46;0.0;43.74;19395.16;1016.81;0.0;430.0;0.0;9.72440312e6;0.0;1.0;1040.0;10293.0;0.0;0.0
