t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;Load;Defailance;Exces
1;0.0;643.39;72.61;0.0;0.0;0.0;0.0;0.0;-0.0;4730.0;1275.0;1042.0;7763.0;0.0;0.0
2;0.0;511.3;57.7;0.0;0.0;-0.0;0.0;0.0;-0.0;4730.0;1275.0;714.0;7288.0;0.0;0.0
3;0.0;438.51;49.49;0.0;0.0;-0.0;0.0;0.0;-0.0;4730.0;1275.0;420.0;6913.0;0.0;0.0
4;0.0;333.38;37.62;0.0;0.0;-0.0;0.0;0.0;-0.0;4730.0;1275.0;110.0;6486.0;0.0;0.0
5;0.0;345.96;39.04;0.0;0.0;0.0;0.0;106.0;0.0;4730.0;1275.0;0.0;6284.0;0.0;0.0
6;0.0;309.11;34.89;-0.0;0.0;0.0;79.5;68.0;0.0;4730.0;1275.0;0.0;6281.0;0.0;0.0
7;27.0;319.0;36.0;-0.0;0.0;-0.0;130.5;0.0;18.0;4730.0;1275.0;0.0;6405.0;0.0;0.0
8;271.0;419.64;47.36;-0.0;0.0;0.0;112.5;1.0;0.0;4730.0;1275.0;0.0;6742.0;0.0;0.0
9;679.0;436.71;49.29;-0.0;0.0;-0.0;113.25;0.0;113.25;4730.0;1275.0;25.75;7309.0;0.0;0.0
10;1180.0;391.78;44.22;0.0;0.0;-0.0;0.0;0.0;-0.0;4730.0;1275.0;193.0;7814.0;0.0;0.0
11;1542.0;437.61;49.39;-0.0;0.0;-0.0;0.0;0.0;0.0;4730.0;1262.0;0.0;8021.0;0.0;0.0
12;1751.0;598.46;67.54;-0.0;0.0;0.0;-0.0;0.0;0.0;4730.0;1082.0;0.0;8229.0;0.0;0.0
13;1890.0;586.78;66.22;-0.0;0.0;0.0;-0.0;0.0;0.0;4730.0;1272.0;0.0;8545.0;0.0;0.0
14;2011.0;761.11;85.89;-0.0;0.0;0.0;-0.0;-0.0;0.0;4730.0;620.0;0.0;8208.0;0.0;0.0
15;2123.0;837.49;94.51;-0.0;0.0;0.0;0.0;314.0;0.0;4730.0;510.0;0.0;7981.0;0.0;0.0
16;2034.0;835.69;94.31;0.0;0.0;-0.0;235.5;492.0;0.0;4730.0;510.0;0.0;7712.0;0.0;0.0
17;1875.0;797.05;89.95;0.0;0.0;-0.0;604.5;1105.67;0.0;4730.0;1151.67;0.0;7538.0;0.0;0.0
18;1611.0;827.6;93.4;-0.0;0.0;0.0;1433.75;1007.0;0.0;4730.0;1275.0;0.0;7530.0;0.0;0.0
19;1128.0;814.12;91.88;-0.0;0.0;0.0;2189.0;284.0;0.0;4730.0;1275.0;0.0;7755.0;0.0;0.0
20;600.0;791.66;89.34;-0.0;0.0;-0.0;2402.0;0.0;267.0;4730.0;1275.0;0.0;7753.0;0.0;0.0
21;211.0;817.72;92.28;-0.0;0.0;0.0;2135.0;0.0;283.0;4730.0;1275.0;0.0;7409.0;0.0;0.0
22;30.0;899.49;101.51;-0.0;0.0;0.0;1852.0;0.0;196.0;4730.0;1275.0;0.0;7232.0;0.0;0.0
23;0.0;984.85;111.15;-0.0;0.0;0.0;1656.0;0.0;679.0;4730.0;1275.0;0.0;7780.0;0.0;0.0
24;0.0;1116.05;125.95;-0.0;0.0;-0.0;977.0;0.0;773.0;4730.0;1275.0;0.0;8020.0;0.0;0.0
25;0.0;1071.12;120.88;0.0;0.0;-0.0;204.0;0.0;204.0;4730.0;1275.0;0.0;7401.0;0.0;0.0
26;0.0;1187.93;134.07;0.0;0.0;-0.0;0.0;0.0;0.0;4730.0;919.0;0.0;6971.0;0.0;0.0
27;0.0;1408.09;158.91;-0.0;0.0;-0.0;-0.0;211.0;0.0;4730.0;510.0;0.0;6596.0;0.0;0.0
28;0.0;1347.88;152.12;-0.0;0.0;0.0;158.25;537.0;0.0;4730.0;476.0;0.0;6169.0;0.0;0.0
29;0.0;1222.08;137.92;-0.0;0.0;-0.0;561.0;592.0;0.0;4730.0;442.0;0.0;5940.0;0.0;0.0
30;1.0;1258.92;142.08;-0.0;0.0;-0.0;1005.0;690.0;0.0;4730.0;374.0;0.0;5816.0;0.0;0.0
31;55.0;1311.94;148.06;-0.0;0.0;-0.0;1522.5;794.0;0.0;4730.0;306.0;0.0;5757.0;0.0;0.0
32;343.0;1364.06;153.94;0.0;0.0;-0.0;2118.0;875.0;0.0;4730.0;272.0;0.0;5988.0;0.0;0.0
33;823.0;1296.66;146.34;0.0;0.0;-0.0;2774.25;817.0;0.0;4730.0;272.0;0.0;6451.0;0.0;0.0
34;1428.0;1227.47;138.53;-0.0;0.0;-0.0;3387.0;851.0;0.0;4730.0;306.0;0.0;6979.0;0.0;0.0
