t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;H2_stock;Load;Defailance;Exces
1;0.0;643.39;72.61;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;850.0;1037.0;9.98798e6;7763.0;0.0;0.0
2;0.0;511.3;57.7;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;709.0;9.97596e6;7288.0;0.0;0.0
3;0.0;438.51;49.49;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;415.0;9.96394e6;6913.0;0.0;0.0
4;0.0;333.38;37.62;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;105.0;9.95192e6;6486.0;0.0;0.0
5;0.0;345.96;39.04;-0.0;0.0;0.0;0.0;111.0;0.0;5160.0;850.0;0.0;9.9399e6;6284.0;0.0;0.0
6;0.0;309.11;34.89;-0.0;0.0;0.0;83.25;73.0;0.0;5160.0;850.0;0.0;9.92788e6;6281.0;0.0;0.0
7;27.0;319.0;36.0;-0.0;0.0;0.0;138.0;0.0;13.0;5160.0;850.0;0.0;9.91586e6;6405.0;0.0;0.0
8;271.0;419.64;47.36;-0.0;0.0;0.0;125.0;6.0;0.0;5160.0;850.0;0.0;9.90384e6;6742.0;0.0;0.0
9;679.0;436.71;49.29;0.0;0.0;-0.0;129.5;0.0;129.5;5160.0;850.0;4.5;9.89182e6;7309.0;0.0;0.0
10;1180.0;391.78;44.22;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;188.0;9.8798e6;7814.0;0.0;0.0
11;1542.0;437.61;49.39;-0.0;0.0;0.0;0.0;0.0;0.0;5160.0;832.0;0.0;9.867816e6;8021.0;0.0;0.0
12;1751.0;598.46;67.54;-0.0;0.0;0.0;-0.0;-0.0;0.0;5160.0;652.0;0.0;9.856192e6;8229.0;0.0;0.0
13;1890.0;586.78;66.22;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;842.0;0.0;9.844188e6;8545.0;0.0;0.0
14;2011.0;761.11;85.89;-0.0;0.0;0.0;0.0;150.0;0.0;5160.0;340.0;0.0;9.833188e6;8208.0;0.0;0.0
15;2123.0;837.49;94.51;-0.0;0.0;0.0;112.5;574.0;0.0;5160.0;340.0;0.0;9.822188e6;7981.0;0.0;0.0
16;2034.0;835.69;94.31;-0.0;0.0;0.0;543.0;752.0;0.0;5160.0;340.0;0.0;9.811188e6;7712.0;0.0;0.0
17;1875.0;797.05;89.95;-0.0;0.0;0.0;1107.0;724.0;0.0;5160.0;340.0;0.0;9.800188e6;7538.0;0.0;0.0
18;1611.0;827.6;93.4;0.0;0.0;0.0;1650.0;673.67;0.0;5160.0;511.67;0.0;9.78884467e6;7530.0;0.0;0.0
19;1128.0;814.12;91.88;-0.0;0.0;0.0;2155.25;289.0;0.0;5160.0;850.0;0.0;9.77682467e6;7755.0;0.0;0.0
20;600.0;791.66;89.34;-0.0;0.0;-0.0;2372.0;0.0;262.0;5160.0;850.0;0.0;9.76480467e6;7753.0;0.0;0.0
21;211.0;817.72;92.28;-0.0;0.0;0.0;2110.0;0.0;278.0;5160.0;850.0;0.0;9.75278467e6;7409.0;0.0;0.0
22;30.0;899.49;101.51;-0.0;0.0;0.0;1832.0;0.0;191.0;5160.0;850.0;0.0;9.74076467e6;7232.0;0.0;0.0
23;0.0;984.85;111.15;-0.0;0.0;0.0;1641.0;0.0;674.0;5160.0;850.0;0.0;9.72874467e6;7780.0;0.0;0.0
24;0.0;1116.05;125.95;-0.0;0.0;0.0;967.0;0.0;768.0;5160.0;850.0;0.0;9.71672467e6;8020.0;0.0;0.0
25;0.0;1071.12;120.88;-0.0;0.0;0.0;199.0;0.0;199.0;5160.0;850.0;0.0;9.70470467e6;7401.0;0.0;0.0
26;0.0;1187.93;134.07;-0.0;0.0;0.0;0.0;0.0;0.0;5160.0;489.0;0.0;9.69340667e6;6971.0;0.0;0.0
27;0.0;1408.09;158.91;-0.0;0.0;0.0;-0.0;471.0;0.0;5160.0;340.0;0.0;9.68240667e6;6596.0;0.0;0.0
28;0.0;1347.88;152.12;-0.0;0.0;0.0;353.25;797.0;0.0;5160.0;306.0;0.0;9.67147467e6;6169.0;0.0;0.0
29;0.0;1222.08;137.92;0.0;0.0;-0.0;951.0;852.0;0.0;5160.0;272.0;0.0;9.66061067e6;5940.0;0.0;0.0
30;1.0;1258.92;142.08;-0.0;0.0;0.0;1590.0;950.0;0.0;5160.0;204.0;0.0;9.64988267e6;5816.0;0.0;0.0
31;55.0;1311.94;148.06;-0.0;0.0;-0.0;2302.5;1054.0;0.0;5160.0;136.0;0.0;9.63929067e6;5757.0;0.0;0.0
