iteration;semaine_calendaire;temps_secondes;status
1;1;20.094604015350342;OPTIMAL
2;2;2.1015660762786865;OPTIMAL
3;3;2.3487069606781006;OPTIMAL
4;4;2.037348985671997;OPTIMAL
5;5;8.609958171844482;OPTIMAL
6;6;10.215727090835571;OPTIMAL
7;7;2.2854840755462646;OPTIMAL
8;8;7.632243871688843;OPTIMAL
9;9;2.0375359058380127;OPTIMAL
10;10;1.8990910053253174;OPTIMAL
11;11;2.008607864379883;OPTIMAL
12;12;1.7906849384307861;OPTIMAL
13;13;2.0976309776306152;OPTIMAL
14;14;1.740541934967041;OPTIMAL
15;15;1.7443339824676514;OPTIMAL
16;16;1.6392009258270264;OPTIMAL
17;17;1.5945780277252197;OPTIMAL
18;18;1.7368860244750977;OPTIMAL
19;19;1.9383349418640137;OPTIMAL
20;20;1.7727999687194824;OPTIMAL
21;21;1.63289213180542;OPTIMAL
22;22;1.643096923828125;OPTIMAL
23;23;1.7485589981079102;OPTIMAL
24;24;1.8167691230773926;OPTIMAL
25;25;2.0052149295806885;OPTIMAL
26;26;1.7968049049377441;OPTIMAL
27;27;1.5664358139038086;OPTIMAL
28;28;1.7828660011291504;OPTIMAL
29;29;1.8393890857696533;OPTIMAL
30;30;1.6599481105804443;OPTIMAL
31;31;1.745055913925171;OPTIMAL
32;32;1.7507119178771973;OPTIMAL
33;33;3.3261101245880127;OPTIMAL
34;34;1.5247058868408203;OPTIMAL
35;35;1.5909948348999023;OPTIMAL
36;36;2.1012799739837646;OPTIMAL
37;37;1.8658568859100342;OPTIMAL
38;38;1.646449089050293;OPTIMAL
39;39;1.6937217712402344;OPTIMAL
40;40;1.663944959640503;OPTIMAL
41;41;1.6034481525421143;OPTIMAL
42;42;1.6148250102996826;OPTIMAL
43;43;1.6798689365386963;OPTIMAL
44;44;4.296710968017578;OPTIMAL
45;45;1.5232210159301758;OPTIMAL
46;46;1.5115549564361572;OPTIMAL
47;47;1.5168979167938232;OPTIMAL
48;48;1.4916660785675049;OPTIMAL
49;49;1.4843740463256836;OPTIMAL
50;50;1.4035890102386475;OPTIMAL
51;51;1.4147908687591553;OPTIMAL
52;52;1.5100829601287842;OPTIMAL
