iteration;semaine_calendaire;temps_secondes;status
1;1;19.634221076965332;OPTIMAL
2;2;2.948823928833008;OPTIMAL
3;3;3.2355360984802246;OPTIMAL
4;4;2.9829020500183105;OPTIMAL
5;5;8.963977098464966;OPTIMAL
6;6;9.996289014816284;OPTIMAL
7;7;2.9727540016174316;OPTIMAL
8;8;7.896033048629761;OPTIMAL
9;9;3.0546000003814697;OPTIMAL
10;10;3.5208210945129395;OPTIMAL
11;11;2.987541913986206;OPTIMAL
12;12;2.6073989868164062;OPTIMAL
13;13;3.5697851181030273;OPTIMAL
14;14;2.70546293258667;OPTIMAL
15;15;2.669713020324707;OPTIMAL
16;16;2.6214759349823;OPTIMAL
17;17;2.8164730072021484;OPTIMAL
18;18;2.6415178775787354;OPTIMAL
19;19;2.6942138671875;OPTIMAL
20;20;3.1608078479766846;OPTIMAL
21;21;2.4893319606781006;OPTIMAL
22;22;3.051827907562256;OPTIMAL
23;23;2.8242039680480957;OPTIMAL
24;24;3.066481113433838;OPTIMAL
25;25;2.9691829681396484;OPTIMAL
26;26;3.2098891735076904;OPTIMAL
27;27;2.6540169715881348;OPTIMAL
28;28;2.93251895904541;OPTIMAL
29;29;3.01636004447937;OPTIMAL
30;30;2.7979471683502197;OPTIMAL
31;31;2.895307779312134;OPTIMAL
32;32;3.2322850227355957;OPTIMAL
33;33;4.358269214630127;OPTIMAL
34;34;2.7916619777679443;OPTIMAL
35;35;2.671342134475708;OPTIMAL
36;36;2.6718859672546387;OPTIMAL
37;37;2.139078140258789;OPTIMAL
38;38;2.122735023498535;OPTIMAL
39;39;2.9617421627044678;OPTIMAL
40;40;2.473068952560425;OPTIMAL
41;41;2.701359987258911;OPTIMAL
42;42;2.5063278675079346;OPTIMAL
43;43;2.5039920806884766;OPTIMAL
44;44;4.990463018417358;OPTIMAL
45;45;2.1744959354400635;OPTIMAL
46;46;2.580948829650879;OPTIMAL
47;47;2.633164882659912;OPTIMAL
48;48;2.386280059814453;OPTIMAL
49;49;2.434211015701294;OPTIMAL
50;50;1.8483500480651855;OPTIMAL
51;51;1.8844947814941406;OPTIMAL
52;52;2.308490037918091;OPTIMAL
