iteration;semaine_calendaire;temps_secondes;status
1;1;15.380677938461304;OPTIMAL
2;2;1.5529499053955078;OPTIMAL
3;3;1.5694198608398438;OPTIMAL
4;4;1.5310118198394775;OPTIMAL
5;5;6.504641056060791;OPTIMAL
6;6;8.44072699546814;OPTIMAL
7;7;1.6115539073944092;OPTIMAL
8;8;5.803668022155762;OPTIMAL
9;9;1.645932912826538;OPTIMAL
10;10;1.6482348442077637;OPTIMAL
11;11;1.5870521068572998;OPTIMAL
12;12;1.4482860565185547;OPTIMAL
13;13;1.7162129878997803;OPTIMAL
14;14;1.5593538284301758;OPTIMAL
15;15;1.5791449546813965;OPTIMAL
16;16;1.692194938659668;OPTIMAL
17;17;1.5070278644561768;OPTIMAL
18;18;1.4355981349945068;OPTIMAL
19;19;1.4893319606781006;OPTIMAL
20;20;1.528325080871582;OPTIMAL
21;21;1.4511640071868896;OPTIMAL
22;22;1.569800853729248;OPTIMAL
23;23;1.4277839660644531;OPTIMAL
24;24;1.5321409702301025;OPTIMAL
25;25;1.4988811016082764;OPTIMAL
26;26;1.462609052658081;OPTIMAL
27;27;1.4114770889282227;OPTIMAL
28;28;1.5241000652313232;OPTIMAL
29;29;1.515974998474121;OPTIMAL
30;30;1.520585060119629;OPTIMAL
31;31;1.5104448795318604;OPTIMAL
32;32;1.5104351043701172;OPTIMAL
33;33;2.999626874923706;OPTIMAL
34;34;1.424025058746338;OPTIMAL
35;35;1.6708869934082031;OPTIMAL
36;36;1.3751401901245117;OPTIMAL
37;37;1.3127710819244385;OPTIMAL
38;38;1.2658839225769043;OPTIMAL
39;39;1.422105073928833;OPTIMAL
40;40;1.3736050128936768;OPTIMAL
41;41;1.5256500244140625;OPTIMAL
42;42;1.332901954650879;OPTIMAL
43;43;1.42097806930542;OPTIMAL
44;44;3.610387086868286;OPTIMAL
45;45;1.3435728549957275;OPTIMAL
46;46;1.4167912006378174;OPTIMAL
47;47;1.4105768203735352;OPTIMAL
48;48;1.3889801502227783;OPTIMAL
49;49;1.427804946899414;OPTIMAL
50;50;1.371401071548462;OPTIMAL
51;51;1.4111380577087402;OPTIMAL
52;52;1.7972941398620605;OPTIMAL
