iteration;semaine_calendaire;temps_secondes;status
1;1;19.202448844909668;OPTIMAL
2;2;4.279194116592407;OPTIMAL
3;3;4.379538059234619;OPTIMAL
4;4;4.442780017852783;OPTIMAL
5;5;10.072793960571289;OPTIMAL
6;6;11.290318965911865;OPTIMAL
7;7;4.627438068389893;OPTIMAL
8;8;8.957344055175781;OPTIMAL
9;9;4.669602155685425;OPTIMAL
10;10;4.677355051040649;OPTIMAL
11;11;4.641902923583984;OPTIMAL
12;12;4.425832986831665;OPTIMAL
13;13;5.226542949676514;OPTIMAL
14;14;4.685973167419434;OPTIMAL
15;15;4.721987009048462;OPTIMAL
16;16;4.6274988651275635;OPTIMAL
17;17;4.710813999176025;OPTIMAL
18;18;4.767102956771851;OPTIMAL
19;19;4.795552015304565;OPTIMAL
20;20;5.172511100769043;OPTIMAL
21;21;4.7726731300354;OPTIMAL
22;22;5.188132047653198;OPTIMAL
23;23;5.172400951385498;OPTIMAL
24;24;5.423414945602417;OPTIMAL
25;25;5.650912046432495;OPTIMAL
26;26;5.812756061553955;OPTIMAL
27;27;5.8588738441467285;OPTIMAL
28;28;6.358711004257202;OPTIMAL
29;29;5.898518085479736;OPTIMAL
30;30;5.81486701965332;OPTIMAL
31;31;6.153325080871582;OPTIMAL
32;32;5.995644807815552;OPTIMAL
33;33;7.690998077392578;OPTIMAL
34;34;5.793823957443237;OPTIMAL
35;35;6.18807578086853;OPTIMAL
36;36;6.013736963272095;OPTIMAL
37;37;5.952858924865723;OPTIMAL
38;38;6.686763048171997;OPTIMAL
39;39;6.816894054412842;OPTIMAL
40;40;6.927639961242676;OPTIMAL
41;41;7.960356950759888;OPTIMAL
42;42;7.497079849243164;OPTIMAL
43;43;7.020794868469238;OPTIMAL
44;44;9.428807020187378;OPTIMAL
45;45;6.388366937637329;OPTIMAL
46;46;6.661758899688721;OPTIMAL
47;47;7.029397010803223;OPTIMAL
48;48;6.9394121170043945;OPTIMAL
49;49;7.344925880432129;OPTIMAL
50;50;6.575654029846191;OPTIMAL
51;51;6.4284820556640625;OPTIMAL
52;52;7.610940933227539;OPTIMAL
