iteration;semaine_calendaire;temps_secondes;status
1;1;24.55966591835022;OPTIMAL
2;2;7.255872964859009;OPTIMAL
3;3;7.255347013473511;OPTIMAL
4;4;8.611181020736694;OPTIMAL
5;5;13.588304996490479;OPTIMAL
6;6;28.645879983901978;OPTIMAL
7;7;23.890274047851562;OPTIMAL
8;8;22.789914846420288;OPTIMAL
9;9;29.945772886276245;OPTIMAL
10;10;28.66686511039734;OPTIMAL
11;11;22.562806844711304;OPTIMAL
12;12;20.188997983932495;OPTIMAL
13;13;21.323572874069214;OPTIMAL
14;14;31.449496030807495;OPTIMAL
15;15;27.296672105789185;OPTIMAL
16;16;23.632540941238403;OPTIMAL
17;17;25.24374794960022;OPTIMAL
18;18;24.554778814315796;OPTIMAL
19;19;18.0949809551239;OPTIMAL
20;20;25.033421993255615;OPTIMAL
21;21;21.60600996017456;OPTIMAL
22;22;24.650082111358643;OPTIMAL
23;23;26.35295796394348;OPTIMAL
24;24;24.174769163131714;OPTIMAL
25;25;24.10749101638794;OPTIMAL
26;26;22.999585151672363;OPTIMAL
27;27;26.454114198684692;OPTIMAL
28;28;21.645101070404053;OPTIMAL
29;29;22.751248836517334;OPTIMAL
30;30;21.879829168319702;OPTIMAL
31;31;25.996888875961304;OPTIMAL
32;32;17.343271017074585;OPTIMAL
33;33;21.766873836517334;OPTIMAL
34;34;23.077117204666138;OPTIMAL
35;35;23.009602069854736;OPTIMAL
36;36;19.002336978912354;OPTIMAL
37;37;28.535503149032593;OPTIMAL
38;38;20.87451195716858;OPTIMAL
39;39;19.225931882858276;OPTIMAL
40;40;18.790565013885498;OPTIMAL
41;41;24.13079285621643;OPTIMAL
42;42;23.587167024612427;OPTIMAL
43;43;22.59996008872986;OPTIMAL
44;44;21.96035408973694;OPTIMAL
45;45;14.991799116134644;OPTIMAL
46;46;18.280666828155518;OPTIMAL
47;47;16.625202894210815;OPTIMAL
48;48;21.821539878845215;OPTIMAL
49;49;21.473169088363647;OPTIMAL
50;50;20.97500205039978;OPTIMAL
51;51;23.946932077407837;OPTIMAL
52;52;23.021883964538574;OPTIMAL
