iteration;semaine_calendaire;temps_secondes;status
1;1;26.91268801689148;OPTIMAL
2;2;6.849332809448242;OPTIMAL
3;3;2.626788854598999;OPTIMAL
4;4;2.767341136932373;OPTIMAL
5;5;8.081399917602539;OPTIMAL
6;6;8.20956015586853;OPTIMAL
7;7;2.8445990085601807;OPTIMAL
8;8;7.242633104324341;OPTIMAL
9;9;4.371754884719849;OPTIMAL
10;10;8.107930183410645;OPTIMAL
11;11;6.856216907501221;OPTIMAL
12;12;2.2719149589538574;OPTIMAL
13;13;3.386910915374756;OPTIMAL
14;14;2.632297992706299;OPTIMAL
15;15;4.285609006881714;OPTIMAL
16;16;3.2562410831451416;OPTIMAL
17;17;4.02004599571228;OPTIMAL
18;18;2.2687950134277344;OPTIMAL
19;19;2.334357976913452;OPTIMAL
20;20;2.3916730880737305;OPTIMAL
21;21;1.8896749019622803;OPTIMAL
22;22;2.094697952270508;OPTIMAL
23;23;2.040130853652954;OPTIMAL
24;24;2.080256938934326;OPTIMAL
25;25;2.0880680084228516;OPTIMAL
26;26;2.122728109359741;OPTIMAL
27;27;2.025438070297241;OPTIMAL
28;28;2.06351900100708;OPTIMAL
29;29;2.1077139377593994;OPTIMAL
30;30;1.9878880977630615;OPTIMAL
31;31;2.2273199558258057;OPTIMAL
32;32;2.6529228687286377;OPTIMAL
33;33;2.300935983657837;OPTIMAL
34;34;1.8727691173553467;OPTIMAL
35;35;1.8805820941925049;OPTIMAL
36;36;1.7262520790100098;OPTIMAL
37;37;1.716810941696167;OPTIMAL
38;38;1.6900711059570312;OPTIMAL
39;39;1.8877668380737305;OPTIMAL
40;40;2.0687191486358643;OPTIMAL
41;41;2.25871205329895;OPTIMAL
42;42;2.0254361629486084;OPTIMAL
43;43;2.1325228214263916;OPTIMAL
44;44;1.8160858154296875;OPTIMAL
45;45;1.6717748641967773;OPTIMAL
46;46;2.105501890182495;OPTIMAL
47;47;1.7858610153198242;OPTIMAL
48;48;1.8827929496765137;OPTIMAL
49;49;2.0439820289611816;OPTIMAL
50;50;1.7174232006072998;OPTIMAL
51;51;1.7269208431243896;OPTIMAL
52;52;1.859403133392334;OPTIMAL
