iteration;semaine_calendaire;temps_secondes;status
1;1;15.920000076293945;OPTIMAL
2;2;2.669999837875366;OPTIMAL
3;3;2.555999994277954;OPTIMAL
4;4;2.796999931335449;OPTIMAL
5;5;10.098999977111816;OPTIMAL
6;6;11.864999771118164;OPTIMAL
7;7;2.558000087738037;OPTIMAL
8;8;8.31000018119812;OPTIMAL
9;9;2.674999952316284;OPTIMAL
10;10;9.208999872207642;OPTIMAL
11;11;2.8399999141693115;OPTIMAL
12;12;2.61899995803833;OPTIMAL
13;13;3.797999858856201;OPTIMAL
14;14;2.6459999084472656;OPTIMAL
15;15;2.509999990463257;OPTIMAL
16;16;2.4250001907348633;OPTIMAL
17;17;2.380000114440918;OPTIMAL
18;18;2.6369998455047607;OPTIMAL
19;19;2.322999954223633;OPTIMAL
20;20;2.566999912261963;OPTIMAL
21;21;2.2880001068115234;OPTIMAL
22;22;2.7230000495910645;OPTIMAL
23;23;2.4149999618530273;OPTIMAL
24;24;2.5310001373291016;OPTIMAL
25;25;2.378000020980835;OPTIMAL
26;26;2.367000102996826;OPTIMAL
27;27;2.2910001277923584;OPTIMAL
28;28;3.8960001468658447;OPTIMAL
29;29;3.7130000591278076;OPTIMAL
30;30;2.626000165939331;OPTIMAL
31;31;2.7750000953674316;OPTIMAL
32;32;3.817000150680542;OPTIMAL
33;33;5.2230000495910645;OPTIMAL
34;34;2.745000123977661;OPTIMAL
35;35;2.309000015258789;OPTIMAL
36;36;2.2899999618530273;OPTIMAL
37;37;2.240999937057495;OPTIMAL
38;38;2.3359999656677246;OPTIMAL
39;39;2.559999942779541;OPTIMAL
40;40;2.4729998111724854;OPTIMAL
41;41;2.6040000915527344;OPTIMAL
42;42;2.4709999561309814;OPTIMAL
43;43;2.5950000286102295;OPTIMAL
44;44;6.531999826431274;OPTIMAL
45;45;2.885999917984009;OPTIMAL
46;46;2.443000078201294;OPTIMAL
47;47;2.5739998817443848;OPTIMAL
48;48;2.4600000381469727;OPTIMAL
49;49;2.375;OPTIMAL
50;50;2.3350000381469727;OPTIMAL
51;51;2.0199999809265137;OPTIMAL
52;52;2.2730000019073486;OPTIMAL
