iteration;semaine_calendaire;temps_secondes;status
1;1;16.87924814224243;OPTIMAL
2;2;3.158973217010498;OPTIMAL
3;3;3.264039993286133;OPTIMAL
4;4;3.3234400749206543;OPTIMAL
5;5;8.430749893188477;OPTIMAL
6;6;9.984409809112549;OPTIMAL
7;7;3.829784870147705;OPTIMAL
8;8;8.285309076309204;OPTIMAL
9;9;3.6612539291381836;OPTIMAL
10;10;3.6827170848846436;OPTIMAL
11;11;3.6975741386413574;OPTIMAL
12;12;3.698509931564331;OPTIMAL
13;13;4.179742097854614;OPTIMAL
14;14;3.944204092025757;OPTIMAL
15;15;3.970794200897217;OPTIMAL
16;16;3.8641810417175293;OPTIMAL
17;17;3.930661916732788;OPTIMAL
18;18;4.001071929931641;OPTIMAL
19;19;4.074995994567871;OPTIMAL
20;20;4.153362035751343;OPTIMAL
21;21;4.05695104598999;OPTIMAL
22;22;4.248213052749634;OPTIMAL
23;23;4.30037784576416;OPTIMAL
24;24;4.369543075561523;OPTIMAL
25;25;4.606019020080566;OPTIMAL
26;26;4.556551933288574;OPTIMAL
27;27;4.535488128662109;OPTIMAL
28;28;4.69205904006958;OPTIMAL
29;29;4.822566986083984;OPTIMAL
30;30;4.800006866455078;OPTIMAL
31;31;4.909883975982666;OPTIMAL
32;32;5.002073049545288;OPTIMAL
33;33;6.52552604675293;OPTIMAL
34;34;5.045685052871704;OPTIMAL
35;35;5.018426895141602;OPTIMAL
36;36;5.055974006652832;OPTIMAL
37;37;5.075187921524048;OPTIMAL
38;38;5.062011003494263;OPTIMAL
39;39;5.22100305557251;OPTIMAL
40;40;5.288378000259399;OPTIMAL
41;41;5.431663990020752;OPTIMAL
42;42;5.635509967803955;OPTIMAL
43;43;5.69420599937439;OPTIMAL
44;44;8.554259061813354;OPTIMAL
45;45;5.729817152023315;OPTIMAL
46;46;5.925344228744507;OPTIMAL
47;47;5.847649812698364;OPTIMAL
48;48;5.9215850830078125;OPTIMAL
49;49;5.985136985778809;OPTIMAL
50;50;6.080416917800903;OPTIMAL
51;51;6.106913089752197;OPTIMAL
52;52;6.2806408405303955;OPTIMAL
