t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;Load;Defailance;Exces
1;0.0;840.39;72.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;850.0;6000.0;7763.0;0.0;0.0
2;0.0;667.85;57.7;0.0;0.0;-0.0;0.0;-0.0;0.0;3010.0;850.0;2702.45;7288.0;0.0;0.0
3;0.0;572.78;49.49;0.0;0.0;-0.0;0.0;-0.0;0.0;3010.0;850.0;2430.73;6913.0;0.0;0.0
4;0.0;435.45;37.62;0.0;0.0;-0.0;0.0;0.0;-0.0;3010.0;850.0;2152.92;6486.0;0.0;0.0
5;0.0;451.89;39.04;0.0;0.0;-0.0;0.0;0.0;-0.0;3010.0;850.0;1933.07;6284.0;0.0;0.0
6;0.0;403.76;34.89;0.0;0.0;-0.0;-0.0;0.0;0.0;3010.0;850.0;1982.35;6281.0;0.0;0.0
7;371.58;416.67;36.0;0.0;0.0;-0.0;-0.0;0.0;0.0;3010.0;850.0;1720.75;6405.0;0.0;0.0
8;3729.56;548.13;47.36;-0.0;0.0;0.0;0.0;1188.05;0.0;3010.0;595.0;0.0;6742.0;0.0;0.0
9;9344.55;570.43;49.29;0.0;-0.0;0.0;891.04;1200.0;0.0;0.0;0.0;0.0;7309.0;0.0;1455.27
10;16239.43;511.75;44.22;0.0;-0.0;0.0;1791.04;1200.0;0.0;0.0;0.0;0.0;7814.0;0.0;7781.39
11;21221.35;571.61;49.39;0.0;-0.0;0.0;2691.04;1200.0;0.0;0.0;0.0;0.0;8021.0;0.0;12621.35
12;24097.66;781.7;67.54;0.0;0.0;0.0;3591.04;1200.0;0.0;0.0;0.0;0.0;8229.0;0.0;15517.9
13;26010.61;766.44;66.22;-0.0;0.0;0.0;4491.04;1200.0;0.0;0.0;0.0;0.0;8545.0;0.0;17098.27
14;27675.84;994.15;85.89;-0.0;0.0;0.0;5391.04;1200.0;0.0;0.0;0.0;0.0;8208.0;0.0;19347.88
15;29217.21;1093.92;94.51;-0.0;0.0;0.0;6291.04;1200.0;0.0;0.0;0.0;0.0;7981.0;0.0;21224.64
16;27992.37;1091.57;94.31;-0.0;-0.0;0.0;7191.04;1200.0;0.0;0.0;0.0;0.0;7712.0;0.0;20266.25
17;25804.17;1041.1;89.95;0.0;-0.0;0.0;8091.04;1200.0;0.0;0.0;0.0;0.0;7538.0;0.0;18197.22
18;22170.95;1081.0;93.4;0.0;120.73;0.0;8991.04;1200.0;0.0;0.0;0.0;0.0;7530.0;0.0;14494.62
19;15523.79;1063.4;91.88;102.62;342.07;0.0;9891.04;1200.0;0.0;0.0;0.0;0.0;7755.0;0.0;7382.0
20;8257.34;1034.06;89.34;393.38;342.07;0.0;10791.04;1200.0;0.0;0.0;0.0;0.0;7753.0;0.0;85.66
21;2903.83;1068.09;92.28;684.14;0.0;0.0;11691.04;515.21;0.0;3010.0;850.0;0.0;7409.0;0.0;0.0
22;412.87;1174.9;101.51;684.14;0.0;342.07;12077.45;0.0;1200.0;3010.0;850.0;140.65;7232.0;0.0;0.0
23;0.0;1286.41;111.15;281.71;0.0;239.45;10877.45;0.0;1200.0;3010.0;850.0;1083.0;7780.0;0.0;0.0
24;0.0;1457.77;125.95;0.0;0.0;-0.0;9677.45;0.0;1200.0;3010.0;850.0;1376.28;8020.0;0.0;0.0
25;0.0;1399.08;120.88;0.0;0.0;-0.0;8477.45;0.0;1200.0;3010.0;850.0;821.03;7401.0;0.0;0.0
26;0.0;1551.67;134.07;0.0;0.0;-0.0;7277.45;0.0;1200.0;3010.0;850.0;225.27;6971.0;0.0;0.0
27;0.0;1839.23;158.91;-0.0;0.0;0.0;6077.45;0.0;737.86;3010.0;850.0;0.0;6596.0;0.0;0.0
28;0.0;1760.59;152.12;0.0;0.0;-0.0;5339.59;0.0;396.29;3010.0;850.0;0.0;6169.0;0.0;0.0
29;0.0;1596.27;137.92;-0.0;0.0;0.0;4943.3;0.0;345.81;3010.0;850.0;0.0;5940.0;0.0;0.0
30;13.76;1644.39;142.08;-0.0;0.0;0.0;4597.49;0.0;155.77;3010.0;850.0;0.0;5816.0;0.0;0.0
31;756.92;1713.64;148.06;-0.0;0.0;0.0;4441.72;721.63;0.0;3010.0;850.0;0.0;5757.0;0.0;0.0
32;4720.44;1781.72;153.94;0.0;0.0;-0.0;4982.94;1200.0;0.0;531.89;0.0;0.0;5988.0;0.0;0.0
33;11326.31;1693.69;146.34;0.0;0.0;0.0;5882.94;1200.0;0.0;0.0;0.0;0.0;6451.0;0.0;5515.34
34;19652.46;1603.31;138.53;-0.0;0.0;0.0;6782.94;1200.0;0.0;0.0;0.0;0.0;6979.0;0.0;13215.3
35;27345.54;1663.17;143.7;-0.0;0.0;0.0;7682.94;1200.0;0.0;0.0;0.0;0.0;7384.0;0.0;20568.42
36;32451.33;2070.46;178.89;-0.0;0.0;0.0;8582.94;1200.0;0.0;0.0;0.0;0.0;7729.0;0.0;25771.67
37;35768.02;2326.33;201.0;-0.0;0.0;0.0;9482.94;1200.0;0.0;0.0;0.0;0.0;8139.0;0.0;28956.35
38;36827.72;2380.32;205.66;-0.0;0.0;0.0;10382.94;1200.0;0.0;0.0;0.0;0.0;7819.0;0.0;30394.7
39;35740.5;2488.31;214.99;-0.0;0.0;0.0;11282.94;1200.0;0.0;0.0;0.0;0.0;7577.0;0.0;29666.8
40;33442.21;2456.61;212.25;-0.0;0.0;0.0;12182.94;1200.0;0.0;0.0;0.0;0.0;7379.0;0.0;27532.08
41;28061.18;2593.94;224.12;-0.0;-0.0;0.0;13082.94;1200.0;0.0;0.0;0.0;0.0;7281.0;0.0;22398.24
42;22363.62;2719.53;234.97;0.0;120.73;0.0;13982.94;1200.0;0.0;0.0;0.0;0.0;7352.0;0.0;16645.38
43;14698.06;2524.69;218.13;102.62;342.07;0.0;14882.94;1200.0;0.0;0.0;0.0;0.0;7584.0;0.0;8314.81
44;7596.75;2346.28;202.72;393.38;342.07;0.0;15782.94;1200.0;0.0;0.0;0.0;0.0;7770.0;0.0;833.68
45;2587.3;2282.9;197.24;684.14;0.0;-0.0;16682.94;1178.45;0.0;3010.0;765.0;0.0;7664.0;0.0;0.0
46;412.87;2368.58;204.65;684.14;0.0;-0.0;17566.77;0.0;697.9;3010.0;850.0;0.0;7544.0;0.0;0.0
47;0.0;2176.09;188.02;684.14;0.0;342.07;16868.87;0.0;1200.0;3010.0;850.0;307.82;8074.0;0.0;0.0
48;0.0;2417.88;208.91;281.71;0.0;239.45;15668.87;0.0;1200.0;3010.0;850.0;251.76;8178.0;0.0;0.0
49;0.0;2257.08;195.01;0.0;0.0;0.0;14468.87;0.0;1192.91;3010.0;850.0;0.0;7505.0;0.0;0.0
50;0.0;2137.36;184.67;-0.0;0.0;0.0;13275.97;0.0;927.97;3010.0;850.0;0.0;7110.0;0.0;0.0
51;0.0;1541.11;133.15;-0.0;0.0;-0.0;12348.0;0.0;1200.0;3010.0;850.0;49.74;6784.0;0.0;0.0
52;0.0;1409.65;121.79;-0.0;0.0;0.0;11148.0;0.0;1049.56;3010.0;850.0;0.0;6441.0;0.0;0.0
53;0.0;1403.78;121.29;-0.0;0.0;0.0;10098.44;0.0;1047.93;3010.0;850.0;0.0;6433.0;0.0;0.0
54;0.0;1346.27;116.32;0.0;0.0;-0.0;9050.51;0.0;1200.0;3010.0;850.0;268.41;6791.0;0.0;0.0
55;578.01;1278.19;110.44;0.0;0.0;-0.0;7850.51;0.0;1200.0;3010.0;850.0;454.36;7481.0;0.0;0.0
56;3564.42;1191.33;102.93;0.0;0.0;-0.0;6650.51;353.68;0.0;3010.0;850.0;0.0;8365.0;0.0;0.0
57;9165.64;1211.29;104.66;0.0;0.0;0.0;6915.77;1200.0;0.0;0.0;0.0;0.0;8965.0;0.0;316.59
58;16445.86;1177.25;101.72;-0.0;0.0;0.0;7815.77;1200.0;0.0;0.0;0.0;0.0;9394.0;0.0;7130.82
59;22721.43;1255.89;108.51;-0.0;0.0;0.0;8715.77;1200.0;0.0;0.0;0.0;0.0;9645.0;0.0;13240.83
60;27441.88;1372.09;118.55;-0.0;0.0;0.0;9615.77;1200.0;0.0;0.0;0.0;0.0;9866.0;0.0;17866.52
61;30607.19;1612.7;139.34;-0.0;0.0;0.0;10515.77;1200.0;0.0;0.0;0.0;0.0;10029.0;0.0;21130.23
62;32272.42;1569.28;135.59;-0.0;0.0;0.0;11415.77;1200.0;0.0;0.0;0.0;0.0;9935.0;0.0;22842.28
63;33194.49;1685.47;145.63;-0.0;0.0;0.0;12315.77;1200.0;0.0;0.0;0.0;0.0;9915.0;0.0;23910.59
64;31556.78;1734.77;149.89;-0.0;0.0;0.0;13215.77;1200.0;0.0;0.0;0.0;0.0;9675.0;0.0;22566.44
65;29134.63;1608.01;138.93;-0.0;120.73;0.0;14115.77;1200.0;0.0;0.0;0.0;0.0;9456.0;0.0;20104.84
66;24111.42;1365.05;117.94;102.62;342.07;0.0;15015.77;1200.0;0.0;0.0;0.0;0.0;9304.0;0.0;14748.33
67;17106.45;1109.17;95.83;393.38;342.07;0.0;15915.77;1200.0;0.0;0.0;0.0;0.0;9356.0;0.0;7413.38
68;9468.41;849.78;73.42;684.14;0.0;0.0;16815.77;1200.0;0.0;0.0;35.39;0.0;9227.0;0.0;0.0
69;3371.75;617.38;53.34;684.14;0.0;-0.0;17715.77;0.0;782.53;3010.0;850.0;0.0;8685.0;0.0;0.0
70;371.58;552.83;47.76;684.14;0.0;342.07;16933.24;0.0;1200.0;3010.0;850.0;1990.76;8365.0;0.0;0.0
71;0.0;473.01;40.87;281.71;0.0;239.45;15733.24;0.0;1200.0;3010.0;850.0;2995.67;8809.0;0.0;0.0
72;0.0;481.23;41.58;0.0;0.0;-0.0;14533.24;0.0;1200.0;3010.0;850.0;3249.19;8832.0;0.0;0.0
73;0.0;505.88;43.71;0.0;0.0;-0.0;13333.24;0.0;1200.0;3010.0;850.0;2476.41;8086.0;0.0;0.0
74;0.0;431.93;37.32;0.0;0.0;-0.0;12133.24;0.0;1200.0;3010.0;850.0;2114.75;7644.0;0.0;0.0
75;0.0;564.56;48.78;-0.0;0.0;0.0;10933.24;0.0;1200.0;3010.0;850.0;1647.66;7321.0;0.0;0.0
76;0.0;609.17;52.63;-0.0;0.0;0.0;9733.24;0.0;1200.0;3010.0;850.0;1226.2;6948.0;0.0;0.0
77;0.0;566.91;48.98;-0.0;0.0;0.0;8533.24;0.0;1200.0;3010.0;850.0;1185.11;6861.0;0.0;0.0
78;13.76;631.47;54.56;-0.0;0.0;0.0;7333.24;0.0;1200.0;3010.0;850.0;1368.21;7128.0;0.0;0.0
79;715.64;732.41;63.28;0.0;0.0;-0.0;6133.24;0.0;1200.0;3010.0;850.0;1161.68;7733.0;0.0;0.0
80;4775.49;794.61;68.66;0.0;0.0;-0.0;4933.24;945.76;0.0;3010.0;850.0;0.0;8553.0;0.0;0.0
81;11174.93;880.3;76.06;0.0;0.0;0.0;5642.56;1200.0;0.0;0.0;0.0;0.0;9168.0;0.0;1763.28
82;19253.35;1075.14;92.89;-0.0;0.0;0.0;6542.56;1200.0;0.0;0.0;0.0;0.0;9575.0;0.0;9646.38
83;26712.48;1231.24;106.38;-0.0;0.0;0.0;7442.56;1200.0;0.0;0.0;0.0;0.0;9806.0;0.0;17044.1
84;32313.71;1404.95;121.39;-0.0;0.0;0.0;8342.56;1200.0;0.0;0.0;0.0;0.0;10037.0;0.0;22603.05
85;36249.7;1519.98;131.33;-0.0;0.0;0.0;9242.56;1200.0;0.0;0.0;0.0;0.0;10149.0;0.0;26552.01
86;37969.98;1902.61;164.39;-0.0;0.0;0.0;10142.56;1200.0;0.0;0.0;0.0;0.0;10042.0;0.0;28794.98
87;37130.49;2142.06;185.07;-0.0;0.0;0.0;11042.56;1200.0;0.0;0.0;0.0;0.0;10047.0;0.0;28210.62
88;34735.86;2427.27;209.72;-0.0;0.0;0.0;11942.56;1200.0;0.0;0.0;0.0;0.0;9842.0;0.0;26330.85
89;30221.85;2541.12;219.55;-0.0;-0.0;0.0;12842.56;1200.0;0.0;0.0;0.0;0.0;9648.0;0.0;22134.53
90;23767.36;2712.49;234.36;0.0;120.73;0.0;13742.56;1200.0;0.0;0.0;0.0;0.0;9510.0;0.0;15883.48
91;16074.28;2385.02;206.07;102.62;342.07;0.0;14642.56;1200.0;0.0;0.0;0.0;0.0;9550.0;0.0;7573.29
92;8202.29;2658.5;229.7;393.38;342.07;0.0;15542.56;1200.0;0.0;0.0;0.0;0.0;9404.0;0.0;144.41
93;2752.45;2906.15;251.09;684.14;0.0;0.0;16442.56;938.69;0.0;3010.0;850.0;0.0;8831.0;0.0;0.0
94;302.77;3028.22;261.64;684.14;0.0;0.0;17146.58;0.0;1037.37;3010.0;850.0;0.0;8490.0;0.0;0.0
95;0.0;3096.3;267.52;684.14;0.0;342.07;16109.21;0.0;1200.0;3010.0;850.0;186.11;8952.0;0.0;0.0
96;0.0;3339.26;288.51;281.71;0.0;239.45;14909.21;0.0;1200.0;3010.0;850.0;32.78;8960.0;0.0;0.0
97;0.0;3254.75;281.21;0.0;0.0;0.0;13709.21;0.0;751.04;3010.0;850.0;0.0;8147.0;0.0;0.0
98;0.0;2784.08;240.55;-0.0;0.0;0.0;12958.17;0.0;827.37;3010.0;850.0;0.0;7712.0;0.0;0.0
99;0.0;2515.3;217.32;-0.0;0.0;0.0;12130.8;0.0;805.38;3010.0;850.0;0.0;7398.0;0.0;0.0
100;0.0;1968.34;170.07;-0.0;0.0;0.0;11325.42;0.0;1039.59;3010.0;850.0;0.0;7038.0;0.0;0.0
101;0.0;1953.08;168.75;-0.0;0.0;0.0;10285.83;0.0;984.17;3010.0;850.0;0.0;6966.0;0.0;0.0
102;0.0;1764.11;152.42;-0.0;0.0;-0.0;9301.67;0.0;1200.0;3010.0;850.0;258.47;7235.0;0.0;0.0
103;385.34;1618.57;139.85;-0.0;0.0;0.0;8101.67;0.0;1200.0;3010.0;850.0;634.24;7838.0;0.0;0.0
104;2628.59;1583.36;136.8;-0.0;0.0;0.0;6901.67;0.0;470.25;3010.0;850.0;0.0;8679.0;0.0;0.0
105;6468.25;1508.24;130.31;0.0;-0.0;0.0;6431.41;1200.0;0.0;2386.2;0.0;0.0;9293.0;0.0;0.0
106;10817.11;1576.32;136.19;0.0;-0.0;0.0;7331.41;1200.0;0.0;0.0;0.0;0.0;9704.0;0.0;1625.62
107;12537.39;1505.89;130.11;0.0;-0.0;0.0;8231.41;1200.0;0.0;0.0;0.0;0.0;9924.0;0.0;3049.39
108;14326.48;1552.84;134.17;0.0;-0.0;0.0;9131.41;1200.0;0.0;0.0;0.0;0.0;10118.0;0.0;4695.49
109;14546.67;1647.92;142.38;0.0;-0.0;0.0;10031.41;1200.0;0.0;0.0;0.0;0.0;10176.0;0.0;4960.97
110;15207.26;1543.45;133.36;0.0;-0.0;0.0;10931.41;1200.0;0.0;0.0;0.0;0.0;10006.0;0.0;5678.07
111;15771.51;1408.47;121.69;0.0;-0.0;0.0;11831.41;1200.0;0.0;0.0;0.0;0.0;9926.0;0.0;6175.68
112;15620.13;1631.48;140.96;0.0;120.73;0.0;12731.41;1200.0;0.0;0.0;0.0;0.0;9633.0;0.0;6438.84
113;14078.76;1622.09;140.15;102.62;342.07;0.0;13631.41;1200.0;0.0;0.0;0.0;0.0;9360.0;0.0;4938.93
114;11780.47;1509.42;130.41;393.38;342.07;0.0;14531.41;1200.0;0.0;0.0;0.0;0.0;9167.0;0.0;2711.22
115;8023.38;1615.05;139.54;684.14;0.0;0.0;15431.41;1200.0;0.0;646.03;0.0;0.0;9224.0;0.0;0.0
116;4610.35;1396.74;120.68;684.14;0.0;0.0;16331.41;889.76;0.0;3010.0;850.0;0.0;9098.0;0.0;0.0
117;1431.27;1307.53;112.97;684.14;0.0;342.07;16998.74;0.0;1200.0;3010.0;850.0;274.15;8528.0;0.0;0.0
118;178.91;1315.75;113.68;281.71;0.0;239.45;15798.74;0.0;1200.0;3010.0;850.0;1258.21;8166.0;0.0;0.0
119;0.0;1102.13;95.22;0.0;0.0;-0.0;14598.74;0.0;1200.0;3010.0;850.0;2342.64;8600.0;0.0;0.0
120;0.0;950.72;82.14;0.0;0.0;-0.0;13398.74;0.0;1200.0;3010.0;850.0;2582.14;8675.0;0.0;0.0
121;0.0;990.63;85.59;0.0;0.0;-0.0;12198.74;0.0;1200.0;3010.0;850.0;1793.78;7930.0;0.0;0.0
122;0.0;806.35;69.67;0.0;0.0;-0.0;10998.74;0.0;1200.0;3010.0;850.0;1559.98;7496.0;0.0;0.0
123;0.0;647.9;55.98;0.0;0.0;-0.0;9798.74;0.0;1200.0;3010.0;850.0;1416.12;7180.0;0.0;0.0
124;0.0;564.56;48.78;0.0;0.0;-0.0;8598.74;0.0;1200.0;3010.0;850.0;1136.66;6810.0;0.0;0.0
125;0.0;551.65;47.66;0.0;0.0;-0.0;7398.74;0.0;1200.0;3010.0;850.0;1067.68;6727.0;0.0;0.0
126;0.0;542.26;46.85;0.0;0.0;-0.0;6198.74;0.0;1200.0;3010.0;850.0;1360.89;7010.0;0.0;0.0
127;344.06;521.14;45.03;-0.0;0.0;0.0;4998.74;0.0;1200.0;3010.0;850.0;1658.78;7629.0;0.0;0.0
128;2174.43;714.8;61.76;-0.0;0.0;0.0;3798.74;0.0;1200.0;3010.0;850.0;423.01;8434.0;0.0;0.0
129;5463.6;832.17;71.9;0.0;0.0;-0.0;2598.74;1185.68;0.0;3010.0;850.0;0.0;9042.0;0.0;0.0
130;8890.4;915.51;79.1;0.0;-0.0;0.0;3487.99;1200.0;0.0;729.99;0.0;0.0;9415.0;0.0;0.0
131;10239.1;930.77;80.42;0.0;-0.0;0.0;4387.99;1200.0;0.0;0.0;0.0;0.0;9594.0;0.0;456.28
132;11670.37;892.03;77.07;0.0;-0.0;0.0;5287.99;1200.0;0.0;0.0;0.0;0.0;9772.0;0.0;1667.47
133;12372.24;942.5;81.43;0.0;-0.0;0.0;6187.99;1200.0;0.0;0.0;0.0;0.0;9826.0;0.0;2370.18
134;13445.69;989.45;85.49;-0.0;0.0;0.0;7087.99;1200.0;0.0;0.0;0.0;0.0;9646.0;0.0;3674.64
135;14257.67;969.5;83.77;-0.0;0.0;0.0;7987.99;1200.0;0.0;0.0;0.0;0.0;9527.0;0.0;4583.93
